open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1643673600000,1.54400000,1.56500000,1.53900000,1.55700000,137880.30000000,1643687999999,214009.17920000,1270,56520.60000000,87813.90640000,0
1643688000000,1.55500000,1.57000000,1.53600000,1.56800000,142278.00000000,1643702399999,220478.78560000,1401,55625.10000000,86239.19350000,0
1643702400000,1.56500000,1.56500000,1.51300000,1.56100000,195326.40000000,1643716799999,299976.46830000,1795,89044.80000000,136963.84380000,0
1643716800000,1.55900000,1.56800000,1.52700000,1.54000000,219450.10000000,1643731199999,340773.90390000,1612,106456.00000000,165102.63870000,0
1643731200000,1.54100000,1.55000000,1.50400000,1.50600000,136065.30000000,1643745599999,208030.20990000,949,83317.50000000,127639.20390000,0
1643745600000,1.50300000,1.53200000,1.50300000,1.52500000,203813.10000000,1643759999999,310327.75480000,1991,102785.40000000,156553.31310000,0
1643760000000,1.52700000,1.54600000,1.51400000,1.53600000,71047.80000000,1643774399999,108779.86100000,1065,33785.70000000,51675.93140000,0
1643774400000,1.53500000,1.80000000,1.52700000,1.72600000,3752451.40000000,1643788799999,6360484.08020000,28143,1978484.90000000,3349784.78180000,0
1643788800000,1.72500000,1.77000000,1.65300000,1.70800000,1346875.60000000,1643803199999,2294411.78970000,14560,639774.50000000,1090896.63310000,0
1643803200000,1.70600000,1.81200000,1.66700000,1.70000000,3063408.20000000,1643817599999,5291498.65370000,28757,1540885.40000000,2659790.54870000,0
1643817600000,1.69800000,1.72900000,1.65800000,1.66800000,1532951.80000000,1643831999999,2592759.18450000,11463,801080.90000000,1355939.50310000,0
1643832000000,1.66900000,1.67000000,1.57300000,1.58900000,802683.10000000,1643846399999,1293675.45360000,6413,385403.70000000,620815.53200000,0
1643846400000,1.58800000,1.70600000,1.55800000,1.59500000,1713617.20000000,1643860799999,2789040.95470000,13842,887718.60000000,1442974.47860000,0
1643860800000,1.59100000,1.64500000,1.58900000,1.61200000,632232.30000000,1643875199999,1020053.10810000,4819,365681.70000000,589982.99990000,0
1643875200000,1.61200000,1.63600000,1.56700000,1.61500000,502051.80000000,1643889599999,804517.52540000,4664,266944.70000000,427921.33540000,0
1643889600000,1.61600000,1.65000000,1.57500000,1.59800000,689506.40000000,1643903999999,1111018.03070000,5538,407061.20000000,656369.31820000,0
1643904000000,1.59800000,1.61600000,1.57000000,1.57900000,330039.70000000,1643918399999,525302.67660000,2536,194299.60000000,309228.70770000,0
1643918400000,1.57900000,1.63100000,1.57400000,1.62900000,409264.60000000,1643932799999,652634.03150000,3094,263594.00000000,420401.88850000,0
1643932800000,1.63000000,1.71000000,1.62300000,1.67000000,758685.10000000,1643947199999,1271313.61710000,6601,413115.40000000,691565.41160000,0
1643947200000,1.67300000,1.69300000,1.65100000,1.68200000,464827.80000000,1643961599999,777322.74320000,3236,232954.60000000,389968.05990000,0
1643961600000,1.68200000,1.70900000,1.65900000,1.66300000,431222.00000000,1643975999999,727395.56350000,3063,220296.40000000,371560.38360000,0
1643976000000,1.66300000,1.73400000,1.65400000,1.70300000,920447.00000000,1643990399999,1564063.65250000,6306,458912.10000000,779154.77660000,0
1643990400000,1.70400000,1.73100000,1.69900000,1.71400000,366690.80000000,1644004799999,629543.08930000,2987,212486.80000000,365032.60080000,0
1644004800000,1.71500000,1.72100000,1.69600000,1.72100000,248932.90000000,1644019199999,424834.44160000,2379,114297.50000000,195114.99070000,0
1644019200000,1.72000000,1.81100000,1.71700000,1.75500000,702841.90000000,1644033599999,1244523.71870000,6765,344859.90000000,610274.45140000,0
