open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1722470400000,4.99100000,5.05100000,4.97700000,5.00200000,988876.30000000,1722484799999,4955851.21240000,20345,418596.00000000,2098126.60940000,0
1722484800000,5.00000000,5.04700000,4.91100000,5.00800000,1169919.50000000,1722499199999,5838515.37410000,23517,548350.80000000,2738182.29850000,0
1722499200000,5.00900000,5.12500000,5.00700000,5.06900000,805618.50000000,1722513599999,4079749.76220000,15068,427981.40000000,2166431.51300000,0
1722513600000,5.06900000,5.13300000,4.83700000,4.86600000,2162769.10000000,1722527999999,10740569.16230000,49056,995343.60000000,4946554.67280000,0
1722528000000,4.86600000,4.87200000,4.63500000,4.74600000,3099054.00000000,1722542399999,14754647.94620000,71218,1528735.40000000,7278887.34380000,0
1722542400000,4.74500000,5.06900000,4.69700000,4.98100000,2391649.50000000,1722556799999,11743284.02420000,47043,1295805.40000000,6362478.68340000,0
1722556800000,4.98000000,5.04900000,4.82900000,4.92900000,1345133.40000000,1722571199999,6630654.35870000,33068,721644.30000000,3558245.77750000,0
1722571200000,4.92800000,4.94100000,4.72100000,4.79800000,1262855.90000000,1722585599999,6074400.79180000,31670,633410.50000000,3047901.52770000,0
1722585600000,4.79700000,4.91200000,4.75800000,4.85300000,1243022.40000000,1722599999999,6035416.04130000,26884,739751.10000000,3592573.69740000,0
1722600000000,4.85200000,5.04000000,4.62400000,4.79600000,3495533.50000000,1722614399999,16821191.10520000,96966,1726129.70000000,8309805.53150000,0
1722614400000,4.79500000,4.80200000,4.62700000,4.68900000,1408038.90000000,1722628799999,6640535.71330000,44541,731304.10000000,3448521.05570000,0
1722628800000,4.68900000,4.73700000,4.57200000,4.60400000,1483369.60000000,1722643199999,6882952.37310000,44996,654519.10000000,3038138.20170000,0
1722643200000,4.60400000,4.67400000,4.44500000,4.67300000,2220660.30000000,1722657599999,10096814.82810000,61533,1120055.50000000,5099737.87440000,0
1722657600000,4.67300000,4.72700000,4.62600000,4.67300000,742475.10000000,1722671999999,3468929.11600000,18586,378533.80000000,1768714.63950000,0
1722672000000,4.67400000,4.68300000,4.55500000,4.59100000,924531.60000000,1722686399999,4257059.26500000,18705,461054.60000000,2121633.62760000,0
1722686400000,4.59200000,4.65900000,4.45300000,4.45700000,1078414.60000000,1722700799999,4921147.52620000,22510,505339.40000000,2310292.02200000,0
1722700800000,4.45600000,4.49300000,4.24700000,4.27000000,3152688.20000000,1722715199999,13743260.50370000,58648,1514773.90000000,6608532.93770000,0
1722715200000,4.27100000,4.39000000,4.23600000,4.36500000,1545146.60000000,1722729599999,6675412.10030000,25444,759912.90000000,3285353.44390000,0
