open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1690848000000,8.71000000,8.75000000,8.42000000,8.48000000,57126.58000000,1690862399999,488785.28600000,3535,25144.95000000,214983.76150000,0
1690862400000,8.47000000,8.59000000,8.47000000,8.59000000,18978.05000000,1690876799999,162010.89110000,1291,11040.19000000,94214.59060000,0
1690876800000,8.58000000,8.96000000,8.57000000,8.85000000,108451.00000000,1690891199999,954971.21940000,6041,71049.85000000,626648.24160000,0
1690891200000,8.85000000,8.86000000,8.63000000,8.76000000,84729.02000000,1690905599999,742345.96700000,4681,40666.20000000,356729.88870000,0
1690905600000,8.77000000,8.83000000,8.73000000,8.82000000,18385.24000000,1690919999999,161405.66420000,1067,9125.99000000,80170.65720000,0
1690920000000,8.82000000,8.90000000,8.78000000,8.88000000,22440.98000000,1690934399999,198158.84190000,1395,11530.55000000,101858.32520000,0
1690934400000,8.89000000,9.02000000,8.88000000,8.90000000,62053.05000000,1690948799999,555265.97030000,3399,31110.50000000,278716.42560000,0
1690948800000,8.90000000,8.96000000,8.80000000,8.81000000,63258.14000000,1690963199999,561913.96710000,2981,28828.86000000,256463.89640000,0
1690963200000,8.81000000,8.87000000,8.74000000,8.79000000,45099.21000000,1690977599999,396579.89680000,2366,15913.15000000,140020.26260000,0
1690977600000,8.79000000,8.81000000,8.59000000,8.66000000,50541.28000000,1690991999999,439367.49390000,2721,14964.57000000,130162.13680000,0
1690992000000,8.67000000,8.67000000,8.50000000,8.60000000,41272.54000000,1691006399999,354819.48800000,2285,18666.24000000,160562.25810000,0
1691006400000,8.61000000,8.64000000,8.56000000,8.61000000,25018.23000000,1691020799999,215202.80020000,1002,12099.88000000,104151.93540000,0
1691020800000,8.60000000,8.67000000,8.57000000,8.61000000,32864.89000000,1691035199999,283397.45070000,1664,15187.36000000,131102.87900000,0
1691035200000,8.62000000,8.63000000,8.49000000,8.52000000,26770.20000000,1691049599999,228803.22120000,1670,6594.93000000,56365.01990000,0
1691049600000,8.52000000,8.53000000,8.45000000,8.53000000,38174.73000000,1691063999999,324542.82470000,1539,16382.90000000,139376.08680000,0
1691064000000,8.53000000,8.59000000,8.46000000,8.54000000,32729.82000000,1691078399999,279140.13630000,1420,17623.77000000,150406.03380000,0
1691078400000,8.54000000,8.59000000,8.50000000,8.53000000,12779.26000000,1691092799999,109175.64650000,728,5532.84000000,47252.30690000,0
1691092800000,8.54000000,8.58000000,8.43000000,8.48000000,23497.50000000,1691107199999,199448.14990000,1343,10796.77000000,91693.09930000,0
1691107200000,8.48000000,8.54000000,8.46000000,8.50000000,15336.18000000,1691121599999,130419.70430000,848,8212.41000000,69893.60330000,0
1691121600000,8.51000000,8.53000000,8.45000000,8.46000000,14041.51000000,1691135999999,119188.81220000,732,6496.70000000,55158.88270000,0
1691136000000,8.47000000,8.50000000,8.45000000,8.46000000,15841.29000000,1691150399999,134170.30640000,730,7182.93000000,60867.95020000,0
1691150400000,8.47000000,8.55000000,8.46000000,8.51000000,25096.01000000,1691164799999,213731.00340000,1525,12672.76000000,107987.36850000,0
1691164800000,8.51000000,8.54000000,8.40000000,8.45000000,18118.14000000,1691179199999,153647.97840000,1414,6591.65000000,55906.98620000,0
1691179200000,8.45000000,8.48000000,8.34000000,8.40000000,29081.20000000,1691193599999,244440.95570000,1579,14267.31000000,119981.84290000,0
1691193600000,8.41000000,8.42000000,8.26000000,8.35000000,45216.75000000,1691207999999,376894.95160000,2033,21979.57000000,183385.69820000,0
1691208000000,8.34000000,8.37000000,8.30000000,8.34000000,13572.83000000,1691222399999,113234.11630000,730,6216.09000000,51874.59120000,0
1691222400000,8.35000000,8.40000000,8.34000000,8.37000000,14577.29000000,1691236799999,122061.46360000,995,6854.95000000,57421.25810000,0
1691236800000,8.37000000,8.40000000,8.33000000,8.37000000,22743.46000000,1691251199999,190200.87840000,1371,8002.64000000,66967.81180000,0
1691251200000,8.38000000,8.43000000,8.34000000,8.40000000,13991.04000000,1691265599999,117389.69440000,931,7796.18000000,65454.98880000,0
1691265600000,8.40000000,8.45000000,8.39000000,8.44000000,10910.29000000,1691279999999,91885.64030000,706,6419.00000000,54072.85110000,0
1691280000000,8.44000000,8.56000000,8.41000000,8.50000000,38248.60000000,1691294399999,325090.56210000,1797,14283.49000000,121436.09390000,0
1691294400000,8.50000000,8.51000000,8.46000000,8.47000000,22357.14000000,1691308799999,189600.92330000,1017,8881.40000000,75359.70620000,0
1691308800000,8.47000000,8.50000000,8.44000000,8.49000000,15545.56000000,1691323199999,131715.10060000,1038,6954.31000000,58939.93970000,0
1691323200000,8.48000000,8.51000000,8.38000000,8.45000000,49901.68000000,1691337599999,421539.25450000,2369,23364.31000000,197513.16510000,0
1691337600000,8.45000000,8.49000000,8.43000000,8.45000000,15029.80000000,1691351999999,127184.45060000,923,7629.71000000,64579.46440000,0
1691352000000,8.45000000,8.52000000,8.44000000,8.49000000,17699.47000000,1691366399999,150138.83610000,1449,11997.34000000,101795.11010000,0
1691366400000,8.49000000,8.58000000,8.46000000,8.55000000,57745.86000000,1691380799999,491976.83620000,2252,35469.42000000,302270.82010000,0
1691380800000,8.55000000,8.59000000,8.46000000,8.49000000,47714.60000000,1691395199999,406686.14860000,2299,22025.61000000,188010.88220000,0
1691395200000,8.50000000,8.55000000,8.47000000,8.50000000,22324.49000000,1691409599999,189766.22820000,1273,11439.95000000,97307.13380000,0
1691409600000,8.51000000,8.54000000,8.37000000,8.39000000,74063.41000000,1691423999999,626960.70630000,3017,25032.25000000,212125.65950000,0
1691424000000,8.39000000,8.42000000,8.25000000,8.39000000,33201.01000000,1691438399999,276640.06200000,2194,15743.59000000,131132.62110000,0
1691438400000,8.39000000,8.43000000,8.37000000,8.42000000,10279.84000000,1691452799999,86353.92640000,653,6143.67000000,51643.52800000,0
1691452800000,8.42000000,8.43000000,8.33000000,8.38000000,27216.50000000,1691467199999,227816.13830000,1147,13752.40000000,115172.86630000,0
1691467200000,8.38000000,8.45000000,8.36000000,8.39000000,16689.48000000,1691481599999,140407.22900000,917,10526.88000000,88575.56480000,0
1691481600000,8.38000000,8.46000000,8.37000000,8.45000000,19526.50000000,1691495999999,164184.51510000,873,10271.55000000,86433.25720000,0
1691496000000,8.46000000,8.50000000,8.42000000,8.47000000,29743.77000000,1691510399999,251539.18430000,1621,14224.06000000,120394.54490000,0
1691510400000,8.46000000,8.65000000,8.46000000,8.56000000,61794.77000000,1691524799999,529319.93060000,2730,44972.73000000,385279.04770000,0
1691524800000,8.57000000,8.65000000,8.54000000,8.55000000,33476.16000000,1691539199999,287165.08010000,1567,14091.39000000,120973.62000000,0
1691539200000,8.55000000,8.57000000,8.47000000,8.49000000,29457.63000000,1691553599999,250959.06290000,1255,12441.20000000,106058.57600000,0
1691553600000,8.50000000,8.57000000,8.49000000,8.57000000,20440.12000000,1691567999999,174338.57950000,965,12188.11000000,103964.86460000,0
1691568000000,8.57000000,8.57000000,8.50000000,8.51000000,45687.90000000,1691582399999,389480.76800000,2323,14155.48000000,120728.12620000,0
1691582400000,8.52000000,8.57000000,8.48000000,8.49000000,49425.09000000,1691596799999,420845.15440000,2000,13615.28000000,116059.81070000,0
1691596800000,8.49000000,8.50000000,8.45000000,8.46000000,23816.32000000,1691611199999,201780.43080000,1166,9270.65000000,78575.92590000,0
1691611200000,8.46000000,8.50000000,8.40000000,8.49000000,23262.04000000,1691625599999,196252.04040000,963,17070.55000000,143989.06390000,0
1691625600000,8.49000000,8.53000000,8.47000000,8.49000000,17234.35000000,1691639999999,146439.30010000,614,8301.85000000,70568.06890000,0
1691640000000,8.48000000,8.50000000,8.42000000,8.42000000,26707.24000000,1691654399999,225705.72630000,1042,13645.09000000,115397.72340000,0
1691654400000,8.42000000,8.46000000,8.41000000,8.41000000,20683.20000000,1691668799999,174398.91760000,844,11639.80000000,98131.97270000,0
1691668800000,8.41000000,8.52000000,8.40000000,8.47000000,47610.01000000,1691683199999,403097.14010000,1930,28716.77000000,243189.06020000,0
1691683200000,8.47000000,8.48000000,8.44000000,8.48000000,14197.27000000,1691697599999,120039.37600000,851,5299.45000000,44831.41720000,0
1691697600000,8.47000000,8.50000000,8.46000000,8.49000000,9876.22000000,1691711999999,83780.44330000,565,4235.63000000,35952.15020000,0
1691712000000,8.49000000,8.52000000,8.44000000,8.49000000,31330.69000000,1691726399999,265724.07680000,1124,15082.09000000,127973.53280000,0
1691726400000,8.49000000,8.56000000,8.48000000,8.50000000,20762.83000000,1691740799999,176900.26000000,1111,11899.97000000,101412.81460000,0
1691740800000,8.50000000,8.51000000,8.47000000,8.51000000,16458.51000000,1691755199999,139734.00120000,713,7216.72000000,61296.46790000,0
1691755200000,8.51000000,8.55000000,8.46000000,8.47000000,37213.64000000,1691769599999,316723.34210000,1581,16988.68000000,144757.63480000,0
1691769600000,8.47000000,8.49000000,8.43000000,8.46000000,14785.14000000,1691783999999,124997.26170000,715,6325.63000000,53513.36490000,0
1691784000000,8.46000000,8.50000000,8.46000000,8.48000000,5276.23000000,1691798399999,44731.61490000,308,3118.49000000,26445.35470000,0
1691798400000,8.49000000,8.55000000,8.47000000,8.52000000,23045.80000000,1691812799999,196383.12320000,856,11751.15000000,100170.45230000,0
1691812800000,8.52000000,8.55000000,8.51000000,8.53000000,15029.63000000,1691827199999,128207.34000000,843,7488.02000000,63892.12950000,0
1691827200000,8.54000000,8.55000000,8.51000000,8.54000000,11707.07000000,1691841599999,99894.52570000,506,6941.19000000,59252.26000000,0
1691841600000,8.54000000,8.57000000,8.52000000,8.55000000,14277.94000000,1691855999999,121932.59160000,570,7538.96000000,64402.32980000,0
