open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1669852800000,0.14140000,0.14250000,0.14020000,0.14070000,1082930.00000000,1669867199999,153112.76870000,818,551837.00000000,78146.18820000,0
1669867200000,0.14050000,0.14120000,0.13900000,0.13920000,1021573.00000000,1669881599999,143012.51240000,753,522034.00000000,73083.91230000,0
1669881600000,0.13920000,0.13970000,0.13830000,0.13940000,1206236.00000000,1669895999999,167615.02480000,1007,526022.00000000,73137.82130000,0
1669896000000,0.13970000,0.14370000,0.13750000,0.14020000,4223197.00000000,1669910399999,593332.78530000,2952,1942913.00000000,273294.55880000,0
1669910400000,0.14020000,0.14020000,0.13750000,0.13770000,917524.00000000,1669924799999,127481.86990000,820,357664.00000000,49681.40710000,0
1669924800000,0.13760000,0.13800000,0.13610000,0.13780000,783782.00000000,1669939199999,107443.48390000,717,347996.00000000,47723.94880000,0
1669939200000,0.13770000,0.13920000,0.13350000,0.13590000,1913010.00000000,1669953599999,261031.38170000,1318,873203.00000000,119405.97300000,0
1669953600000,0.13600000,0.13850000,0.13480000,0.13790000,1308866.00000000,1669967999999,179592.50250000,820,792716.00000000,108806.22400000,0
1669968000000,0.13780000,0.14120000,0.13750000,0.14050000,1796547.00000000,1669982399999,251025.26440000,1332,1035953.00000000,144739.56040000,0
1669982400000,0.14050000,0.14070000,0.13730000,0.13960000,1286129.00000000,1669996799999,178628.69590000,1064,568874.00000000,79061.31500000,0
1669996800000,0.13960000,0.14010000,0.13850000,0.13970000,851545.00000000,1670011199999,118584.60390000,741,456416.00000000,63591.81080000,0
1670011200000,0.13960000,0.14000000,0.13900000,0.13960000,639175.00000000,1670025599999,89187.59720000,466,275413.00000000,38440.12590000,0
1670025600000,0.13970000,0.14500000,0.13970000,0.13990000,6196764.00000000,1670039999999,880245.15210000,4313,3143310.00000000,447529.14270000,0
1670040000000,0.14000000,0.14000000,0.13730000,0.13750000,634478.00000000,1670054399999,87751.10890000,505,154629.00000000,21446.87550000,0
