open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1767225600000000,4.16000000,4.21200000,4.16000000,4.19000000,47560.02000000,1767239999999999,199219.40462000,2855,24690.50000000,103505.40023000,0
1767240000000000,4.18900000,4.27200000,4.17600000,4.27100000,82534.43000000,1767254399999999,349709.73437000,5268,37510.32000000,158939.73395000,0
1767254400000000,4.27200000,4.38000000,4.24700000,4.36200000,188512.23000000,1767268799999999,812450.56019000,9858,91478.29000000,394018.27195000,0
1767268800000000,4.36300000,4.49800000,4.31200000,4.49400000,149474.38000000,1767283199999999,656340.15548000,9794,78463.14000000,345184.16447000,0
1767283200000000,4.49400000,4.55600000,4.43100000,4.53600000,144453.96000000,1767297599999999,648855.81477000,11629,71320.62000000,320215.11541000,0
1767297600000000,4.53700000,4.55100000,4.47700000,4.51600000,72924.80000000,1767311999999999,328926.57275000,5276,33114.56000000,149655.82209000,0
1767312000000000,4.51600000,4.58300000,4.48500000,4.55500000,83120.84000000,1767326399999999,375741.92521000,6442,41110.41000000,185991.15857000,0
1767326400000000,4.55400000,4.57600000,4.48200000,4.50200000,74727.94000000,1767340799999999,338548.84156000,5093,30842.10000000,139791.65078000,0
1767340800000000,4.50300000,4.56900000,4.45500000,4.51200000,88069.28000000,1767355199999999,396904.21623000,6957,40939.31000000,184575.83738000,0
1767355200000000,4.51100000,4.60000000,4.46800000,4.51000000,139433.52000000,1767369599999999,631364.14592000,12245,67556.63000000,306170.01491000,0
1767369600000000,4.51100000,4.59000000,4.49700000,4.54800000,89426.43000000,1767383999999999,406814.55267000,7322,47994.56000000,218316.29944000,0
1767384000000000,4.54800000,4.60000000,4.52400000,4.56900000,77394.77000000,1767398399999999,352610.44561000,4407,47662.23000000,217302.08640000,0
1767398400000000,4.56800000,4.63900000,4.52500000,4.61600000,72459.25000000,1767412799999999,332246.65732000,4848,28782.30000000,131911.50786000,0
1767412800000000,4.61800000,4.64800000,4.46800000,4.49300000,131026.97000000,1767427199999999,599866.81906000,10659,59854.99000000,274100.76524000,0
1767427200000000,4.49200000,4.53200000,4.46300000,4.52800000,102461.04000000,1767441599999999,460294.98426000,7112,58151.82000000,261103.76900000,0
1767441600000000,4.52800000,4.60700000,4.51600000,4.53900000,52198.11000000,1767455999999999,238073.72695000,3911,26800.35000000,122364.80777000,0
1767456000000000,4.54000000,4.68300000,4.54000000,4.60300000,101861.68000000,1767470399999999,469427.86705000,6933,49056.10000000,225949.79221000,0
1767470400000000,4.60400000,4.67600000,4.57500000,4.61500000,50430.68000000,1767484799999999,233477.02798000,3152,21582.82000000,99875.67239000,0
1767484800000000,4.61600000,4.68500000,4.58900000,4.64800000,117757.91000000,1767499199999999,545163.77748000,7517,64431.46000000,298383.74465000,0
