open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1740787200000000,2.87200000,2.91100000,2.82000000,2.88700000,619902.20000000,1740801599999999,1781581.04020000,13078,379568.10000000,1092355.70080000,0
1740801600000000,2.88800000,2.92500000,2.82000000,2.83700000,391090.40000000,1740815999999999,1124630.30220000,8850,196593.60000000,566240.64670000,0
1740816000000000,2.83700000,2.87300000,2.76600000,2.78600000,599413.20000000,1740830399999999,1686936.09310000,10131,296612.10000000,836167.63240000,0
1740830400000000,2.78600000,2.81100000,2.75700000,2.80700000,575820.90000000,1740844799999999,1602979.33330000,12474,316480.90000000,881086.38730000,0
1740844800000000,2.80600000,2.87400000,2.79200000,2.84900000,300281.30000000,1740859199999999,848710.85580000,8203,158300.20000000,447364.85140000,0
1740859200000000,2.84800000,2.89000000,2.82900000,2.85400000,294972.10000000,1740873599999999,842555.74420000,6442,153219.80000000,437982.47470000,0
1740873600000000,2.85400000,2.85800000,2.81100000,2.82900000,231249.20000000,1740887999999999,655374.28610000,5924,88712.30000000,251457.79320000,0
1740888000000000,2.82900000,2.84500000,2.79500000,2.79800000,279411.10000000,1740902399999999,787031.09220000,5414,135282.10000000,381198.71560000,0
1740902400000000,2.79900000,2.84900000,2.78700000,2.81700000,223970.30000000,1740916799999999,632150.04950000,5569,125752.80000000,355245.22250000,0
1740916800000000,2.81700000,2.89900000,2.73400000,2.82900000,1036511.20000000,1740931199999999,2922731.98330000,22151,495479.10000000,1397714.97330000,0
1740931200000000,2.83000000,3.09300000,2.82700000,3.06600000,2360812.40000000,1740945599999999,7119468.78800000,62536,1165835.40000000,3514323.91430000,0
1740945600000000,3.06500000,3.12700000,3.05000000,3.08100000,855058.50000000,1740959999999999,2640410.65770000,16881,455208.20000000,1407112.54400000,0
1740960000000000,3.08200000,3.08900000,2.92100000,2.94300000,800967.20000000,1740974399999999,2395398.96360000,17267,319386.70000000,954824.27050000,0
1740974400000000,2.94400000,2.96800000,2.82200000,2.87200000,504876.00000000,1740988799999999,1461587.51660000,12384,224081.20000000,648805.35020000,0
1740988800000000,2.87300000,2.87400000,2.79200000,2.81700000,619388.10000000,1741003199999999,1743725.79870000,12481,312921.40000000,881694.12660000,0
1741003200000000,2.81700000,2.86700000,2.67800000,2.69100000,1712803.50000000,1741017599999999,4727899.46330000,27742,880750.60000000,2428706.23310000,0
1741017600000000,2.69100000,2.70700000,2.44000000,2.45500000,1995032.30000000,1741031999999999,5148261.35220000,39252,947957.80000000,2452687.02400000,0
1741032000000000,2.45600000,2.51800000,2.43700000,2.46700000,1133465.50000000,1741046399999999,2810506.54300000,23648,632881.40000000,1569322.91810000,0
1741046400000000,2.46700000,2.49100000,2.21700000,2.36300000,4156140.80000000,1741060799999999,9729680.60440000,59039,2191064.30000000,5122870.96130000,0
1741060800000000,2.36200000,2.42200000,2.35200000,2.35400000,626356.80000000,1741075199999999,1490542.62150000,14706,303290.60000000,722132.63350000,0
1741075200000000,2.35500000,2.39000000,2.32700000,2.35800000,589561.80000000,1741089599999999,1390778.92810000,13463,304691.40000000,719620.19490000,0
1741089600000000,2.35700000,2.42900000,2.25500000,2.32000000,2925587.90000000,1741103999999999,6817375.99990000,50749,1413683.00000000,3298860.97150000,0
1741104000000000,2.32000000,2.49100000,2.21400000,2.47900000,1837031.40000000,1741118399999999,4351768.54580000,35314,1096918.10000000,2601506.25990000,0
1741118400000000,2.47800000,2.52400000,2.40600000,2.47100000,727945.50000000,1741132799999999,1798664.43900000,15887,378446.50000000,937183.84570000,0
1741132800000000,2.47100000,2.49200000,2.42700000,2.43900000,605916.30000000,1741147199999999,1490149.81140000,13688,298603.40000000,735173.42990000,0
1741147200000000,2.44000000,2.54600000,2.43700000,2.54000000,592867.20000000,1741161599999999,1480009.92720000,11455,337054.80000000,841989.96840000,0
1741161600000000,2.53900000,2.63000000,2.49200000,2.49800000,1727706.80000000,1741175999999999,4427788.02270000,18572,894984.10000000,2291118.58000000,0
1741176000000000,2.49800000,2.52800000,2.41400000,2.45100000,1013937.50000000,1741190399999999,2513872.34470000,16204,532794.50000000,1322884.52080000,0
1741190400000000,2.45100000,2.52700000,2.41200000,2.51600000,623928.20000000,1741204799999999,1543243.39370000,13883,331541.90000000,820120.71350000,0
1741204800000000,2.51700000,2.54600000,2.50600000,2.52200000,451682.60000000,1741219199999999,1140549.38920000,9538,244203.80000000,616850.85210000,0
1741219200000000,2.52300000,2.55900000,2.44600000,2.53800000,1367798.30000000,1741233599999999,3421369.20950000,17403,563979.20000000,1411366.07930000,0
1741233600000000,2.53900000,2.65400000,2.51200000,2.60600000,1122883.90000000,1741247999999999,2917028.02650000,16692,462630.80000000,1203900.95970000,0
1741248000000000,2.60400000,2.64800000,2.55600000,2.58600000,648521.00000000,1741262399999999,1684106.32340000,11603,281569.90000000,731192.50610000,0
1741262400000000,2.58700000,2.59600000,2.45700000,2.53100000,920497.10000000,1741276799999999,2320305.52630000,16535,436981.90000000,1102277.49090000,0
1741276800000000,2.53100000,2.54300000,2.42300000,2.44100000,883090.90000000,1741291199999999,2180315.93720000,13003,345150.10000000,852292.87630000,0
