open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1730419200000,0.62810000,0.63160000,0.61090000,0.62550000,484711.63000000,1730433599999,301616.06240700,2693,268492.70000000,167201.96692800,0
1730433600000,0.62550000,0.62910000,0.60940000,0.61500000,268279.78000000,1730447999999,166523.05133200,1780,117437.03000000,72893.82576300,0
1730448000000,0.61500000,0.63190000,0.61500000,0.63100000,141285.17000000,1730462399999,88189.51498900,1395,84601.37000000,52811.79573200,0
1730462400000,0.63080000,0.65100000,0.60680000,0.61740000,731308.70000000,1730476799999,463086.48987900,5384,300313.62000000,190533.04296600,0
1730476800000,0.61720000,0.62910000,0.61600000,0.61990000,289334.15000000,1730491199999,180388.00215600,2327,158351.82000000,98771.60531700,0
1730491200000,0.62040000,0.62400000,0.60900000,0.61820000,320050.79000000,1730505599999,198120.54968600,1769,220036.06000000,136311.40033700,0
1730505600000,0.61780000,0.62750000,0.61590000,0.61600000,131950.71000000,1730519999999,82057.58060900,821,67980.23000000,42339.23827200,0
1730520000000,0.61600000,0.61850000,0.60970000,0.61540000,131003.68000000,1730534399999,80542.57737600,1100,69057.17000000,42461.58144100,0
1730534400000,0.61540000,0.62090000,0.60920000,0.61040000,342120.01000000,1730548799999,210227.54826100,1716,124383.63000000,76529.88579400,0
1730548800000,0.61000000,0.61080000,0.59430000,0.59970000,334737.80000000,1730563199999,200838.54495000,2483,173699.10000000,104273.15588600,0
1730563200000,0.59930000,0.60290000,0.59090000,0.59760000,210972.36000000,1730577599999,125832.11719400,1768,104133.98000000,62119.92292200,0
1730577600000,0.59750000,0.60010000,0.59150000,0.59370000,94056.51000000,1730591999999,56075.25816900,817,50792.60000000,30252.95442900,0
1730592000000,0.59420000,0.59870000,0.56160000,0.57050000,610814.25000000,1730606399999,353914.55757700,4917,306247.65000000,177170.98242700,0
1730606400000,0.57040000,0.58500000,0.57030000,0.58010000,227631.44000000,1730620799999,131995.50052400,2252,128649.05000000,74632.43656800,0
1730620800000,0.58010000,0.58170000,0.56800000,0.56890000,234206.07000000,1730635199999,135213.96759600,1657,85605.81000000,49467.77102500,0
1730635200000,0.56900000,0.57430000,0.54470000,0.55790000,556106.92000000,1730649599999,310210.98406100,4423,289122.22000000,161183.56289900,0
1730649600000,0.55770000,0.57330000,0.55720000,0.57270000,430191.28000000,1730663999999,242127.21969800,2462,220896.22000000,124507.67460000,0
1730664000000,0.57210000,0.58490000,0.57020000,0.57950000,371724.51000000,1730678399999,215299.85750800,2932,201259.69000000,116623.78596900,0
1730678400000,0.58030000,0.58630000,0.56980000,0.57800000,326521.68000000,1730692799999,188857.83703300,2574,153123.19000000,88599.97202200,0
1730692800000,0.57770000,0.58120000,0.57000000,0.57260000,237230.23000000,1730707199999,135982.64681700,2141,102887.84000000,59015.01417500,0
1730707200000,0.57270000,0.58820000,0.57060000,0.58430000,440659.07000000,1730721599999,255770.90825100,3276,266476.46000000,154853.86998600,0
1730721600000,0.58410000,0.59130000,0.57270000,0.57490000,793388.49000000,1730735999999,463341.40210400,5954,400022.34000000,233681.64265800,0
1730736000000,0.57480000,0.57720000,0.56050000,0.56590000,806502.47000000,1730750399999,459184.49151600,4771,372321.05000000,212011.78555000,0
1730750400000,0.56580000,0.56660000,0.54710000,0.56200000,524880.37000000,1730764799999,292737.04039500,4521,276790.79000000,154386.86863600,0
1730764800000,0.56190000,0.57100000,0.56060000,0.56790000,549889.10000000,1730779199999,311238.23472900,3464,312095.51000000,176599.20099900,0
1730779200000,0.56800000,0.57480000,0.56710000,0.57220000,237399.08000000,1730793599999,135577.22292100,1637,126997.34000000,72539.41846400,0
1730793600000,0.57220000,0.57930000,0.57020000,0.57900000,270844.16000000,1730807999999,155442.69698300,2111,132046.37000000,75786.54593000,0
1730808000000,0.57920000,0.59530000,0.57560000,0.58450000,764296.28000000,1730822399999,447831.80745600,6457,363319.84000000,213012.39713300,0
1730822400000,0.58490000,0.59720000,0.57180000,0.57440000,717768.74000000,1730836799999,421612.21750500,4141,276765.41000000,162530.42907000,0
1730836800000,0.57450000,0.58340000,0.57130000,0.57940000,348971.66000000,1730851199999,201530.73219500,2483,152826.13000000,88245.24426900,0
1730851200000,0.57910000,0.62890000,0.57440000,0.62890000,1350146.86000000,1730865599999,820403.77942800,10587,671460.98000000,407875.01273400,0
1730865600000,0.62870000,0.64750000,0.62460000,0.62790000,2211680.66000000,1730879999999,1401345.73380900,16918,1063847.38000000,674716.76720300,0
1730880000000,0.62840000,0.63800000,0.61110000,0.63730000,651354.14000000,1730894399999,407803.93785300,5833,303707.98000000,190333.89962700,0
1730894400000,0.63740000,0.63740000,0.62420000,0.63220000,526381.07000000,1730908799999,332699.32620500,4497,251403.04000000,158858.21523500,0
1730908800000,0.63180000,0.63980000,0.63050000,0.63980000,565187.78000000,1730923199999,359118.67964500,4799,246869.48000000,157015.81486800,0
1730923200000,0.63990000,0.65900000,0.63740000,0.65130000,471799.07000000,1730937599999,305620.61687400,3998,205903.71000000,133302.60001200,0
1730937600000,0.65180000,0.67440000,0.64760000,0.66780000,720059.63000000,1730951999999,478033.91675600,5836,408519.42000000,271300.30381000,0
1730952000000,0.66780000,0.66850000,0.64350000,0.65730000,582202.05000000,1730966399999,382715.33244900,4209,274269.60000000,180370.17194900,0
1730966400000,0.65710000,0.66230000,0.64870000,0.65120000,474561.02000000,1730980799999,311302.35172300,2947,230238.95000000,150965.65464200,0
1730980800000,0.65120000,0.66140000,0.64370000,0.66140000,584983.18000000,1730995199999,382312.68190100,4006,266806.20000000,174346.15781600,0
1730995200000,0.66070000,0.66410000,0.65140000,0.65990000,546882.56000000,1731009599999,359651.95827100,3961,262118.87000000,172402.74777900,0
1731009600000,0.66020000,0.66540000,0.64960000,0.65520000,332569.70000000,1731023999999,218711.16585300,2432,160706.61000000,105676.96174600,0
1731024000000,0.65560000,0.66610000,0.63590000,0.64150000,658747.69000000,1731038399999,432443.24128800,3962,343958.24000000,226142.47930100,0
1731038400000,0.64180000,0.64850000,0.63920000,0.64550000,231782.31000000,1731052799999,149305.74469200,1592,131028.09000000,84345.26118100,0
1731052800000,0.64560000,0.64900000,0.63890000,0.64150000,383010.46000000,1731067199999,246657.53672600,2306,177393.33000000,114311.26444700,0
1731067200000,0.64150000,0.65280000,0.63620000,0.64450000,489369.68000000,1731081599999,315476.11974500,3701,249193.69000000,160753.98529300,0
1731081600000,0.64440000,0.65360000,0.62830000,0.65040000,533397.25000000,1731095999999,341778.96429800,4805,273579.93000000,175323.09272300,0
1731096000000,0.65020000,0.65890000,0.64130000,0.65810000,316772.57000000,1731110399999,206039.38236800,2312,163884.60000000,106627.23660200,0
1731110400000,0.65860000,0.66030000,0.64800000,0.65010000,446744.02000000,1731124799999,291688.30138000,3070,234456.84000000,153029.12573500,0
1731124800000,0.64970000,0.67150000,0.64920000,0.67120000,676053.15000000,1731139199999,448800.98642700,4491,320915.94000000,212943.15008500,0
1731139200000,0.67120000,0.67610000,0.66360000,0.67480000,377404.10000000,1731153599999,253237.58486100,2623,178723.85000000,119833.94527700,0
1731153600000,0.67480000,0.67610000,0.66220000,0.67360000,392224.36000000,1731167999999,262442.05602100,3075,184346.96000000,123396.41601300,0
1731168000000,0.67360000,0.68520000,0.65660000,0.67950000,677443.21000000,1731182399999,455887.38365900,4994,320146.28000000,215553.57708200,0
1731182400000,0.67900000,0.70070000,0.67740000,0.69820000,774331.97000000,1731196799999,535133.37452200,5724,406072.28000000,280604.17704300,0
1731196800000,0.69860000,0.70220000,0.68130000,0.69870000,605284.72000000,1731211199999,418028.93570800,5001,269518.50000000,186008.00026000,0
1731211200000,0.69860000,0.71920000,0.69700000,0.71730000,935160.07000000,1731225599999,662592.35210300,7281,426819.89000000,302496.02869200,0
1731225600000,0.71780000,0.76400000,0.71740000,0.73300000,2901268.14000000,1731239999999,2137966.82923600,16954,1435286.32000000,1060211.79663100,0
1731240000000,0.73280000,0.74350000,0.71830000,0.73590000,1084304.90000000,1731254399999,791846.22735200,8364,496060.91000000,362252.43100000,0
1731254400000,0.73590000,0.73610000,0.71030000,0.71850000,1320817.80000000,1731268799999,958886.60795500,9674,628065.51000000,456041.83428000,0
1731268800000,0.71950000,0.72940000,0.68400000,0.72350000,971713.22000000,1731283199999,691560.70446400,8956,479458.20000000,340720.94077700,0
1731283200000,0.72380000,0.75580000,0.72180000,0.74700000,836712.69000000,1731297599999,620972.96819200,7048,396228.06000000,294155.84014900,0
1731297600000,0.74720000,0.74880000,0.70330000,0.71930000,742366.94000000,1731311999999,536062.79114200,9284,368266.54000000,265805.12962800,0
1731312000000,0.71860000,0.74560000,0.71760000,0.74410000,690094.05000000,1731326399999,505421.85424200,5790,397945.68000000,291791.26195800,0
