open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1677628800000,1.33550000,1.36390000,1.30340000,1.35070000,756106.00000000,1677643199999,1009889.81630000,4664,357248.00000000,477549.10870000,0
1677643200000,1.35230000,1.40380000,1.34580000,1.40080000,1343212.00000000,1677657599999,1861470.40620000,6439,697454.00000000,966741.01000000,0
1677657600000,1.40040000,1.42180000,1.38160000,1.40500000,1579055.00000000,1677671999999,2215685.60040000,7201,781130.00000000,1095815.24380000,0
1677672000000,1.40690000,1.44290000,1.39160000,1.42870000,1192710.00000000,1677686399999,1689682.63730000,7364,587936.00000000,833151.71550000,0
1677686400000,1.42960000,1.44390000,1.39140000,1.39780000,913292.00000000,1677700799999,1293158.42150000,5949,377515.00000000,534727.07990000,0
1677700800000,1.39940000,1.44000000,1.39470000,1.42930000,422248.00000000,1677715199999,600830.67770000,2944,229705.00000000,326785.09840000,0
1677715200000,1.42860000,1.44940000,1.38380000,1.39900000,793421.00000000,1677729599999,1119713.74950000,4916,374321.00000000,528783.53100000,0
1677729600000,1.40100000,1.43030000,1.37020000,1.38190000,518520.00000000,1677743999999,721412.10440000,3505,209594.00000000,292010.12100000,0
1677744000000,1.38000000,1.39400000,1.35620000,1.36030000,587834.00000000,1677758399999,805610.68490000,3303,272281.00000000,372893.07500000,0
1677758400000,1.36090000,1.36550000,1.32630000,1.34410000,620585.00000000,1677772799999,834517.63260000,3710,264517.00000000,355809.82390000,0
1677772800000,1.34400000,1.35660000,1.32870000,1.35320000,348813.00000000,1677787199999,467896.75570000,2436,213196.00000000,286205.13620000,0
1677787200000,1.35450000,1.36380000,1.34830000,1.36150000,163507.00000000,1677801599999,221684.36600000,1213,92524.00000000,125406.56350000,0
1677801600000,1.36140000,1.36560000,1.19850000,1.23470000,2061578.00000000,1677815999999,2586326.66000000,11019,883500.00000000,1107362.23880000,0
1677816000000,1.23430000,1.27470000,1.23270000,1.26600000,488677.00000000,1677830399999,615938.73820000,2929,228657.00000000,288120.61100000,0
1677830400000,1.26600000,1.27750000,1.25160000,1.25580000,399343.00000000,1677844799999,503419.25500000,2677,170936.00000000,215504.57020000,0
1677844800000,1.25540000,1.26220000,1.23770000,1.24710000,472447.00000000,1677859199999,590443.67650000,3366,246698.00000000,308126.32480000,0
1677859200000,1.24710000,1.25850000,1.23310000,1.24740000,564258.00000000,1677873599999,702269.11640000,3518,250494.00000000,312033.72780000,0
1677873600000,1.24550000,1.25620000,1.22020000,1.25500000,243742.00000000,1677887999999,302409.00310000,1831,126770.00000000,157530.08200000,0
1677888000000,1.25430000,1.28060000,1.24860000,1.25070000,468522.00000000,1677902399999,592888.57770000,3119,185915.00000000,235422.11190000,0
1677902400000,1.25040000,1.26200000,1.21490000,1.21800000,793674.00000000,1677916799999,973914.66520000,3443,397184.00000000,487122.91370000,0
1677916800000,1.21710000,1.22780000,1.20360000,1.20800000,515195.00000000,1677931199999,626422.57970000,3194,217800.00000000,264937.19120000,0
1677931200000,1.20800000,1.22900000,1.18280000,1.22000000,1064191.00000000,1677945599999,1283009.13440000,5504,505318.00000000,609624.42640000,0
1677945600000,1.21900000,1.23740000,1.19940000,1.20250000,845855.00000000,1677959999999,1031810.04630000,4336,410244.00000000,500708.08520000,0
1677960000000,1.20250000,1.20520000,1.15110000,1.20460000,681331.00000000,1677974399999,801671.28230000,4088,347712.00000000,408399.41300000,0
1677974400000,1.20390000,1.23510000,1.18180000,1.21700000,537490.00000000,1677988799999,652747.43240000,2944,257674.00000000,313247.59600000,0
1677988800000,1.21750000,1.23130000,1.20150000,1.20210000,213504.00000000,1678003199999,259570.38120000,1480,102227.00000000,124235.97410000,0
1678003200000,1.20210000,1.21240000,1.18620000,1.20410000,394235.00000000,1678017599999,473126.72340000,2473,171702.00000000,206168.09960000,0
1678017600000,1.20420000,1.22840000,1.20300000,1.21290000,448381.00000000,1678031999999,545313.76680000,2447,204342.00000000,248538.18200000,0
1678032000000,1.21280000,1.21480000,1.19540000,1.20460000,225394.00000000,1678046399999,271611.19040000,1509,90002.00000000,108495.33430000,0
1678046400000,1.20460000,1.21680000,1.18270000,1.18860000,266798.00000000,1678060799999,319298.25210000,1834,154444.00000000,184659.13220000,0
1678060800000,1.18850000,1.19890000,1.16100000,1.17510000,476927.00000000,1678075199999,561946.23420000,3148,197127.00000000,232442.74610000,0
1678075200000,1.17510000,1.18170000,1.15280000,1.16260000,520174.00000000,1678089599999,606132.26110000,3091,220073.00000000,256420.87740000,0
1678089600000,1.16360000,1.17900000,1.14850000,1.16930000,574305.00000000,1678103999999,667790.36410000,3050,265365.00000000,308813.62120000,0
1678104000000,1.16900000,1.20610000,1.15860000,1.20100000,449158.00000000,1678118399999,533434.95170000,2851,256557.00000000,304588.85190000,0
1678118400000,1.20250000,1.20840000,1.18140000,1.18360000,336245.00000000,1678132799999,401847.18610000,1829,141663.00000000,169287.71370000,0
1678132800000,1.18610000,1.19450000,1.16740000,1.19290000,340718.00000000,1678147199999,402104.94130000,2064,140819.00000000,166192.91460000,0
1678147200000,1.19280000,1.25880000,1.19280000,1.23390000,3781073.00000000,1678161599999,4655294.12560000,15651,2175760.00000000,2677287.75570000,0
1678161600000,1.23440000,1.24330000,1.21810000,1.22820000,575344.00000000,1678175999999,706939.42880000,3519,269967.00000000,331879.54690000,0
1678176000000,1.22680000,1.22790000,1.18180000,1.18270000,697421.00000000,1678190399999,839917.75290000,4173,281132.00000000,338334.05550000,0
1678190400000,1.18360000,1.19310000,1.13380000,1.18030000,1552248.00000000,1678204799999,1818805.25150000,7310,747606.00000000,876311.78640000,0
1678204800000,1.17810000,1.18040000,1.14720000,1.14850000,463279.00000000,1678219199999,538733.28510000,2751,209797.00000000,244063.24450000,0
1678219200000,1.14810000,1.16550000,1.13330000,1.15900000,508941.00000000,1678233599999,585985.54430000,2846,193777.00000000,223454.21500000,0
1678233600000,1.16060000,1.16810000,1.10730000,1.11420000,1530471.00000000,1678247999999,1740665.12080000,6942,697877.00000000,794606.26280000,0
1678248000000,1.11510000,1.11860000,1.07630000,1.08170000,995264.00000000,1678262399999,1085712.26270000,5213,436724.00000000,476020.39220000,0
1678262400000,1.08100000,1.10240000,1.07980000,1.08840000,406136.00000000,1678276799999,442849.97660000,2466,205372.00000000,223972.18250000,0
1678276800000,1.08860000,1.12780000,1.07060000,1.11920000,1694178.00000000,1678291199999,1848331.44210000,6198,893080.00000000,974098.73450000,0
1678291200000,1.11910000,1.11950000,1.09310000,1.10670000,271548.00000000,1678305599999,300463.27190000,2205,153074.00000000,169367.79910000,0
1678305600000,1.10610000,1.11840000,1.07910000,1.10110000,568582.00000000,1678319999999,627365.61100000,3286,268750.00000000,296792.46070000,0
1678320000000,1.10210000,1.10260000,1.03330000,1.08010000,1141548.00000000,1678334399999,1212781.46720000,6105,548118.00000000,582852.37890000,0
1678334400000,1.08040000,1.10020000,1.07400000,1.07750000,466858.00000000,1678348799999,508241.69520000,2477,205078.00000000,223244.16530000,0
1678348800000,1.07840000,1.08500000,1.06090000,1.08500000,360273.00000000,1678363199999,386877.21060000,2134,144291.00000000,155054.40060000,0
1678363200000,1.08600000,1.11210000,1.07220000,1.09030000,542981.00000000,1678377599999,595050.98430000,2877,278388.00000000,305524.92620000,0
1678377600000,1.09020000,1.09570000,1.03710000,1.04390000,786938.00000000,1678391999999,837798.49010000,3429,296917.00000000,316880.41350000,0
1678392000000,1.04330000,1.04330000,0.95600000,1.00060000,1338113.00000000,1678406399999,1318180.90700000,6965,666841.00000000,657757.02420000,0
1678406400000,1.00160000,1.00860000,0.96800000,1.00000000,688413.00000000,1678420799999,682142.18580000,3055,348016.00000000,345330.89420000,0
1678420800000,1.00030000,1.00480000,0.97580000,0.99340000,536801.00000000,1678435199999,532905.20540000,3128,216489.00000000,214731.77310000,0
1678435200000,0.99370000,0.99490000,0.87010000,0.88510000,2752702.00000000,1678449599999,2493129.17240000,10790,1174818.00000000,1061851.19010000,0
1678449600000,0.88610000,0.92910000,0.88170000,0.90710000,2074508.00000000,1678463999999,1867622.68450000,8523,894017.00000000,806487.40770000,0
1678464000000,0.90650000,0.93350000,0.89180000,0.90630000,1003060.00000000,1678478399999,912877.28070000,4315,457379.00000000,415468.32390000,0
1678478400000,0.90680000,0.92990000,0.87820000,0.91790000,830755.00000000,1678492799999,756124.84010000,4888,352093.00000000,320690.09580000,0
1678492800000,0.91740000,0.94580000,0.91200000,0.91340000,939063.00000000,1678507199999,872107.34920000,5215,463403.00000000,430281.13560000,0
1678507200000,0.91350000,0.94200000,0.86340000,0.86710000,1404386.00000000,1678521599999,1270242.65060000,5619,657737.00000000,593966.92050000,0
1678521600000,0.86670000,0.89900000,0.86400000,0.87180000,989924.00000000,1678535999999,871465.89780000,4466,510695.00000000,450463.33450000,0
1678536000000,0.87030000,0.89820000,0.85940000,0.86390000,829190.00000000,1678550399999,730030.12130000,3137,344414.00000000,303562.91600000,0
1678550400000,0.86330000,0.88220000,0.84500000,0.88030000,602843.00000000,1678564799999,521757.60740000,3040,284118.00000000,246126.82350000,0
1678564800000,0.88210000,0.90390000,0.87810000,0.90340000,620358.00000000,1678579199999,553399.03450000,3309,309848.00000000,276440.99740000,0
1678579200000,0.90360000,0.91640000,0.89270000,0.91180000,533686.00000000,1678593599999,483100.47130000,2938,232513.00000000,210469.49890000,0
1678593600000,0.91220000,0.91900000,0.89580000,0.90040000,263042.00000000,1678607999999,239006.14830000,1078,99889.00000000,90825.45560000,0
1678608000000,0.90090000,0.90760000,0.89680000,0.90230000,304170.00000000,1678622399999,274587.40080000,1919,160373.00000000,144783.29220000,0
1678622400000,0.90170000,0.90760000,0.87710000,0.88120000,383562.00000000,1678636799999,343190.43160000,2580,159636.00000000,142880.86180000,0
1678636800000,0.88070000,0.93500000,0.87770000,0.91490000,1271945.00000000,1678651199999,1157694.45620000,6401,622893.00000000,566529.57990000,0
1678651200000,0.91490000,1.01660000,0.91490000,1.00630000,2185011.00000000,1678665599999,2105921.59330000,10165,1197889.00000000,1156910.24420000,0
