open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1754006400000000,0.04550000,0.04570000,0.04390000,0.04530000,14528467.10000000,1754020799999999,653128.79432000,5307,6804876.30000000,306608.63966000,0
1754020800000000,0.04520000,0.04530000,0.04400000,0.04460000,8465869.70000000,1754035199999999,378290.39354000,3219,4049543.20000000,181103.99877000,0
1754035200000000,0.04460000,0.04500000,0.04370000,0.04490000,10399333.80000000,1754049599999999,461822.14472000,2766,5043325.70000000,224164.51958000,0
1754049600000000,0.04480000,0.04670000,0.04380000,0.04630000,12167900.80000000,1754063999999999,552076.94213000,3173,6412543.80000000,291179.44341000,0
1754064000000000,0.04620000,0.04670000,0.04480000,0.04640000,7875471.90000000,1754078399999999,360423.93043000,2482,3460340.30000000,158319.98210000,0
1754078400000000,0.04650000,0.04750000,0.04430000,0.04690000,16295540.90000000,1754092799999999,747598.56058000,5194,8476069.60000000,389179.36372000,0
1754092800000000,0.04690000,0.04850000,0.04630000,0.04660000,13605290.20000000,1754107199999999,645037.73756000,3286,6841055.40000000,324857.97403000,0
1754107200000000,0.04660000,0.04850000,0.04570000,0.04740000,18559833.30000000,1754121599999999,880316.90747000,4682,9662464.00000000,459877.56992000,0
1754121600000000,0.04730000,0.04740000,0.04420000,0.04560000,14646248.20000000,1754135999999999,662582.58091000,4476,6001147.20000000,271313.46661000,0
1754136000000000,0.04560000,0.04570000,0.04360000,0.04380000,9031368.70000000,1754150399999999,401746.00216000,3134,3974497.10000000,176748.24521000,0
1754150400000000,0.04380000,0.04460000,0.04230000,0.04330000,18022943.20000000,1754164799999999,778859.70606000,5415,8077398.60000000,349978.22654000,0
1754164800000000,0.04340000,0.04440000,0.04320000,0.04390000,6041300.80000000,1754179199999999,264676.39558000,2134,3015853.50000000,132356.19861000,0
1754179200000000,0.04390000,0.04510000,0.04340000,0.04460000,6301462.40000000,1754193599999999,278703.97048000,2409,3188754.70000000,141093.31810000,0
1754193600000000,0.04460000,0.04510000,0.04410000,0.04480000,5599822.30000000,1754207999999999,249315.20758000,1967,2538515.90000000,113145.43555000,0
1754208000000000,0.04470000,0.04560000,0.04460000,0.04490000,4559797.40000000,1754222399999999,205536.14503000,1250,2201541.30000000,99221.30209000,0
1754222400000000,0.04480000,0.04520000,0.04450000,0.04490000,4474507.70000000,1754236799999999,200599.10181000,1595,2022322.80000000,90701.56875000,0
1754236800000000,0.04480000,0.04550000,0.04470000,0.04520000,3315814.50000000,1754251199999999,149711.98649000,1150,2001599.10000000,90399.74436000,0
1754251200000000,0.04520000,0.04580000,0.04500000,0.04520000,2994793.20000000,1754265599999999,135948.97949000,1250,1598510.10000000,72598.87268000,0
1754265600000000,0.04530000,0.04660000,0.04490000,0.04560000,4308004.30000000,1754279999999999,197730.33774000,1575,2359503.30000000,108268.81230000,0
1754280000000000,0.04570000,0.04630000,0.04520000,0.04620000,3863503.50000000,1754294399999999,176490.25756000,866,1802127.40000000,82356.09855000,0
1754294400000000,0.04630000,0.04630000,0.04530000,0.04560000,3810048.50000000,1754308799999999,174691.52407000,1064,1535249.60000000,70459.52537000,0
