open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1648771200000,4.40840000,4.49030000,4.30110000,4.46550000,152300.91000000,1648785599999,671986.71490600,3647,76815.76000000,338973.46202800,0
1648785600000,4.46550000,4.59540000,4.36310000,4.47330000,246390.99000000,1648799999999,1101035.41001400,5917,111200.64000000,496907.93501700,0
1648800000000,4.47430000,4.94100000,4.45500000,4.86770000,821921.83000000,1648814399999,3869705.20629000,17379,409964.71000000,1933076.62295100,0
1648814400000,4.86820000,5.26000000,4.83320000,4.84290000,1171538.74000000,1648828799999,5887592.11546700,24076,590031.86000000,2967024.69028500,0
1648828800000,4.84790000,5.10490000,4.84790000,4.89650000,289410.46000000,1648843199999,1430396.67233500,7455,144297.01000000,713210.61682000,0
1648843200000,4.89790000,5.08520000,4.85000000,5.07750000,230023.27000000,1648857599999,1142518.88314800,5759,118751.77000000,589677.34662500,0
1648857600000,5.08070000,5.09690000,4.93620000,5.00020000,175759.47000000,1648871999999,881151.69916900,4995,80815.82000000,405136.34124700,0
1648872000000,4.99760000,5.43330000,4.93880000,5.24590000,472360.12000000,1648886399999,2469174.17498000,11578,253590.41000000,1326758.26835800,0
1648886400000,5.24240000,5.34740000,5.10330000,5.10610000,261068.22000000,1648900799999,1354021.35628700,4964,123328.31000000,640267.34408800,0
1648900800000,5.10420000,5.15390000,5.02010000,5.10320000,189177.45000000,1648915199999,965095.86517100,4459,88261.90000000,450279.91880900,0
1648915200000,5.10500000,5.25230000,5.04700000,5.15880000,228355.97000000,1648929599999,1174979.58493100,5818,108895.54000000,560328.68050000,0
1648929600000,5.15280000,5.31970000,5.13520000,5.27190000,174608.36000000,1648943999999,909936.14453600,4727,87251.22000000,454940.38772600,0
1648944000000,5.26640000,5.28420000,5.13980000,5.20800000,68427.93000000,1648958399999,355056.08197900,1809,28922.44000000,150000.31737700,0
1648958400000,5.21090000,5.26750000,5.11360000,5.11400000,107373.48000000,1648972799999,556779.26136900,2695,46003.89000000,238825.58519800,0
1648972800000,5.12050000,5.14500000,5.05000000,5.11760000,103971.18000000,1648987199999,529280.24542300,2680,48982.46000000,249425.53506800,0
1648987200000,5.11760000,5.23950000,5.02720000,5.07830000,145297.41000000,1649001599999,742651.10115200,3333,65433.53000000,334663.91019500,0
1649001600000,5.07830000,5.12570000,5.02960000,5.07990000,97085.82000000,1649015999999,492784.19915500,2555,44502.72000000,225782.04342300,0
1649016000000,5.08450000,5.09340000,5.03080000,5.05950000,77579.36000000,1649030399999,392189.69642300,1838,32498.20000000,164260.58275100,0
1649030400000,5.05800000,5.10100000,4.97310000,5.03520000,95412.83000000,1649044799999,480572.65473300,2624,45730.70000000,230235.70311300,0
1649044800000,5.03520000,5.10080000,5.00730000,5.07080000,83971.66000000,1649059199999,425408.77923500,2210,38061.40000000,192728.30499500,0
1649059200000,5.06480000,5.24590000,5.02940000,5.10630000,216282.73000000,1649073599999,1111136.13339200,5423,101731.31000000,522932.54528200,0
