open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1688169600000,0.30220000,0.30430000,0.30040000,0.30110000,118316.00000000,1688183999999,35771.82120000,380,40475.00000000,12247.76250000,0
1688184000000,0.30120000,0.30270000,0.29780000,0.30270000,61705.00000000,1688198399999,18494.97030000,217,25738.00000000,7726.99670000,0
1688198400000,0.30240000,0.30420000,0.29990000,0.30310000,132017.00000000,1688212799999,39846.25660000,286,49083.00000000,14829.54640000,0
1688212800000,0.30260000,0.30650000,0.30120000,0.30330000,178442.00000000,1688227199999,54289.10240000,360,92425.00000000,28162.42290000,0
1688227200000,0.30300000,0.30400000,0.30040000,0.30300000,66643.00000000,1688241599999,20131.59720000,145,37550.00000000,11342.17760000,0
1688241600000,0.30310000,0.30710000,0.30250000,0.30630000,41804.00000000,1688255999999,12721.43020000,92,32819.00000000,9996.52050000,0
1688256000000,0.30560000,0.30560000,0.30000000,0.30010000,30976.00000000,1688270399999,9347.77490000,118,9129.00000000,2759.15000000,0
1688270400000,0.30000000,0.30300000,0.30000000,0.30180000,37135.00000000,1688284799999,11155.27010000,56,9058.00000000,2725.71770000,0
1688284800000,0.30180000,0.30260000,0.30000000,0.30140000,38272.00000000,1688299199999,11510.74360000,107,10316.00000000,3104.97670000,0
1688299200000,0.30180000,0.30240000,0.29610000,0.29910000,226951.00000000,1688313599999,67995.56530000,331,46305.00000000,13878.32830000,0
1688313600000,0.29910000,0.30230000,0.29600000,0.29980000,93723.00000000,1688327999999,28038.32750000,213,51955.00000000,15579.46130000,0
1688328000000,0.29950000,0.30260000,0.29760000,0.30180000,91546.00000000,1688342399999,27450.94940000,471,36698.00000000,11018.01930000,0
1688342400000,0.30100000,0.30600000,0.30020000,0.30420000,121905.00000000,1688356799999,37041.36910000,1150,49878.00000000,15156.85890000,0
1688356800000,0.30470000,0.30750000,0.30090000,0.30610000,163439.00000000,1688371199999,49808.79470000,977,76325.00000000,23275.98200000,0
1688371200000,0.30560000,0.30740000,0.30430000,0.30500000,138887.00000000,1688385599999,42443.29010000,503,56305.00000000,17215.29740000,0
1688385600000,0.30500000,0.30960000,0.30270000,0.30840000,207842.00000000,1688399999999,63777.11900000,502,94259.00000000,28996.17330000,0
1688400000000,0.30930000,0.31600000,0.30560000,0.31140000,340664.00000000,1688414399999,105871.28600000,1062,185225.00000000,57548.39490000,0
1688414400000,0.31260000,0.31550000,0.30870000,0.31100000,282130.00000000,1688428799999,87957.08180000,631,123760.00000000,38672.49860000,0
1688428800000,0.31180000,0.31300000,0.30770000,0.30980000,143976.00000000,1688443199999,44617.93240000,348,58118.00000000,18017.71730000,0
1688443200000,0.30930000,0.32000000,0.30700000,0.31520000,490050.00000000,1688457599999,154043.12020000,1283,236553.00000000,74473.17510000,0
1688457600000,0.31580000,0.32000000,0.31290000,0.31960000,311013.00000000,1688471999999,98317.21830000,766,157721.00000000,49924.40070000,0
1688472000000,0.31910000,0.33120000,0.31580000,0.31850000,632948.00000000,1688486399999,204588.61850000,1561,303777.00000000,98594.04090000,0
1688486400000,0.31850000,0.32000000,0.31000000,0.31350000,259661.00000000,1688500799999,82012.80740000,711,127294.00000000,40246.79670000,0
1688500800000,0.31350000,0.32000000,0.31350000,0.31500000,162624.00000000,1688515199999,51679.36680000,345,100747.00000000,32046.75310000,0
1688515200000,0.31500000,0.32220000,0.31430000,0.31670000,122105.00000000,1688529599999,38830.46120000,269,73383.00000000,23393.80940000,0
1688529600000,0.31620000,0.32280000,0.31570000,0.31850000,143626.00000000,1688543999999,45973.75490000,373,73298.00000000,23436.70800000,0
1688544000000,0.31850000,0.32310000,0.31590000,0.31620000,328850.00000000,1688558399999,104501.74080000,631,117650.00000000,37494.94950000,0
1688558400000,0.31600000,0.31760000,0.30670000,0.30950000,294138.00000000,1688572799999,91968.22420000,582,133000.00000000,41685.39590000,0
1688572800000,0.30880000,0.31160000,0.30630000,0.30830000,138098.00000000,1688587199999,42646.12600000,295,77173.00000000,23853.89010000,0
1688587200000,0.30770000,0.31110000,0.30660000,0.31100000,95123.00000000,1688601599999,29359.57360000,234,53194.00000000,16449.55920000,0
1688601600000,0.31050000,0.31270000,0.30830000,0.31270000,51349.00000000,1688615999999,15952.44470000,151,26640.00000000,8278.48420000,0
1688616000000,0.31180000,0.31980000,0.31070000,0.31730000,81885.00000000,1688630399999,25830.10010000,233,45244.00000000,14259.49600000,0
1688630400000,0.31730000,0.32880000,0.31500000,0.32070000,427550.00000000,1688644799999,138277.52000000,1045,235590.00000000,76320.49310000,0
1688644800000,0.32020000,0.32520000,0.30860000,0.31890000,554281.00000000,1688659199999,176683.80030000,1086,275321.00000000,87964.37310000,0
1688659200000,0.31950000,0.44300000,0.31940000,0.41410000,28723341.00000000,1688673599999,11145640.87350000,66685,15387582.00000000,5956043.64320000,0
1688673600000,0.41440000,0.42410000,0.37770000,0.38650000,9251070.00000000,1688687999999,3731067.89930000,25213,4273761.00000000,1728448.23540000,0
1688688000000,0.38710000,0.40190000,0.33100000,0.33680000,5399800.00000000,1688702399999,1943029.72660000,13094,2458367.00000000,886124.52480000,0
1688702400000,0.33680000,0.35770000,0.32450000,0.33180000,6075338.00000000,1688716799999,2056587.24030000,14760,2769730.00000000,939745.75080000,0
1688716800000,0.33230000,0.35400000,0.33050000,0.33540000,3173004.00000000,1688731199999,1082794.66630000,8024,1567744.00000000,535910.87360000,0
1688731200000,0.33540000,0.35300000,0.33530000,0.34030000,2166116.00000000,1688745599999,742190.35420000,5499,1122461.00000000,385085.82540000,0
1688745600000,0.34010000,0.34500000,0.32930000,0.33860000,1628025.00000000,1688759999999,546462.71040000,3939,640457.00000000,215401.38150000,0
1688760000000,0.33830000,0.35500000,0.33610000,0.34400000,1459599.00000000,1688774399999,500912.24230000,3765,786336.00000000,269726.45970000,0
1688774400000,0.34420000,0.35050000,0.33370000,0.33730000,643976.00000000,1688788799999,219229.20580000,1706,201731.00000000,68822.47020000,0
1688788800000,0.33720000,0.33920000,0.33000000,0.33560000,716214.00000000,1688803199999,239044.26100000,1555,319670.00000000,106789.16380000,0
1688803200000,0.33600000,0.33610000,0.32990000,0.33040000,524188.00000000,1688817599999,174161.24510000,1062,220282.00000000,73218.76670000,0
1688817600000,0.33090000,0.33800000,0.32940000,0.33250000,713712.00000000,1688831999999,237561.34640000,1328,328208.00000000,109317.00600000,0
1688832000000,0.33210000,0.33700000,0.32350000,0.32350000,619245.00000000,1688846399999,203810.41070000,1066,263527.00000000,86811.56030000,0
1688846400000,0.32370000,0.32770000,0.32250000,0.32760000,160989.00000000,1688860799999,52302.16670000,421,82323.00000000,26754.62230000,0
1688860800000,0.32770000,0.32990000,0.32460000,0.32590000,193664.00000000,1688875199999,63292.41910000,383,56674.00000000,18535.46370000,0
1688875200000,0.32590000,0.33950000,0.32540000,0.33520000,541349.00000000,1688889599999,179978.91370000,1526,281422.00000000,93506.73040000,0
1688889600000,0.33430000,0.33550000,0.32710000,0.32910000,447521.00000000,1688903999999,147646.63810000,775,130213.00000000,43009.04880000,0
1688904000000,0.32910000,0.33430000,0.32790000,0.32950000,342558.00000000,1688918399999,113428.48560000,741,183555.00000000,60837.30620000,0
1688918400000,0.32990000,0.33270000,0.32530000,0.32600000,229772.00000000,1688932799999,75501.31930000,464,110209.00000000,36317.09330000,0
1688932800000,0.32610000,0.32830000,0.31960000,0.32070000,290909.00000000,1688947199999,93848.51300000,537,71245.00000000,23018.82230000,0
1688947200000,0.32070000,0.32070000,0.31500000,0.31880000,183397.00000000,1688961599999,58241.86640000,442,72212.00000000,22937.08940000,0
1688961600000,0.31880000,0.31980000,0.31460000,0.31750000,192850.00000000,1688975999999,61089.11450000,391,101374.00000000,32083.06200000,0
1688976000000,0.31750000,0.31770000,0.31160000,0.31700000,208842.00000000,1688990399999,65785.96580000,495,86744.00000000,27376.42730000,0
1688990400000,0.31730000,0.32000000,0.31620000,0.31950000,160418.00000000,1689004799999,50942.16180000,378,56915.00000000,18094.49900000,0
1689004800000,0.31990000,0.32600000,0.31620000,0.32440000,306692.00000000,1689019199999,98427.32270000,704,146614.00000000,47187.47850000,0
1689019200000,0.32440000,0.32530000,0.31650000,0.31850000,301224.00000000,1689033599999,96719.13200000,485,92455.00000000,29708.48450000,0
1689033600000,0.31880000,0.32360000,0.31530000,0.32260000,113862.00000000,1689047999999,36457.19720000,620,50414.00000000,16197.25790000,0
1689048000000,0.32230000,0.32700000,0.32200000,0.32300000,171911.00000000,1689062399999,55716.83970000,984,79265.00000000,25720.88500000,0
1689062400000,0.32300000,0.32380000,0.31740000,0.32000000,155443.00000000,1689076799999,49707.99220000,624,61605.00000000,19691.50100000,0
1689076800000,0.32010000,0.32010000,0.31400000,0.31560000,229790.00000000,1689091199999,72764.44510000,681,80101.00000000,25375.03230000,0
1689091200000,0.31560000,0.31960000,0.31350000,0.31810000,426100.00000000,1689105599999,134645.82280000,934,198885.00000000,62936.14590000,0
1689105600000,0.31800000,0.33000000,0.31640000,0.31880000,1356506.00000000,1689119999999,438421.84390000,2576,685074.00000000,222138.81670000,0
1689120000000,0.31910000,0.32070000,0.31830000,0.31930000,49233.00000000,1689134399999,15723.21310000,177,20869.00000000,6669.65140000,0
1689134400000,0.31900000,0.32200000,0.31850000,0.32150000,59948.00000000,1689148799999,19186.47150000,205,25100.00000000,8036.28000000,0
1689148800000,0.32090000,0.32160000,0.31750000,0.31810000,129356.00000000,1689163199999,41344.45900000,216,63409.00000000,20323.22250000,0
1689163200000,0.31780000,0.32610000,0.31650000,0.31730000,273006.00000000,1689177599999,87493.22190000,629,111001.00000000,35631.22060000,0
1689177600000,0.31730000,0.32420000,0.31400000,0.31410000,321866.00000000,1689191999999,102562.31910000,794,139955.00000000,44693.58930000,0
1689192000000,0.31400000,0.31640000,0.31310000,0.31560000,82962.00000000,1689206399999,26108.55140000,186,34944.00000000,10993.73620000,0
1689206400000,0.31590000,0.31620000,0.31180000,0.31300000,97961.00000000,1689220799999,30755.06450000,202,42192.00000000,13235.89330000,0
1689220800000,0.31280000,0.31600000,0.31150000,0.31450000,72115.00000000,1689235199999,22569.08890000,186,26766.00000000,8385.53570000,0
1689235200000,0.31430000,0.31960000,0.31300000,0.31790000,109588.00000000,1689249599999,34671.63110000,293,45563.00000000,14427.64910000,0
1689249600000,0.31780000,0.32550000,0.31500000,0.32140000,201185.00000000,1689263999999,64512.96850000,483,80809.00000000,26008.24410000,0
