open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1682899200000,0.45500000,0.46400000,0.44700000,0.45300000,175503.80000000,1682913599999,80181.80460000,490,89968.10000000,41136.15420000,0
1682913600000,0.45200000,0.45200000,0.44700000,0.45200000,34346.80000000,1682927999999,15458.96340000,119,11222.50000000,5050.87020000,0
1682928000000,0.45000000,0.45200000,0.45000000,0.45000000,26365.80000000,1682942399999,11898.65630000,103,7600.30000000,3433.93470000,0
1682942400000,0.45100000,0.45200000,0.44200000,0.44200000,61707.90000000,1682956799999,27550.48910000,185,19093.10000000,8514.26810000,0
1682956800000,0.44300000,0.44600000,0.44000000,0.44100000,112624.60000000,1682971199999,49880.71580000,328,61578.90000000,27300.26780000,0
1682971200000,0.44200000,0.44700000,0.44000000,0.44500000,35292.80000000,1682985599999,15642.77160000,157,20194.70000000,8951.65930000,0
1682985600000,0.44600000,0.45300000,0.44200000,0.44300000,137264.40000000,1682999999999,61188.34480000,729,73396.70000000,32740.25850000,0
1683000000000,0.44300000,0.44300000,0.44000000,0.44200000,21360.70000000,1683014399999,9433.83450000,159,9738.90000000,4301.46630000,0
1683014400000,0.44200000,0.44400000,0.43900000,0.44100000,48431.90000000,1683028799999,21350.74160000,237,21322.10000000,9410.46810000,0
1683028800000,0.44100000,0.44900000,0.43800000,0.44400000,68773.30000000,1683043199999,30447.57940000,387,41300.50000000,18292.38720000,0
1683043200000,0.44300000,0.44900000,0.44300000,0.44700000,36747.00000000,1683057599999,16344.18860000,134,26244.70000000,11684.10910000,0
1683057600000,0.44700000,0.44900000,0.44600000,0.44800000,27836.10000000,1683071999999,12446.86170000,107,18358.10000000,8210.63220000,0
1683072000000,0.44600000,0.45800000,0.44100000,0.44200000,162663.60000000,1683086399999,73072.84130000,529,72179.70000000,32521.05420000,0
1683086400000,0.44200000,0.44400000,0.44000000,0.44300000,17069.00000000,1683100799999,7545.29820000,123,10843.40000000,4797.21490000,0
1683100800000,0.44300000,0.44500000,0.43700000,0.43800000,59922.30000000,1683115199999,26479.37550000,271,30863.30000000,13644.46420000,0
1683115200000,0.43700000,0.44000000,0.43300000,0.43600000,104192.50000000,1683129599999,45449.38300000,373,66884.80000000,29193.36270000,0
1683129600000,0.43700000,0.44400000,0.43600000,0.44200000,47737.10000000,1683143999999,21025.82610000,214,26844.00000000,11824.87630000,0
1683144000000,0.44000000,0.45300000,0.43900000,0.45000000,68568.40000000,1683158399999,30664.32880000,297,37900.80000000,16983.51890000,0
1683158400000,0.44900000,0.45300000,0.44500000,0.45300000,52578.40000000,1683172799999,23544.67910000,202,34633.60000000,15513.89690000,0
1683172800000,0.45300000,0.45400000,0.45000000,0.45000000,51626.10000000,1683187199999,23299.40630000,180,25695.50000000,11596.38830000,0
1683187200000,0.45000000,0.45400000,0.44900000,0.45200000,49546.40000000,1683201599999,22347.43580000,188,18213.00000000,8228.18710000,0
1683201600000,0.45100000,0.45200000,0.44500000,0.44600000,55398.00000000,1683215999999,24777.30600000,185,28225.80000000,12625.64810000,0
1683216000000,0.44600000,0.44900000,0.44600000,0.44800000,44236.60000000,1683230399999,19807.11430000,156,20870.30000000,9346.59760000,0
1683230400000,0.44800000,0.45000000,0.44700000,0.44800000,24513.30000000,1683244799999,10996.99050000,141,10557.40000000,4743.04930000,0
1683244800000,0.44900000,0.45400000,0.44700000,0.45000000,43926.00000000,1683259199999,19785.16120000,137,28228.30000000,12729.14230000,0
1683259200000,0.45000000,0.45200000,0.44900000,0.45100000,6563.60000000,1683273599999,2954.17350000,67,3421.90000000,1541.17880000,0
1683273600000,0.45100000,0.45100000,0.44700000,0.44900000,19987.20000000,1683287999999,8989.82360000,158,9373.40000000,4220.78640000,0
