open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1769904000000000,1.06600000,1.08400000,1.06000000,1.08400000,26775.10000000,1769918399999999,28646.44990000,480,14603.60000000,15627.37910000,0
1769918400000000,1.08300000,1.09600000,1.08200000,1.08600000,31195.20000000,1769932799999999,33966.45020000,432,15186.20000000,16539.30590000,0
1769932800000000,1.08700000,1.12400000,1.07700000,1.08900000,220297.20000000,1769947199999999,242871.69490000,2421,112823.80000000,124421.70760000,0
1769947200000000,1.08900000,1.10800000,1.06500000,1.07900000,117392.70000000,1769961599999999,127878.90640000,1419,58422.80000000,63747.87000000,0
1769961600000000,1.07800000,1.09200000,1.06200000,1.07900000,63144.00000000,1769975999999999,68024.51800000,1045,29805.80000000,32173.05760000,0
1769976000000000,1.07700000,1.08700000,1.04700000,1.06300000,101733.60000000,1769990399999999,108812.95050000,1514,38508.90000000,41207.98700000,0
1769990400000000,1.06300000,1.10100000,1.03100000,1.06300000,229639.00000000,1770004799999999,247029.87690000,2814,124513.10000000,134386.19750000,0
1770004800000000,1.06200000,1.07300000,1.01700000,1.04600000,450862.00000000,1770019199999999,471295.59060000,5070,127009.60000000,132413.45020000,0
1770019200000000,1.04600000,1.07500000,1.04600000,1.06700000,83413.20000000,1770033599999999,88599.14400000,1002,31608.80000000,33504.40930000,0
1770033600000000,1.06800000,1.10800000,1.06800000,1.10200000,68041.80000000,1770047999999999,73907.17110000,1228,33812.80000000,36791.18350000,0
1770048000000000,1.10300000,1.11400000,1.10000000,1.10000000,29806.30000000,1770062399999999,33054.86570000,552,23155.10000000,25687.35840000,0
1770062400000000,1.09900000,1.11000000,1.09500000,1.10400000,24346.90000000,1770076799999999,26927.70430000,508,10505.80000000,11613.09250000,0
1770076800000000,1.10500000,1.10500000,1.07200000,1.09200000,39014.90000000,1770091199999999,42603.77710000,513,15769.80000000,17224.30160000,0
1770091200000000,1.09100000,1.10100000,1.08500000,1.09500000,23619.70000000,1770105599999999,25834.21270000,311,10131.60000000,11104.84400000,0
1770105600000000,1.09500000,1.10000000,1.07500000,1.09100000,43358.90000000,1770119999999999,47146.78270000,602,18496.30000000,20135.76280000,0
1770120000000000,1.08900000,1.10400000,1.07400000,1.10300000,54890.30000000,1770134399999999,59919.49640000,636,31084.60000000,33952.10100000,0
1770134400000000,1.10200000,1.10200000,1.02800000,1.07400000,127852.20000000,1770148799999999,135077.46730000,1233,56668.40000000,59764.48570000,0
1770148800000000,1.07500000,1.11400000,1.06500000,1.07300000,83118.60000000,1770163199999999,90641.54460000,1009,38239.00000000,41774.58660000,0
1770163200000000,1.07200000,1.09700000,1.07100000,1.09400000,31135.90000000,1770177599999999,33821.41270000,960,15032.30000000,16336.47410000,0
1770177600000000,1.09300000,1.09600000,1.08100000,1.09100000,31884.80000000,1770191999999999,34768.30870000,802,16115.60000000,17580.12850000,0
1770192000000000,1.09000000,1.09100000,1.06500000,1.07300000,48938.20000000,1770206399999999,52679.34490000,618,27140.00000000,29206.98980000,0
1770206400000000,1.07300000,1.07500000,1.02900000,1.03800000,79493.80000000,1770220799999999,83465.78930000,1450,41605.20000000,43629.22550000,0
1770220800000000,1.03700000,1.05600000,1.01800000,1.05400000,196148.60000000,1770235199999999,203097.87630000,2643,97439.00000000,101027.43580000,0
1770235200000000,1.05400000,1.05500000,1.02500000,1.04200000,83071.70000000,1770249599999999,86657.36920000,942,38190.60000000,39844.39240000,0
1770249600000000,1.04300000,1.05100000,1.02000000,1.02100000,107098.70000000,1770263999999999,111092.90310000,918,48697.50000000,50537.62850000,0
1770264000000000,1.02300000,1.03000000,1.00900000,1.01100000,57993.30000000,1770278399999999,59059.79280000,750,21433.40000000,21831.85460000,0
1770278400000000,1.01700000,1.02900000,0.97400000,0.98300000,112447.80000000,1770292799999999,111600.51350000,907,47494.10000000,47397.52890000,0
1770292800000000,0.98500000,0.99800000,0.91500000,0.93100000,437448.30000000,1770307199999999,413893.98380000,3527,199723.50000000,189046.51800000,0
1770307200000000,0.93100000,0.94800000,0.89300000,0.89900000,287273.70000000,1770321599999999,264128.52330000,2639,150277.20000000,138307.96160000,0
1770321600000000,0.89900000,0.90600000,0.85700000,0.86800000,342491.10000000,1770335999999999,301150.36380000,2838,159616.70000000,140342.27430000,0
1770336000000000,0.87000000,0.88300000,0.77000000,0.86400000,608116.50000000,1770350399999999,499988.83700000,7993,312341.30000000,257466.16060000,0
1770350400000000,0.86100000,0.90100000,0.86000000,0.88400000,66670.50000000,1770364799999999,59005.79170000,801,39418.90000000,34901.20150000,0
1770364800000000,0.88500000,0.90900000,0.87700000,0.90200000,94435.70000000,1770379199999999,84391.19340000,931,39256.00000000,35110.08800000,0
1770379200000000,0.90200000,0.93700000,0.89600000,0.93600000,74644.90000000,1770393599999999,68728.05870000,858,41750.70000000,38523.17150000,0
1770393600000000,0.93500000,0.96600000,0.93200000,0.94600000,112501.60000000,1770407999999999,106601.53110000,1456,49052.80000000,46416.35010000,0
1770408000000000,0.94200000,0.96000000,0.93500000,0.95200000,51717.30000000,1770422399999999,49062.46480000,683,22709.60000000,21536.81660000,0
1770422400000000,0.95300000,0.95400000,0.93700000,0.94400000,71526.80000000,1770436799999999,67688.10720000,1032,34430.70000000,32579.32920000,0
1770436800000000,0.94500000,0.95300000,0.91200000,0.91900000,84843.00000000,1770451199999999,78819.85950000,1171,30100.50000000,27824.65970000,0
1770451200000000,0.91900000,0.92300000,0.91300000,0.91800000,23235.40000000,1770465599999999,21346.55450000,404,12291.60000000,11302.24670000,0
1770465600000000,0.91700000,0.94200000,0.91700000,0.93100000,42379.10000000,1770479999999999,39422.59660000,865,19581.40000000,18221.21960000,0
1770480000000000,0.93200000,0.95300000,0.92800000,0.94400000,124342.50000000,1770494399999999,117104.69820000,2465,62032.40000000,58454.83910000,0
1770494400000000,0.94600000,0.95000000,0.93700000,0.94400000,17136.90000000,1770508799999999,16192.41120000,346,8920.60000000,8435.16940000,0
1770508800000000,0.94300000,0.94400000,0.93400000,0.93400000,19655.70000000,1770523199999999,18479.30160000,378,10977.40000000,10328.04080000,0
1770523200000000,0.93400000,0.93500000,0.92300000,0.92700000,13025.00000000,1770537599999999,12096.77990000,420,4274.00000000,3975.58270000,0
1770537600000000,0.92700000,0.95000000,0.92400000,0.94700000,63986.20000000,1770551999999999,60062.84740000,1302,32446.70000000,30471.99580000,0
1770552000000000,0.94800000,0.94900000,0.93600000,0.93800000,38465.60000000,1770566399999999,36258.38630000,665,18391.20000000,17343.65950000,0
1770566400000000,0.93900000,0.94100000,0.91800000,0.93600000,18466.10000000,1770580799999999,17161.66960000,381,9467.40000000,8800.77770000,0
1770580800000000,0.93500000,0.94300000,0.91800000,0.92500000,23240.50000000,1770595199999999,21530.46710000,370,14317.70000000,13267.14300000,0
1770595200000000,0.92500000,0.94000000,0.92000000,0.94000000,25966.20000000,1770609599999999,24067.14000000,327,17513.30000000,16235.56680000,0
1770609600000000,0.93900000,0.94000000,0.92500000,0.92600000,13217.30000000,1770623999999999,12308.64330000,191,4785.40000000,4464.99640000,0
1770624000000000,0.92500000,0.92700000,0.89400000,0.90500000,34443.70000000,1770638399999999,31188.98710000,364,18297.50000000,16563.05400000,0
1770638400000000,0.90600000,0.92300000,0.90300000,0.92300000,23044.20000000,1770652799999999,20967.41780000,267,14351.40000000,13035.76810000,0
1770652800000000,0.92000000,0.94200000,0.91600000,0.93500000,29182.20000000,1770667199999999,27170.93100000,350,14784.50000000,13816.62800000,0
