open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1688169600000,1.64000000,1.64800000,1.59400000,1.60500000,183676.00000000,1688183999999,296686.49950000,2251,84401.80000000,136312.79600000,0
1688184000000,1.60400000,1.63000000,1.58800000,1.62200000,136238.60000000,1688198399999,219249.47870000,1561,74761.20000000,120461.30160000,0
1688198400000,1.62200000,1.63000000,1.61500000,1.62800000,128344.20000000,1688212799999,208152.09880000,1306,64802.80000000,105125.78740000,0
1688212800000,1.62900000,1.64100000,1.62000000,1.63000000,193309.50000000,1688227199999,315417.32300000,1759,78400.50000000,127979.00520000,0
1688227200000,1.63000000,1.63500000,1.61800000,1.63100000,80983.80000000,1688241599999,131662.74700000,943,36987.80000000,60154.87640000,0
1688241600000,1.63000000,1.63000000,1.60700000,1.62800000,147737.70000000,1688255999999,238871.39840000,1554,61645.10000000,99631.46370000,0
1688256000000,1.63000000,1.63300000,1.58500000,1.58800000,171013.80000000,1688270399999,275881.17710000,1702,89064.30000000,143803.95570000,0
1688270400000,1.58800000,1.60900000,1.58600000,1.60800000,63622.70000000,1688284799999,101860.70790000,759,34689.20000000,55528.67370000,0
1688284800000,1.60800000,1.60800000,1.59500000,1.60800000,89659.40000000,1688299199999,143580.28800000,870,38218.60000000,61215.95560000,0
1688299200000,1.60800000,1.61000000,1.57000000,1.59100000,171389.20000000,1688313599999,273872.44650000,1764,78090.70000000,124926.48880000,0
1688313600000,1.59200000,1.60100000,1.56900000,1.59100000,123174.50000000,1688327999999,195283.51520000,1733,55878.60000000,88601.82510000,0
1688328000000,1.59200000,1.61300000,1.59100000,1.60100000,118710.90000000,1688342399999,190029.61980000,1294,64055.60000000,102533.61960000,0
1688342400000,1.60300000,1.63700000,1.59500000,1.62700000,172963.40000000,1688356799999,279543.07520000,2698,97417.30000000,157614.62020000,0
1688356800000,1.62600000,1.63800000,1.61800000,1.62600000,146819.20000000,1688371199999,239026.13860000,1948,70130.20000000,114216.55440000,0
1688371200000,1.62700000,1.64700000,1.61500000,1.63300000,250493.40000000,1688385599999,408098.33710000,2489,114048.30000000,185950.90500000,0
1688385600000,1.63300000,1.64300000,1.61700000,1.64200000,226734.30000000,1688399999999,369600.59460000,1786,92975.60000000,151742.75690000,0
1688400000000,1.64300000,1.64600000,1.62100000,1.63200000,256659.40000000,1688414399999,418737.84840000,2356,99727.70000000,162764.93340000,0
1688414400000,1.63200000,1.63800000,1.61000000,1.63800000,166704.60000000,1688428799999,270554.64010000,1710,83701.50000000,135931.40020000,0
1688428800000,1.63900000,1.64000000,1.61700000,1.63700000,188278.70000000,1688443199999,307059.79010000,1668,89707.20000000,146342.81990000,0
1688443200000,1.63600000,1.63800000,1.61900000,1.62500000,164004.90000000,1688457599999,267321.33930000,1384,81676.60000000,133245.51860000,0
1688457600000,1.62600000,1.65000000,1.61500000,1.64900000,341093.00000000,1688471999999,557709.20070000,2188,243459.30000000,398439.28610000,0
1688472000000,1.64800000,1.65900000,1.61300000,1.62000000,312982.80000000,1688486399999,512483.74700000,2761,138909.40000000,227728.07610000,0
1688486400000,1.61900000,1.63600000,1.61500000,1.62100000,259438.10000000,1688500799999,420666.20930000,2071,101034.90000000,164010.26120000,0
