open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1722470400000,0.08110000,0.08240000,0.08100000,0.08120000,1047353.40000000,1722484799999,85593.18590000,1783,485150.90000000,39655.87676000,0
1722484800000,0.08120000,0.08150000,0.07920000,0.07960000,1269576.30000000,1722499199999,101592.74159000,1850,487253.40000000,38980.84075000,0
1722499200000,0.07960000,0.08070000,0.07950000,0.08050000,639427.60000000,1722513599999,51346.13885000,1267,392807.30000000,31531.78378000,0
1722513600000,0.08050000,0.08150000,0.07710000,0.07720000,2130111.70000000,1722527999999,168146.19323000,4661,862651.10000000,68239.20404000,0
1722528000000,0.07720000,0.07730000,0.07320000,0.07490000,4030988.40000000,1722542399999,303115.68867000,5560,1668460.70000000,125441.83513000,0
1722542400000,0.07480000,0.07820000,0.07430000,0.07740000,2462541.70000000,1722556799999,188210.76253000,3561,1414575.50000000,107967.74680000,0
1722556800000,0.07740000,0.07790000,0.07480000,0.07610000,2229896.20000000,1722571199999,170288.90389000,3812,1093241.20000000,83519.49491000,0
1722571200000,0.07600000,0.07630000,0.07400000,0.07500000,1854533.90000000,1722585599999,138811.09778000,2942,876401.70000000,65647.52960000,0
1722585600000,0.07500000,0.07580000,0.07440000,0.07510000,1462894.30000000,1722599999999,109866.04656000,2424,731656.20000000,54957.64679000,0
1722600000000,0.07520000,0.07660000,0.07260000,0.07410000,2526413.20000000,1722614399999,188762.81255000,3815,1191280.10000000,89055.10650000,0
1722614400000,0.07410000,0.07430000,0.07200000,0.07320000,1891111.30000000,1722628799999,138882.14187000,2707,810693.00000000,59593.98610000,0
1722628800000,0.07310000,0.07370000,0.07130000,0.07230000,1578756.90000000,1722643199999,114279.16965000,2484,731054.40000000,52943.61229000,0
1722643200000,0.07230000,0.07280000,0.07080000,0.07170000,1947892.00000000,1722657599999,139423.02280000,2891,678085.20000000,48595.18203000,0
1722657600000,0.07170000,0.07250000,0.07130000,0.07240000,672913.40000000,1722671999999,48409.27839000,1491,406366.40000000,29248.45528000,0
1722672000000,0.07240000,0.07300000,0.07200000,0.07280000,1312677.20000000,1722686399999,95250.31073000,2015,768859.90000000,55815.59119000,0
1722686400000,0.07280000,0.07330000,0.07050000,0.07060000,1286260.30000000,1722700799999,92713.24460000,1837,536927.90000000,38796.23122000,0
1722700800000,0.07060000,0.07090000,0.06770000,0.06790000,2350984.00000000,1722715199999,163103.77771000,3041,1079318.60000000,74888.68368000,0
1722715200000,0.06800000,0.06960000,0.06770000,0.06920000,1228819.80000000,1722729599999,84347.37039000,1750,770449.90000000,52944.69618000,0
1722729600000,0.06920000,0.06970000,0.06820000,0.06920000,1089236.90000000,1722743999999,75059.79083000,1600,571313.90000000,39358.71814000,0
1722744000000,0.06930000,0.07030000,0.06910000,0.06930000,746546.30000000,1722758399999,52006.29997000,1710,400391.60000000,27902.35556000,0
1722758400000,0.06940000,0.07070000,0.06900000,0.07040000,1094481.90000000,1722772799999,76758.91070000,1970,580413.60000000,40691.13965000,0
1722772800000,0.07040000,0.07090000,0.06690000,0.06700000,2296428.90000000,1722787199999,157720.69415000,2580,930621.00000000,64138.66975000,0
1722787200000,0.06710000,0.06800000,0.06410000,0.06770000,3271109.20000000,1722801599999,214816.52973000,4555,1471249.70000000,96775.29318000,0
1722801600000,0.06760000,0.06830000,0.06440000,0.06490000,3526764.00000000,1722815999999,234010.68714000,3673,1902356.50000000,126200.55565000,0
1722816000000,0.06480000,0.06520000,0.05910000,0.06050000,5086250.40000000,1722830399999,315119.62161000,6004,2034990.10000000,125952.37987000,0
1722830400000,0.06040000,0.06150000,0.05640000,0.06110000,4425136.30000000,1722844799999,262674.30222000,6593,2125674.40000000,126387.40337000,0
1722844800000,0.06110000,0.06270000,0.05790000,0.05910000,6396150.80000000,1722859199999,387564.47835000,7167,2628681.90000000,159187.65567000,0
