open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1696118400000,0.04164000,0.04199000,0.04153000,0.04196000,3535013.30000000,1696132799999,147575.28891100,1736,1974247.70000000,82413.68689300,0
1696132800000,0.04196000,0.04242000,0.04190000,0.04228000,7517925.40000000,1696147199999,317340.64743800,2088,2872993.10000000,121337.36312500,0
1696147200000,0.04227000,0.04315000,0.04216000,0.04303000,10756925.50000000,1696161599999,459655.88219500,3620,6028954.50000000,257753.36423500,0
1696161600000,0.04303000,0.04351000,0.04295000,0.04319000,14946147.90000000,1696175999999,645907.10106900,4492,5729463.80000000,247689.59293000,0
1696176000000,0.04319000,0.04322000,0.04243000,0.04282000,10172993.10000000,1696190399999,435474.92683600,3312,5406485.30000000,231349.39336200,0
1696190400000,0.04282000,0.04426000,0.04260000,0.04377000,15375499.90000000,1696204799999,672181.77768400,6602,8440978.30000000,368892.90720900,0
1696204800000,0.04382000,0.04415000,0.04350000,0.04394000,8889030.80000000,1696219199999,389581.83669000,3790,4322600.70000000,189549.84233000,0
1696219200000,0.04393000,0.04394000,0.04329000,0.04372000,6206171.30000000,1696233599999,270631.00092400,2716,2859883.00000000,124797.61241100,0
1696233600000,0.04373000,0.04403000,0.04322000,0.04328000,8613708.20000000,1696247999999,375822.74986800,3591,3980006.50000000,173657.47067400,0
1696248000000,0.04328000,0.04337000,0.04225000,0.04250000,21279913.10000000,1696262399999,914859.14890500,7203,10090191.10000000,433930.15494600,0
1696262400000,0.04247000,0.04270000,0.04127000,0.04201000,21002847.90000000,1696276799999,881510.26452400,6266,9515931.80000000,399204.00650500,0
1696276800000,0.04200000,0.04204000,0.04128000,0.04168000,7870052.80000000,1696291199999,328184.64797400,2658,3667042.90000000,152833.33321000,0
1696291200000,0.04171000,0.04218000,0.04156000,0.04185000,7360437.10000000,1696305599999,308606.52433400,2407,3366626.30000000,141156.84044300,0
1696305600000,0.04184000,0.04242000,0.04184000,0.04213000,7667634.80000000,1696319999999,322774.60129800,2219,4914559.00000000,206918.10238100,0
1696320000000,0.04213000,0.04243000,0.04172000,0.04191000,5530226.40000000,1696334399999,232862.46007700,2356,2227114.50000000,93846.92028900,0
1696334400000,0.04190000,0.04199000,0.04091000,0.04118000,10040032.20000000,1696348799999,416229.55939700,4105,3550319.90000000,147277.10498100,0
1696348800000,0.04116000,0.04158000,0.04100000,0.04127000,9427718.40000000,1696363199999,389042.30664900,3875,5117557.20000000,211158.85827800,0
1696363200000,0.04129000,0.04150000,0.04100000,0.04122000,7693530.90000000,1696377599999,317697.97199000,3181,3592912.70000000,148472.46146600,0
