open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1651363200000,0.00859000,0.00879000,0.00838000,0.00868000,287696055.50000000,1651377599999,2484687.68154000,11861,142145537.70000000,1228013.90598900,0
1651377600000,0.00868000,0.00898000,0.00855000,0.00882000,165999506.40000000,1651391999999,1465581.44391600,6905,74825890.00000000,660244.26846400,0
1651392000000,0.00883000,0.00903000,0.00867000,0.00870000,141203470.20000000,1651406399999,1252439.49541600,4970,59213525.50000000,525684.28271700,0
1651406400000,0.00871000,0.00929000,0.00860000,0.00926000,208287254.20000000,1651420799999,1846392.78539000,8783,110032473.80000000,974921.86672500,0
1651420800000,0.00927000,0.00939000,0.00879000,0.00890000,195639445.30000000,1651435199999,1793585.48184400,7081,87713909.80000000,803940.62401700,0
1651435200000,0.00890000,0.00921000,0.00885000,0.00915000,118331060.10000000,1651449599999,1071569.94170700,4733,55549899.10000000,503286.56011200,0
1651449600000,0.00915000,0.00941000,0.00904000,0.00905000,111579278.50000000,1651463999999,1030049.26894500,5072,53328579.20000000,492255.59887000,0
1651464000000,0.00906000,0.00929000,0.00904000,0.00913000,66645848.70000000,1651478399999,610825.27665600,3280,37106100.20000000,340232.58612700,0
1651478400000,0.00913000,0.00914000,0.00857000,0.00861000,133584299.30000000,1651492799999,1178157.13561200,5954,63578525.10000000,560136.40997300,0
1651492800000,0.00860000,0.00891000,0.00855000,0.00882000,186324433.40000000,1651507199999,1634841.53292500,6993,94806476.20000000,831830.97517900,0
1651507200000,0.00881000,0.00883000,0.00833000,0.00870000,204715343.10000000,1651521599999,1749402.09134200,7330,86943094.30000000,743086.61658100,0
1651521600000,0.00871000,0.00888000,0.00854000,0.00876000,91193648.50000000,1651535999999,794215.65320200,3496,44926493.70000000,391710.07955900,0
1651536000000,0.00877000,0.00893000,0.00866000,0.00889000,115402939.40000000,1651550399999,1016528.43606600,4403,51664221.90000000,454971.83938400,0
1651550400000,0.00891000,0.00917000,0.00887000,0.00914000,144431984.20000000,1651564799999,1301804.44159700,6428,64865857.00000000,585127.60928200,0
1651564800000,0.00914000,0.00920000,0.00884000,0.00915000,114565702.10000000,1651579199999,1033958.51325500,4939,53167657.10000000,480424.55701800,0
1651579200000,0.00915000,0.00917000,0.00882000,0.00889000,91741326.70000000,1651593599999,823741.23365100,4148,40548105.80000000,363819.07996700,0
1651593600000,0.00890000,0.00893000,0.00854000,0.00860000,142236249.50000000,1651607999999,1242937.62552300,5746,68479515.60000000,598761.20345500,0
1651608000000,0.00859000,0.00886000,0.00851000,0.00879000,70630435.60000000,1651622399999,613598.58686900,3663,38035056.80000000,330539.72222900,0
1651622400000,0.00879000,0.00895000,0.00872000,0.00881000,104731195.00000000,1651636799999,927015.32621400,4857,49739939.10000000,440045.90499600,0
1651636800000,0.00882000,0.00899000,0.00867000,0.00895000,96252175.70000000,1651651199999,845328.34816200,4136,50350875.10000000,442553.73079700,0
1651651200000,0.00895000,0.00936000,0.00895000,0.00924000,170056935.60000000,1651665599999,1554334.95739100,9474,82361329.90000000,753226.55824300,0
1651665600000,0.00925000,0.00925000,0.00889000,0.00906000,192034733.20000000,1651679999999,1734712.39734400,6203,101817625.60000000,919787.25828700,0
1651680000000,0.00905000,0.00980000,0.00901000,0.00976000,272419140.60000000,1651694399999,2555122.29543100,13415,137839933.60000000,1293265.56718900,0
1651694400000,0.00976000,0.01021000,0.00972000,0.01017000,175245716.30000000,1651708799999,1740575.29555000,8454,100906615.80000000,1002677.59050000,0
1651708800000,0.01017000,0.01050000,0.01011000,0.01025000,159425414.50000000,1651723199999,1645193.10102900,8108,76001175.40000000,784604.01644200,0
1651723200000,0.01026000,0.01035000,0.00990000,0.01000000,126348343.30000000,1651737599999,1276950.55957800,6384,60931590.50000000,615529.12093900,0
1651737600000,0.00999000,0.01011000,0.00978000,0.00992000,138903610.60000000,1651751999999,1383348.55762600,7070,74279364.50000000,741013.12981700,0
1651752000000,0.00992000,0.01009000,0.00862000,0.00876000,480957317.40000000,1651766399999,4456913.69675700,17113,216279293.80000000,2003687.81267600,0
1651766400000,0.00875000,0.00897000,0.00841000,0.00877000,342671169.90000000,1651780799999,2975757.21849900,12569,181382563.90000000,1575992.75596500,0
1651780800000,0.00877000,0.00903000,0.00870000,0.00891000,118942581.50000000,1651795199999,1053463.43835700,4672,68049900.00000000,603394.80164100,0
1651795200000,0.00891000,0.00903000,0.00864000,0.00898000,100864752.00000000,1651809599999,892272.32220600,4325,50125964.80000000,443347.35669500,0
1651809600000,0.00898000,0.00899000,0.00844000,0.00864000,143226468.20000000,1651823999999,1253220.81074700,5253,63933087.00000000,558789.68598100,0
