open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1725148800000,3.92500000,3.92900000,3.85300000,3.88500000,490383.00000000,1725163199999,1905671.91690000,12732,206765.70000000,803137.35230000,0
1725163200000,3.88500000,3.89400000,3.82700000,3.86500000,568797.20000000,1725177599999,2193788.80260000,14738,270475.40000000,1043289.41010000,0
1725177600000,3.86600000,3.86700000,3.81100000,3.83900000,478254.10000000,1725191999999,1834884.40930000,14943,224498.90000000,861645.74010000,0
1725192000000,3.83900000,3.88700000,3.78400000,3.87800000,1013999.60000000,1725206399999,3883815.18970000,33237,474442.70000000,1816715.20870000,0
1725206400000,3.87800000,3.96600000,3.84500000,3.96000000,1573011.40000000,1725220799999,6139377.07190000,39221,749788.50000000,2924771.00060000,0
1725220800000,3.96100000,4.04000000,3.80200000,3.82300000,2309766.10000000,1725235199999,9068201.70930000,52174,1053650.10000000,4127739.28080000,0
1725235200000,3.82200000,3.86700000,3.80500000,3.85300000,1191025.40000000,1725249599999,4572515.89080000,27051,631001.90000000,2422550.94050000,0
1725249600000,3.85300000,3.86100000,3.74800000,3.75900000,1362802.30000000,1725263999999,5197456.60510000,28225,696603.70000000,2655373.44640000,0
1725264000000,3.75800000,3.95600000,3.74600000,3.90000000,2547875.90000000,1725278399999,9885215.72770000,31702,1288471.20000000,4995504.37440000,0
1725278400000,3.90000000,3.91500000,3.80700000,3.87100000,1501366.60000000,1725292799999,5808532.19560000,14889,833349.00000000,3222651.59940000,0
1725292800000,3.87100000,3.88300000,3.83000000,3.85300000,818160.90000000,1725307199999,3156721.10000000,16039,423713.30000000,1634684.91830000,0
1725307200000,3.85400000,3.96900000,3.84500000,3.91300000,1290584.40000000,1725321599999,5066793.76660000,26027,665011.80000000,2609747.16400000,0
1725321600000,3.91400000,4.02400000,3.89700000,3.99500000,1209123.30000000,1725335999999,4803482.84780000,22966,657194.90000000,2609357.82470000,0
1725336000000,3.99500000,4.08300000,3.98000000,4.05300000,1283890.80000000,1725350399999,5186017.13870000,26625,637237.20000000,2573755.53730000,0
1725350400000,4.05400000,4.15200000,4.00600000,4.14800000,1613446.20000000,1725364799999,6588118.39880000,38099,835650.00000000,3414612.37080000,0
1725364800000,4.14900000,4.18300000,3.90100000,3.91400000,2794916.60000000,1725379199999,11290049.02710000,34314,1451702.60000000,5861618.08350000,0
1725379200000,3.91400000,3.99000000,3.88300000,3.91500000,1931793.30000000,1725393599999,7603453.68970000,20296,943991.00000000,3715660.70120000,0
1725393600000,3.91700000,3.95700000,3.84700000,3.86100000,999190.90000000,1725407999999,3914538.20320000,10657,452186.80000000,1772696.23830000,0
1725408000000,3.86100000,3.89800000,3.68000000,3.78200000,2440443.20000000,1725422399999,9197371.44520000,27224,1262310.80000000,4759251.16920000,0
1725422400000,3.78100000,3.79700000,3.72000000,3.78000000,975423.10000000,1725436799999,3664214.53370000,14831,487497.10000000,1831652.61200000,0
1725436800000,3.78000000,3.79000000,3.62700000,3.62700000,1395133.00000000,1725451199999,5168943.63210000,17060,575650.50000000,2135863.87730000,0
1725451200000,3.62700000,3.88500000,3.59800000,3.87600000,3199878.70000000,1725465599999,11799352.69030000,30881,1670156.00000000,6155469.40040000,0
1725465600000,3.87700000,3.93400000,3.67500000,3.70200000,924179.30000000,1725479999999,3519200.10760000,18921,442359.90000000,1684638.53470000,0
1725480000000,3.70200000,3.76700000,3.63900000,3.73900000,1017122.70000000,1725494399999,3776689.05130000,14752,591087.40000000,2195202.76240000,0
1725494400000,3.73900000,3.76600000,3.61300000,3.62200000,1166233.00000000,1725508799999,4320317.14150000,14617,600331.80000000,2226072.65860000,0
1725508800000,3.62200000,3.67300000,3.58300000,3.67000000,898069.10000000,1725523199999,3262076.13620000,11184,429266.20000000,1559696.09700000,0
1725523200000,3.66900000,3.67500000,3.61000000,3.61400000,878531.60000000,1725537599999,3195307.67250000,9934,390996.50000000,1422203.07680000,0
1725537600000,3.61300000,3.67300000,3.54000000,3.56200000,2040057.80000000,1725551999999,7367490.40070000,21376,1072789.50000000,3875779.28080000,0
1725552000000,3.56300000,3.62000000,3.52800000,3.54800000,1059952.60000000,1725566399999,3791662.12730000,11563,514424.00000000,1840772.95230000,0
1725566400000,3.54900000,3.58600000,3.54300000,3.57800000,378900.20000000,1725580799999,1351251.92910000,6276,170150.00000000,606894.10750000,0
1725580800000,3.57800000,3.62900000,3.55100000,3.61000000,786335.80000000,1725595199999,2828364.50620000,9484,400704.60000000,1441197.18610000,0
1725595200000,3.61000000,3.61800000,3.52100000,3.56400000,959222.30000000,1725609599999,3424025.19440000,10356,518294.10000000,1848312.17500000,0
1725609600000,3.56400000,3.62000000,3.55600000,3.60300000,634170.40000000,1725623999999,2273431.40780000,6061,287351.10000000,1030461.55250000,0
1725624000000,3.60500000,3.69000000,3.47600000,3.52100000,3272741.60000000,1725638399999,11726143.57440000,28814,1658556.70000000,5940631.87110000,0
1725638400000,3.52100000,3.53100000,3.39000000,3.41800000,1937880.90000000,1725652799999,6688520.20310000,15371,1014257.70000000,3498821.18060000,0
1725652800000,3.41500000,3.45200000,3.29900000,3.44700000,1857969.40000000,1725667199999,6262087.12580000,13906,1031330.40000000,3478474.60090000,0
1725667200000,3.44500000,3.50000000,3.44500000,3.48900000,502749.40000000,1725681599999,1747029.00080000,5877,241877.20000000,840180.28250000,0
1725681600000,3.49000000,3.57900000,3.49000000,3.57500000,715518.30000000,1725695999999,2534524.53730000,7651,385764.80000000,1367577.23370000,0
1725696000000,3.57400000,3.59200000,3.55400000,3.56500000,493817.30000000,1725710399999,1763008.43520000,4734,243264.00000000,868985.07250000,0
1725710400000,3.56500000,3.62600000,3.55900000,3.59500000,654176.00000000,1725724799999,2346798.53110000,5881,379594.30000000,1361563.41460000,0
1725724800000,3.59500000,3.60300000,3.52800000,3.56600000,759195.10000000,1725739199999,2702743.48160000,6764,388872.40000000,1385033.92310000,0
1725739200000,3.56500000,3.56800000,3.48500000,3.51500000,473549.80000000,1725753599999,1667976.43480000,4492,234784.60000000,826349.17510000,0
1725753600000,3.51500000,3.55600000,3.49800000,3.55600000,332247.90000000,1725767999999,1172616.52180000,3872,190803.00000000,673775.65930000,0
1725768000000,3.55600000,3.58600000,3.54600000,3.58000000,398895.20000000,1725782399999,1423080.88130000,4505,225451.60000000,804424.68810000,0
1725782400000,3.58100000,3.61500000,3.57600000,3.58800000,598755.10000000,1725796799999,2151747.72740000,6084,293036.60000000,1053136.32570000,0
1725796800000,3.58700000,3.59700000,3.50700000,3.51100000,692696.80000000,1725811199999,2455323.91010000,6376,339072.40000000,1201726.86010000,0
1725811200000,3.51100000,3.57000000,3.46700000,3.54400000,908473.30000000,1725825599999,3194109.52100000,7813,462286.90000000,1626772.48230000,0
1725825600000,3.54400000,3.61600000,3.50400000,3.56900000,1224254.80000000,1725839999999,4353187.71300000,11502,560247.60000000,1992013.38600000,0
1725840000000,3.56900000,3.63900000,3.55800000,3.60700000,1077446.60000000,1725854399999,3879306.76190000,10622,605616.30000000,2181015.58100000,0
1725854400000,3.60900000,3.63500000,3.57400000,3.62300000,705175.30000000,1725868799999,2546024.91440000,7306,351100.00000000,1267621.10510000,0
1725868800000,3.62300000,3.73700000,3.62200000,3.73200000,1862358.90000000,1725883199999,6881786.05160000,14722,1005474.20000000,3716811.77800000,0
1725883200000,3.73200000,3.77000000,3.66500000,3.73400000,1551269.40000000,1725897599999,5762891.95700000,13324,850541.60000000,3160037.02500000,0
1725897600000,3.73400000,3.83200000,3.73400000,3.82500000,2066017.20000000,1725911999999,7827773.57090000,16619,1093592.60000000,4143312.84490000,0
1725912000000,3.82500000,3.91300000,3.81000000,3.83900000,1189626.50000000,1725926399999,4590882.68090000,10284,691145.70000000,2666803.78180000,0
1725926400000,3.84000000,3.85500000,3.79200000,3.80200000,662546.20000000,1725940799999,2534343.87360000,7320,338021.60000000,1292613.59120000,0
1725940800000,3.80200000,3.91000000,3.79100000,3.90500000,762269.50000000,1725955199999,2938586.72830000,7797,406872.10000000,1568210.58370000,0
1725955200000,3.90400000,3.94900000,3.88100000,3.92000000,964074.10000000,1725969599999,3774079.72260000,9462,474293.70000000,1857221.51830000,0
1725969600000,3.92000000,3.95500000,3.84600000,3.89600000,1623837.70000000,1725983999999,6327220.61070000,13166,891748.80000000,3473134.70030000,0
1725984000000,3.89500000,4.09500000,3.89300000,4.07900000,1774786.60000000,1725998399999,7104916.65880000,20383,841383.00000000,3364721.26250000,0
1725998400000,4.07800000,4.11000000,4.02800000,4.04200000,935687.70000000,1726012799999,3808962.34510000,11427,481969.60000000,1962224.19320000,0
1726012800000,4.04200000,4.06600000,3.97600000,4.01700000,1146203.60000000,1726027199999,4611141.13770000,13140,531127.50000000,2137340.96820000,0
1726027200000,4.01700000,4.12500000,3.93100000,4.11600000,1699603.30000000,1726041599999,6835607.25920000,15396,881955.80000000,3554048.16620000,0
1726041600000,4.11600000,4.12700000,3.98600000,4.05500000,2458357.20000000,1726055999999,9948867.30210000,22885,1228920.10000000,4972190.20890000,0
1726056000000,4.05500000,4.10000000,3.86100000,3.98700000,4105882.50000000,1726070399999,16340164.79060000,57040,2174174.10000000,8656148.45250000,0
1726070400000,3.98600000,4.05800000,3.96000000,3.97300000,1796174.40000000,1726084799999,7204077.69630000,34081,939278.50000000,3768252.49290000,0
1726084800000,3.97300000,3.98600000,3.95200000,3.95900000,593354.90000000,1726099199999,2354865.58830000,12417,295193.90000000,1171603.38150000,0
1726099200000,3.95900000,4.09300000,3.95900000,4.01800000,1471716.30000000,1726113599999,5916264.37650000,25811,750955.80000000,3018956.25420000,0
1726113600000,4.01800000,4.03600000,3.93900000,3.95600000,1367689.80000000,1726127999999,5447976.09540000,23936,731723.20000000,2914715.24230000,0
1726128000000,3.95600000,4.08500000,3.89800000,3.92600000,2505291.00000000,1726142399999,9973301.49220000,41687,1293520.10000000,5149286.62840000,0
1726142400000,3.92500000,3.96800000,3.79300000,3.82000000,2975180.60000000,1726156799999,11543031.60420000,53959,1569250.30000000,6089987.91890000,0
1726156800000,3.82000000,3.93700000,3.81100000,3.93200000,1387158.70000000,1726171199999,5389948.29420000,24487,758728.20000000,2946693.59310000,0
1726171200000,3.93300000,3.93800000,3.89000000,3.91800000,640697.30000000,1726185599999,2506013.50840000,13070,323959.60000000,1267226.07230000,0
1726185600000,3.91800000,3.93500000,3.86900000,3.87500000,676379.40000000,1726199999999,2641828.29730000,12879,326167.60000000,1273995.87500000,0
1726200000000,3.87500000,3.89400000,3.82800000,3.84800000,1154953.60000000,1726214399999,4454002.70800000,16642,687299.10000000,2650132.77430000,0
1726214400000,3.84800000,3.92000000,3.83000000,3.87000000,1463411.30000000,1726228799999,5669581.04520000,21008,684637.50000000,2652047.52080000,0
1726228800000,3.87100000,4.07100000,3.83500000,4.06600000,3400221.00000000,1726243199999,13447238.42120000,49739,1694744.80000000,6699508.83060000,0
1726243200000,4.06700000,4.15000000,4.06700000,4.09500000,2672789.20000000,1726257599999,10983011.76920000,43833,1245418.60000000,5118465.26010000,0
1726257600000,4.09400000,4.18800000,4.09200000,4.13200000,1243569.30000000,1726271999999,5155673.18120000,21772,597704.20000000,2478270.57360000,0
