open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1733011200000,4.39700000,4.46100000,4.34100000,4.42100000,205123.14000000,1733025599999,903846.67474000,6889,94643.99000000,417364.86333000,0
1733025600000,4.41800000,4.53800000,4.39400000,4.47400000,287215.77000000,1733039999999,1286753.51489000,9094,161911.39000000,725232.54502000,0
1733040000000,4.47300000,4.50800000,4.45100000,4.50200000,151517.43000000,1733054399999,677848.14784000,5497,65385.11000000,292581.23588000,0
1733054400000,4.50100000,4.62300000,4.50000000,4.60700000,372974.28000000,1733068799999,1706257.55933000,11289,193540.54000000,885382.98931000,0
1733068800000,4.60700000,4.66000000,4.54400000,4.60700000,280034.46000000,1733083199999,1286922.05446000,9215,123392.84000000,568552.41686000,0
1733083200000,4.60700000,4.67800000,4.55500000,4.60700000,360755.61000000,1733097599999,1667021.16363000,11947,167635.89000000,775723.47618000,0
1733097600000,4.60900000,4.72600000,4.50300000,4.52400000,204945.61000000,1733111999999,946808.29555000,7211,88154.97000000,408348.64404000,0
1733112000000,4.51900000,4.69900000,4.49200000,4.65200000,409258.11000000,1733126399999,1884981.31981000,13687,211858.50000000,977082.11101000,0
1733126400000,4.65100000,4.70900000,4.37400000,4.60100000,926502.90000000,1733140799999,4229514.81110000,30795,496642.43000000,2269530.29993000,0
1733140800000,4.60000000,4.67800000,4.52400000,4.58700000,455509.28000000,1733155199999,2092092.75061000,15902,189876.25000000,872515.03913000,0
1733155200000,4.58900000,4.61500000,4.42500000,4.57400000,391398.11000000,1733169599999,1780298.22223000,12713,185997.22000000,846903.81660000,0
1733169600000,4.57400000,4.66400000,4.53600000,4.65400000,199269.44000000,1733183999999,912988.76289000,5788,87034.66000000,399105.38478000,0
1733184000000,4.65500000,4.72400000,4.60300000,4.71000000,269053.03000000,1733198399999,1255961.11297000,8613,125706.75000000,587307.02725000,0
1733198400000,4.70500000,4.78300000,4.62800000,4.70900000,391823.02000000,1733212799999,1846268.77734000,11591,192195.61000000,905664.04909000,0
1733212800000,4.70900000,4.74300000,4.63800000,4.69700000,291430.67000000,1733227199999,1369197.05077000,9097,129260.05000000,607311.27181000,0
1733227200000,4.69700000,4.72600000,4.40000000,4.59000000,607024.32000000,1733241599999,2765198.78161000,22335,292309.32000000,1330053.68069000,0
1733241600000,4.59000000,4.76900000,4.58500000,4.76600000,340439.92000000,1733255999999,1594456.21858000,16746,160603.93000000,752297.78433000,0
1733256000000,4.76700000,4.91500000,4.72300000,4.87900000,371923.75000000,1733270399999,1792129.94919000,12991,192064.10000000,925694.69133000,0
