open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1761955200000000,0.19080000,0.19210000,0.18870000,0.19190000,5879155.60000000,1761969599999999,1120812.01900000,6312,2890184.80000000,551487.70094000,0
1761969600000000,0.19200000,0.19440000,0.18990000,0.19380000,7973534.50000000,1761983999999999,1529999.36746000,8719,4172694.50000000,801017.19781000,0
1761984000000000,0.19390000,0.19460000,0.19230000,0.19340000,6263267.90000000,1761998399999999,1210473.22521000,6189,3756153.90000000,726128.12839000,0
1761998400000000,0.19340000,0.19530000,0.19100000,0.19450000,11847437.00000000,1762012799999999,2291827.58537000,12296,6641716.40000000,1285389.88427000,0
1762012800000000,0.19460000,0.19550000,0.19280000,0.19540000,10629795.40000000,1762027199999999,2067720.29917000,10109,4974153.50000000,967962.74397000,0
1762027200000000,0.19550000,0.19640000,0.19290000,0.19480000,5814486.70000000,1762041599999999,1130709.87329000,6581,2811257.70000000,546858.12875000,0
1762041600000000,0.19470000,0.19520000,0.19300000,0.19350000,4685653.40000000,1762055999999999,909068.52448000,5580,2259170.60000000,438726.36809000,0
1762056000000000,0.19340000,0.19910000,0.19310000,0.19830000,10527082.00000000,1762070399999999,2074900.80955000,10597,6144648.50000000,1211396.72122000,0
1762070400000000,0.19840000,0.20160000,0.19530000,0.20120000,14120715.30000000,1762084799999999,2796144.58823000,13427,7945208.20000000,1575035.48648000,0
1762084800000000,0.20130000,0.20230000,0.19220000,0.19230000,19517430.80000000,1762099199999999,3848516.87415000,23291,9168810.70000000,1810770.31710000,0
1762099200000000,0.19230000,0.19340000,0.18850000,0.18970000,14173744.90000000,1762113599999999,2704034.26475000,22219,6704159.30000000,1279745.58234000,0
1762113600000000,0.18970000,0.19510000,0.18860000,0.19450000,8005743.00000000,1762127999999999,1539082.47229000,11420,4125454.00000000,793315.00058000,0
1762128000000000,0.19460000,0.19490000,0.18090000,0.18120000,33213481.80000000,1762142399999999,6225057.44803000,42572,13944198.80000000,2617053.12424000,0
1762142400000000,0.18130000,0.18320000,0.17720000,0.18090000,16484531.60000000,1762156799999999,2970078.33453000,19199,6936817.90000000,1250036.90989000,0
1762156800000000,0.18080000,0.18140000,0.17560000,0.17810000,14481862.50000000,1762171199999999,2585500.31474000,16291,6855095.60000000,1223020.94437000,0
1762171200000000,0.17810000,0.17930000,0.16100000,0.16540000,57457259.70000000,1762185599999999,9794784.33123000,47405,28102777.00000000,4787107.57448000,0
1762185600000000,0.16540000,0.17280000,0.16440000,0.16770000,33492792.90000000,1762199999999999,5675416.95390000,26817,16028166.60000000,2717644.09947000,0
1762200000000000,0.16780000,0.16960000,0.16280000,0.16560000,26950277.70000000,1762214399999999,4453838.50465000,18761,11876231.10000000,1965258.27795000,0
1762214400000000,0.16560000,0.17040000,0.16340000,0.16770000,24606763.20000000,1762228799999999,4120027.18978000,17540,11910121.70000000,1993707.65798000,0
1762228800000000,0.16780000,0.16900000,0.15450000,0.15590000,63798455.80000000,1762243199999999,10190073.81666000,42602,30367453.20000000,4841141.81406000,0
1762243200000000,0.15600000,0.16520000,0.15490000,0.16210000,44904554.60000000,1762257599999999,7209159.53572000,21336,25903615.00000000,4158989.42023000,0
1762257600000000,0.16210000,0.16560000,0.15700000,0.16000000,38554295.90000000,1762271999999999,6202145.95074000,22792,17589446.70000000,2833340.28159000,0
