open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1725148800000,0.03093000,0.03109000,0.03044000,0.03083000,2907060.00000000,1725163199999,89574.57987000,1457,1798012.00000000,55417.48520000,0
1725163200000,0.03080000,0.03101000,0.03034000,0.03093000,2780679.00000000,1725177599999,85081.77325000,1132,1119314.00000000,34264.51583000,0
1725177600000,0.03094000,0.03097000,0.03038000,0.03073000,7743061.00000000,1725191999999,237037.70663000,1617,3443325.00000000,105366.97467000,0
1725192000000,0.03075000,0.03077000,0.02988000,0.03058000,6963318.00000000,1725206399999,211006.99501000,2249,3163334.00000000,95777.27670000,0
1725206400000,0.03058000,0.03078000,0.02982000,0.03052000,5030602.00000000,1725220799999,152435.88217000,2040,2271418.00000000,68874.66747000,0
1725220800000,0.03050000,0.03076000,0.02930000,0.02975000,25316757.00000000,1725235199999,757296.19786000,4849,11439177.00000000,341660.67750000,0
1725235200000,0.02974000,0.03008000,0.02947000,0.02982000,9551221.00000000,1725249599999,284018.11951000,3147,5100850.00000000,151632.63333000,0
1725249600000,0.02986000,0.03012000,0.02948000,0.02960000,6236354.00000000,1725263999999,185694.28610000,2258,3190945.00000000,94975.45097000,0
1725264000000,0.02958000,0.03067000,0.02947000,0.03056000,9074378.00000000,1725278399999,274554.97073000,2917,4481782.00000000,135414.67974000,0
1725278400000,0.03055000,0.03090000,0.02982000,0.03080000,15206514.00000000,1725292799999,462656.11509000,3950,8321808.00000000,253356.37120000,0
1725292800000,0.03079000,0.03260000,0.03064000,0.03225000,54428691.00000000,1725307199999,1736580.32622000,13445,33350024.00000000,1064696.20369000,0
1725307200000,0.03228000,0.03307000,0.03189000,0.03210000,40395788.00000000,1725321599999,1306156.41918000,12401,15481787.00000000,500922.22446000,0
1725321600000,0.03210000,0.03241000,0.03179000,0.03198000,10115690.00000000,1725335999999,324379.22483000,2619,3712003.00000000,119169.21764000,0
1725336000000,0.03197000,0.03215000,0.03166000,0.03195000,8472679.00000000,1725350399999,270390.90921000,3183,3941977.00000000,125828.31189000,0
1725350400000,0.03197000,0.03206000,0.03147000,0.03178000,10895899.00000000,1725364799999,345733.75719000,3812,5184442.00000000,164541.50016000,0
1725364800000,0.03179000,0.03209000,0.03060000,0.03067000,12876231.00000000,1725379199999,403037.88929000,4894,7401178.00000000,231955.46772000,0
1725379200000,0.03067000,0.03148000,0.03050000,0.03137000,8150315.00000000,1725393599999,252927.20696000,2795,4054919.00000000,125837.64445000,0
1725393600000,0.03137000,0.03159000,0.03083000,0.03089000,6870938.00000000,1725407999999,215004.29869000,2593,2738650.00000000,85694.62469000,0
1725408000000,0.03087000,0.03119000,0.02907000,0.03049000,12894984.00000000,1725422399999,388139.05658000,5246,5707078.00000000,171702.08668000,0
1725422400000,0.03044000,0.03091000,0.03008000,0.03075000,5651415.00000000,1725436799999,171759.59768000,1749,2910521.00000000,88486.15869000,0
1725436800000,0.03079000,0.03100000,0.03021000,0.03044000,7225179.00000000,1725451199999,221352.33422000,2208,3038848.00000000,93134.57724000,0
1725451200000,0.03041000,0.03124000,0.03028000,0.03122000,12800152.00000000,1725465599999,393101.54595000,3708,7406023.00000000,227222.21806000,0
1725465600000,0.03125000,0.03196000,0.03116000,0.03128000,14658699.00000000,1725479999999,461269.25653000,3167,7369631.00000000,232068.34493000,0
1725480000000,0.03129000,0.03177000,0.03111000,0.03139000,5950549.00000000,1725494399999,186901.84936000,1481,2877249.00000000,90449.78799000,0
1725494400000,0.03138000,0.03157000,0.03050000,0.03058000,7126212.00000000,1725508799999,221806.22325000,2350,2891946.00000000,90157.18200000,0
1725508800000,0.03058000,0.03104000,0.03049000,0.03088000,5157735.00000000,1725523199999,158974.24401000,2047,2676162.00000000,82485.66779000,0
1725523200000,0.03088000,0.03096000,0.03048000,0.03056000,4446483.00000000,1725537599999,136415.48144000,2357,2409886.00000000,73950.56491000,0
1725537600000,0.03055000,0.03101000,0.02984000,0.03011000,8724613.00000000,1725551999999,265581.61498000,3508,3938990.00000000,119915.55624000,0
1725552000000,0.03008000,0.03010000,0.02967000,0.02975000,7876197.00000000,1725566399999,235400.72636000,2589,4470517.00000000,133646.15420000,0
1725566400000,0.02975000,0.03023000,0.02972000,0.03010000,9326234.00000000,1725580799999,279390.59508000,2368,4750985.00000000,142397.91905000,0
1725580800000,0.03007000,0.03045000,0.02975000,0.03036000,6473007.00000000,1725595199999,194862.73330000,1890,3263813.00000000,98349.98870000,0
1725595200000,0.03036000,0.03042000,0.02940000,0.02969000,4896808.00000000,1725609599999,146348.57103000,1677,2160724.00000000,64576.44093000,0
1725609600000,0.02973000,0.03023000,0.02968000,0.02999000,9769662.00000000,1725623999999,292645.90151000,2479,4318586.00000000,129402.46852000,0
1725624000000,0.03000000,0.03089000,0.02940000,0.02993000,15295382.00000000,1725638399999,459428.07210000,4709,6711044.00000000,201930.75918000,0
1725638400000,0.02990000,0.02997000,0.02906000,0.02938000,12761966.00000000,1725652799999,375952.11585000,3417,7355608.00000000,216569.49297000,0
1725652800000,0.02931000,0.02946000,0.02821000,0.02929000,11778859.00000000,1725667199999,340567.27007000,2947,5958982.00000000,172431.78985000,0
1725667200000,0.02928000,0.02967000,0.02906000,0.02906000,9378796.00000000,1725681599999,275072.90831000,1877,4404475.00000000,129389.90733000,0
1725681600000,0.02907000,0.02981000,0.02902000,0.02972000,7048561.00000000,1725695999999,207620.31676000,1887,3709498.00000000,109221.91601000,0
1725696000000,0.02969000,0.02998000,0.02956000,0.02965000,4370997.00000000,1725710399999,129965.86018000,2024,1733127.00000000,51524.58557000,0
