open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,1.07900000,1.14000000,1.05600000,1.11700000,2598044.90000000,1759291199999999,2860671.46290000,17840,1332344.80000000,1468310.33840000,0
1759291200000000,1.11800000,1.13800000,1.06000000,1.07200000,2117238.60000000,1759305599999999,2312935.12120000,16035,1020087.20000000,1113439.60330000,0
1759305600000000,1.07100000,1.14900000,1.06800000,1.10900000,2338823.50000000,1759319999999999,2607079.79170000,17507,1016758.30000000,1133243.35260000,0
1759320000000000,1.10900000,1.13200000,1.09300000,1.09900000,2037454.60000000,1759334399999999,2268419.20300000,13489,881076.80000000,982906.33490000,0
1759334400000000,1.09900000,1.33700000,1.07800000,1.32500000,5062223.70000000,1759348799999999,6127121.41570000,31114,2593231.10000000,3145062.70800000,0
1759348800000000,1.32600000,1.39900000,1.24500000,1.27000000,8648126.10000000,1759363199999999,11448173.61870000,71219,4192996.80000000,5561683.95700000,0
1759363200000000,1.27000000,1.38300000,1.26900000,1.31500000,4437765.80000000,1759377599999999,5907468.00350000,38899,2501100.70000000,3327711.30600000,0
1759377600000000,1.31600000,1.32500000,1.27500000,1.28500000,1668556.50000000,1759391999999999,2159828.08520000,14331,807211.80000000,1045387.69260000,0
1759392000000000,1.28400000,1.32600000,1.23400000,1.26500000,2606613.00000000,1759406399999999,3325691.93360000,16294,1337191.70000000,1707529.18880000,0
1759406400000000,1.26400000,1.30600000,1.24200000,1.25400000,2800125.70000000,1759420799999999,3579595.61160000,22172,1257872.50000000,1607279.24560000,0
1759420800000000,1.25300000,1.26400000,1.23800000,1.24500000,1019927.70000000,1759435199999999,1276203.70140000,8931,483135.50000000,604417.87740000,0
1759435200000000,1.24500000,1.25600000,1.22000000,1.23400000,786975.80000000,1759449599999999,972981.00410000,9271,347258.20000000,429616.44740000,0
1759449600000000,1.23500000,1.23800000,1.18300000,1.18900000,1937095.20000000,1759463999999999,2334367.92200000,9492,847896.90000000,1023143.94120000,0
1759464000000000,1.18900000,1.21700000,1.18600000,1.21300000,859529.20000000,1759478399999999,1034471.87840000,5824,440849.00000000,531273.91490000,0
1759478400000000,1.21100000,1.21100000,1.19200000,1.20400000,450819.70000000,1759492799999999,541143.34300000,3295,241273.80000000,289687.88450000,0
1759492800000000,1.20500000,1.25100000,1.19600000,1.24600000,1753033.60000000,1759507199999999,2152940.52720000,13714,916630.20000000,1127088.26080000,0
1759507200000000,1.24600000,1.26700000,1.21000000,1.23000000,1061903.20000000,1759521599999999,1316780.07460000,9404,526832.60000000,653861.17770000,0
1759521600000000,1.22900000,1.23400000,1.20600000,1.21400000,463917.70000000,1759535999999999,564557.90050000,4229,174947.80000000,213261.23710000,0
1759536000000000,1.21500000,1.22600000,1.19300000,1.19400000,551610.40000000,1759550399999999,666927.47010000,5090,230812.20000000,279494.26560000,0
1759550400000000,1.19300000,1.19800000,1.16900000,1.17700000,500392.70000000,1759564799999999,592398.17240000,4175,183697.20000000,217752.13030000,0
1759564800000000,1.17700000,1.18500000,1.15800000,1.17600000,574255.50000000,1759579199999999,672409.12920000,3893,204850.00000000,240142.25820000,0
1759579200000000,1.17800000,1.19300000,1.14900000,1.16000000,626674.00000000,1759593599999999,732851.37360000,4182,348501.40000000,407550.02590000,0
1759593600000000,1.15900000,1.20300000,1.15800000,1.19700000,689673.20000000,1759607999999999,814560.63820000,5658,379392.50000000,448661.66000000,0
1759608000000000,1.19700000,1.20500000,1.18200000,1.19100000,416161.80000000,1759622399999999,496629.48230000,2706,194216.60000000,231850.93900000,0
1759622400000000,1.19100000,1.20900000,1.17700000,1.19300000,489795.00000000,1759636799999999,583810.99220000,3508,246485.70000000,293953.74170000,0
1759636800000000,1.19200000,1.20700000,1.17900000,1.18500000,592221.70000000,1759651199999999,705800.68310000,4412,299153.20000000,356865.82320000,0
1759651200000000,1.18500000,1.23600000,1.16300000,1.17400000,1630805.60000000,1759665599999999,1956648.95110000,13295,865583.10000000,1039388.96900000,0
1759665600000000,1.17300000,1.18200000,1.13600000,1.15000000,665006.60000000,1759679999999999,768422.85950000,5561,265168.80000000,306817.13300000,0
1759680000000000,1.14900000,1.15400000,1.11700000,1.12100000,988277.90000000,1759694399999999,1116549.64860000,5500,416354.60000000,470803.45630000,0
1759694400000000,1.12000000,1.13400000,1.11700000,1.12600000,466783.80000000,1759708799999999,525219.50460000,3110,265267.20000000,298673.08130000,0
1759708800000000,1.12700000,1.17500000,1.12700000,1.13700000,837522.80000000,1759723199999999,965224.36650000,7068,477979.80000000,551190.80860000,0
1759723200000000,1.13700000,1.16000000,1.12200000,1.15400000,499885.50000000,1759737599999999,567922.86130000,4081,250899.60000000,286272.93900000,0
1759737600000000,1.15400000,1.16300000,1.14100000,1.15100000,707740.70000000,1759751999999999,815253.66220000,5116,328188.90000000,378189.39310000,0
1759752000000000,1.15100000,1.16100000,1.14200000,1.15200000,434252.60000000,1759766399999999,499949.00240000,3829,218857.80000000,252156.31410000,0
1759766400000000,1.15100000,1.20900000,1.14300000,1.20000000,1757304.50000000,1759780799999999,2080239.65580000,12489,1041404.70000000,1234062.79970000,0
1759780800000000,1.19900000,1.22500000,1.17200000,1.18600000,1375080.50000000,1759795199999999,1641711.13180000,10662,543679.60000000,649399.69670000,0
1759795200000000,1.18700000,1.29200000,1.18100000,1.25800000,2323373.80000000,1759809599999999,2887721.28670000,18098,1167236.90000000,1454522.38920000,0
1759809600000000,1.25800000,1.29000000,1.19900000,1.22300000,1584266.60000000,1759823999999999,1973514.38000000,13916,726951.20000000,907252.86200000,0
1759824000000000,1.22300000,1.22900000,1.19600000,1.20500000,1017040.20000000,1759838399999999,1234489.14820000,6624,429385.30000000,521320.31590000,0
1759838400000000,1.20500000,1.20800000,1.13300000,1.13600000,1549200.60000000,1759852799999999,1823190.44630000,9606,605549.50000000,714112.28150000,0
