open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1682899200000,0.76420000,0.77240000,0.74520000,0.74980000,1977389.00000000,1682913599999,1493480.47423000,8179,907254.10000000,684876.28011000,0
1682913600000,0.74960000,0.76950000,0.74750000,0.76080000,2184026.20000000,1682927999999,1660864.59355000,5839,1013498.30000000,768729.94689000,0
1682928000000,0.76080000,0.76930000,0.75710000,0.76000000,1201221.20000000,1682942399999,918675.78365000,3737,659755.30000000,504678.64884000,0
1682942400000,0.75970000,0.76320000,0.74430000,0.74930000,1740116.40000000,1682956799999,1311498.90708000,5942,850976.70000000,641450.47974000,0
1682956800000,0.74960000,0.75120000,0.73170000,0.74290000,1527325.50000000,1682971199999,1132555.26979000,6315,703873.60000000,521763.41688000,0
1682971200000,0.74260000,0.74880000,0.74080000,0.74150000,557818.00000000,1682985599999,415174.68808000,3003,285840.50000000,212716.23620000,0
1682985600000,0.74150000,0.74160000,0.73140000,0.73520000,688916.90000000,1682999999999,506657.19759000,3113,354758.70000000,260878.97276000,0
1683000000000,0.73530000,0.74260000,0.72940000,0.74090000,660200.70000000,1683014399999,484733.06531000,3155,361437.20000000,265339.32680000,0
1683014400000,0.74090000,0.74650000,0.73600000,0.74420000,710532.20000000,1683028799999,526486.35458000,3165,359713.80000000,266550.42370000,0
1683028800000,0.74450000,0.74510000,0.72570000,0.73940000,1502761.40000000,1683043199999,1106331.49338000,7752,750308.90000000,552031.16675000,0
1683043200000,0.73920000,0.74360000,0.72980000,0.73710000,908766.70000000,1683057599999,669217.50792000,4154,422589.50000000,311055.07094000,0
1683057600000,0.73710000,0.74070000,0.73300000,0.74020000,556894.30000000,1683071999999,410697.18082000,2252,293421.10000000,216433.08336000,0
1683072000000,0.74020000,0.74150000,0.72970000,0.73330000,699793.40000000,1683086399999,514842.51568000,3131,387422.40000000,285023.03823000,0
1683086400000,0.73320000,0.73910000,0.72900000,0.73140000,886570.90000000,1683100799999,650369.06424000,3770,474672.30000000,348267.58082000,0
1683100800000,0.73170000,0.73960000,0.73050000,0.73160000,861187.60000000,1683115199999,632823.27701000,4479,390994.20000000,287153.16543000,0
1683115200000,0.73150000,0.73190000,0.71450000,0.71620000,1970443.90000000,1683129599999,1421266.49391000,7488,884002.60000000,637826.46313000,0
1683129600000,0.71620000,0.73100000,0.70770000,0.71960000,2357862.70000000,1683143999999,1697525.24102000,11702,1212897.50000000,873238.65012000,0
1683144000000,0.71950000,0.76310000,0.71950000,0.75100000,2683685.20000000,1683158399999,2002783.50057000,10571,1155755.20000000,863027.12264000,0
1683158400000,0.75110000,0.75620000,0.73960000,0.75580000,1472080.80000000,1683172799999,1101567.55671000,5885,894315.20000000,669575.57580000,0
1683172800000,0.75550000,0.77010000,0.75240000,0.76940000,3083273.80000000,1683187199999,2350207.76588000,12839,1985640.90000000,1513413.33807000,0
1683187200000,0.76900000,0.78630000,0.76200000,0.77980000,2746328.90000000,1683201599999,2127219.68498000,9183,1366459.80000000,1057685.81927000,0
