open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1708430400000,0.20000000,7.71000000,0.20000000,2.34200000,100802176.37000000,1708444799999,323550102.90038000,947607,45152314.16000000,146189644.21696000,0
1708444800000,2.34200000,2.40000000,2.00200000,2.09300000,61988057.35000000,1708459199999,133649160.59828000,350911,28834684.81000000,62258735.24324000,0
1708459200000,2.09200000,2.13000000,1.85000000,1.96500000,31265280.59000000,1708473599999,62192431.16061000,144771,14421750.36000000,28716229.38587000,0
1708473600000,1.96500000,2.18900000,1.92100000,2.01200000,29669857.69000000,1708487999999,61053264.20217000,145143,14878497.63000000,30668173.99870000,0
1708488000000,2.01200000,2.07200000,1.90500000,1.91900000,20429608.53000000,1708502399999,40190298.31200000,101550,9145325.07000000,18002721.17233000,0
1708502400000,1.91900000,1.97200000,1.81100000,1.83500000,30668433.92000000,1708516799999,58022638.87570000,150362,13934821.37000000,26404106.87317000,0
1708516800000,1.83500000,1.85000000,1.67300000,1.76700000,50948235.62000000,1708531199999,89355234.99103000,203919,25522337.84000000,44762502.66363000,0
1708531200000,1.76700000,1.95900000,1.75300000,1.82600000,42096346.20000000,1708545599999,79044596.19397000,156642,20665238.79000000,38770765.90866000,0
1708545600000,1.82700000,1.92600000,1.76400000,1.89200000,14566405.53000000,1708559999999,26815640.60701000,60552,7491567.94000000,13802917.42444000,0
1708560000000,1.89200000,1.90500000,1.80200000,1.88900000,12690053.32000000,1708574399999,23507366.73704000,54498,6266733.05000000,11620352.97821000,0
1708574400000,1.88900000,1.93000000,1.82000000,1.87900000,15015104.80000000,1708588799999,28054552.51408000,57967,7390212.98000000,13829416.78130000,0
1708588800000,1.88000000,1.96000000,1.84600000,1.89500000,22090907.07000000,1708603199999,42073467.98863000,87175,10923556.80000000,20840643.18608000,0
1708603200000,1.89400000,1.90800000,1.81500000,1.84800000,13816964.49000000,1708617599999,25605293.98696000,60821,6799504.37000000,12607856.67752000,0
1708617600000,1.84800000,1.90000000,1.81000000,1.87300000,10049953.21000000,1708631999999,18626615.00329000,41095,5019706.45000000,9317312.79107000,0
1708632000000,1.87300000,2.04300000,1.85000000,1.93000000,28956082.34000000,1708646399999,56661718.15561000,119672,15405356.24000000,30164378.10560000,0
1708646400000,1.92900000,2.15000000,1.91800000,2.07600000,37194733.42000000,1708660799999,76638607.78709000,120088,20064686.76000000,41351450.85722000,0
1708660800000,2.07600000,2.17800000,2.02000000,2.03800000,28519923.75000000,1708675199999,59983768.70708000,113062,14314336.51000000,30143182.56862000,0
1708675200000,2.03800000,2.08600000,2.00500000,2.05400000,14901437.79000000,1708689599999,30454814.90978000,60023,7109908.19000000,14545414.56414000,0
1708689600000,2.05400000,2.05500000,1.86000000,1.88900000,24345231.43000000,1708703999999,47730099.26863000,96887,11121692.13000000,21788958.53979000,0
1708704000000,1.88800000,1.97700000,1.84900000,1.96900000,11429558.17000000,1708718399999,22000920.55642000,52714,5897006.92000000,11364580.72211000,0
1708718400000,1.96800000,1.97700000,1.88600000,1.92700000,5913942.21000000,1708732799999,11411203.10611000,24918,2840380.09000000,5485422.52376000,0
1708732800000,1.92700000,1.93500000,1.86000000,1.90700000,6576309.67000000,1708747199999,12451611.53052000,28117,3181342.44000000,6026924.36067000,0
1708747200000,1.90800000,1.92500000,1.87900000,1.92200000,5264568.28000000,1708761599999,10026086.36144000,20046,2661045.89000000,5071606.21497000,0
1708761600000,1.92200000,1.93900000,1.88500000,1.93500000,4805878.10000000,1708775999999,9173757.88793000,21621,2358679.66000000,4506988.45481000,0
1708776000000,1.93500000,1.94900000,1.90500000,1.93400000,5166973.01000000,1708790399999,9956380.52609000,22377,2606152.65000000,5026348.00131000,0
1708790400000,1.93500000,1.96500000,1.91700000,1.94600000,6257428.93000000,1708804799999,12123296.15060000,21390,3237969.43000000,6277319.30315000,0
1708804800000,1.94800000,1.95000000,1.87500000,1.89500000,8428986.62000000,1708819199999,16032127.89018000,23036,4568792.13000000,8680135.07625000,0
1708819200000,1.89500000,1.92800000,1.87600000,1.90100000,4771352.77000000,1708833599999,9075538.11999000,16410,2254999.09000000,4292192.40610000,0
1708833600000,1.90000000,1.92400000,1.88400000,1.91300000,5005947.07000000,1708847999999,9533127.09707000,18318,2493089.21000000,4754257.92586000,0
1708848000000,1.91300000,1.91700000,1.87800000,1.88700000,5380674.61000000,1708862399999,10178620.32120000,32521,2028311.48000000,3838212.38315000,0
1708862400000,1.88700000,1.95000000,1.88500000,1.91100000,6919332.52000000,1708876799999,13287195.52239000,28517,3494318.18000000,6712463.57926000,0
1708876800000,1.91200000,1.94300000,1.90000000,1.93200000,4092542.75000000,1708891199999,7868345.26312000,18549,2038549.40000000,3922788.48995000,0
1708891200000,1.93100000,1.95700000,1.91200000,1.94800000,4581858.59000000,1708905599999,8863720.46678000,19894,2431810.44000000,4708754.03239000,0
1708905600000,1.94800000,1.95900000,1.90300000,1.93300000,5125261.72000000,1708919999999,9889393.06074000,18520,2484437.86000000,4797379.01268000,0
1708920000000,1.93300000,1.95700000,1.91400000,1.91500000,7291662.27000000,1708934399999,14115060.65247000,30644,4227781.52000000,8188346.59713000,0
1708934400000,1.91500000,1.93300000,1.85800000,1.87300000,7490229.22000000,1708948799999,14160177.70849000,32194,3322608.20000000,6285633.64503000,0
1708948800000,1.87300000,1.90800000,1.86100000,1.90000000,7361898.27000000,1708963199999,13918210.17668000,33564,3485491.27000000,6586997.53872000,0
1708963200000,1.90000000,1.95000000,1.90000000,1.94100000,9112044.14000000,1708977599999,17515706.49487000,36803,4695173.82000000,9028602.61902000,0
1708977600000,1.94100000,2.01400000,1.92600000,1.97100000,14203358.14000000,1708991999999,28027338.46262000,45437,7431002.23000000,14677731.48286000,0
1708992000000,1.97100000,1.99800000,1.92300000,1.93500000,12250373.89000000,1709006399999,23936684.76058000,41313,5569815.34000000,10893841.24002000,0
1709006400000,1.93500000,2.06100000,1.93500000,2.02700000,17307879.89000000,1709020799999,34764166.36896000,69405,9290178.89000000,18672860.55158000,0
1709020800000,2.02700000,2.06300000,1.97000000,1.98400000,8579918.58000000,1709035199999,17280010.69144000,35767,4021033.25000000,8103215.38776000,0
1709035200000,1.98500000,2.00300000,1.90500000,1.91200000,13675492.76000000,1709049599999,26767800.54610000,46863,6507280.25000000,12741161.17703000,0
1709049600000,1.91300000,1.92600000,1.87100000,1.90100000,7880328.78000000,1709063999999,14988090.91817000,33098,3667949.24000000,6978216.56630000,0
1709064000000,1.90100000,1.92900000,1.89500000,1.91300000,4847179.49000000,1709078399999,9281624.18589000,18688,2522217.39000000,4830787.55531000,0
1709078400000,1.91300000,1.93700000,1.90000000,1.90300000,5175578.49000000,1709092799999,9917745.69069000,18290,2370563.61000000,4547549.53327000,0
1709092800000,1.90400000,1.93200000,1.90200000,1.91800000,4883799.64000000,1709107199999,9359587.23141000,17211,2481882.91000000,4758137.32180000,0
1709107200000,1.91700000,1.97500000,1.88000000,1.91100000,15225338.83000000,1709121599999,29392882.61413000,52834,7428078.37000000,14357140.38062000,0
1709121600000,1.91000000,1.94000000,1.90100000,1.90900000,11864432.64000000,1709135999999,22792262.84394000,47399,5586414.07000000,10734783.99367000,0
1709136000000,1.90800000,1.95400000,1.67500000,1.83200000,28188691.70000000,1709150399999,51627016.43988000,121923,13203908.61000000,24219232.72664000,0
1709150400000,1.83200000,1.85900000,1.80900000,1.83900000,7132783.38000000,1709164799999,13109114.55588000,31097,3493110.16000000,6423330.72578000,0
1709164800000,1.83900000,1.91900000,1.82900000,1.87400000,7453999.81000000,1709179199999,13997804.24217000,30531,3882547.26000000,7292174.61138000,0
1709179200000,1.87300000,1.88500000,1.83300000,1.86500000,8096151.92000000,1709193599999,15087900.12143000,30226,4019626.67000000,7497602.34759000,0
1709193600000,1.86500000,1.88700000,1.82700000,1.84200000,10454376.49000000,1709207999999,19420240.81334000,39970,5061813.89000000,9406756.83377000,0
1709208000000,1.84100000,1.87000000,1.82700000,1.85300000,6838417.43000000,1709222399999,12637072.07030000,29004,3324332.19000000,6144500.08577000,0
1709222400000,1.85300000,1.86000000,1.76200000,1.79800000,11212286.20000000,1709236799999,20148133.49454000,46381,5556529.19000000,9990302.68602000,0
1709236800000,1.79800000,1.80700000,1.70000000,1.74700000,9274984.60000000,1709251199999,16199800.41153000,35766,4299232.45000000,7512137.40026000,0
