open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1651363200000,0.91800000,0.93400000,0.89300000,0.92400000,655712.69000000,1651377599999,601850.78537500,3123,302553.70000000,278121.64080000,0
1651377600000,0.92400000,0.94300000,0.92000000,0.92700000,230431.90000000,1651391999999,214750.96400000,1149,115149.80000000,107451.08440000,0
1651392000000,0.92600000,0.93500000,0.92300000,0.92300000,182464.00000000,1651406399999,169722.72040000,783,86865.50000000,80903.49470000,0
1651406400000,0.92200000,0.95000000,0.90900000,0.94700000,404790.50000000,1651420799999,373621.60270000,1187,209197.00000000,193216.32900000,0
1651420800000,0.94900000,0.96100000,0.92500000,0.92900000,228678.20000000,1651435199999,215854.64840000,1170,103147.90000000,97474.19460000,0
1651435200000,0.92900000,0.95100000,0.92200000,0.94700000,228538.80000000,1651449599999,214244.86230000,1129,114935.40000000,107780.72190000,0
1651449600000,0.94700000,0.96100000,0.94400000,0.95300000,219155.60000000,1651463999999,209171.62120000,969,113897.70000000,108704.69720000,0
1651464000000,0.95300000,0.96300000,0.94800000,0.94900000,158640.20000000,1651478399999,151649.77270000,974,75612.10000000,72305.10490000,0
1651478400000,0.95000000,0.95200000,0.92300000,0.92300000,175509.20000000,1651492799999,164596.37310000,853,84596.70000000,79416.26090000,0
1651492800000,0.92300000,1.01700000,0.91700000,0.97200000,2836025.00000000,1651507199999,2779506.51550000,8159,1761265.00000000,1728529.63580000,0
1651507200000,0.97200000,0.97800000,0.90800000,0.93100000,1665534.90000000,1651521599999,1563247.51150000,3932,801505.10000000,756427.93920000,0
1651521600000,0.93300000,0.95600000,0.92000000,0.93800000,400514.10000000,1651535999999,377117.43430000,985,169174.50000000,159286.45980000,0
1651536000000,0.93800000,0.94300000,0.92600000,0.93500000,175641.10000000,1651550399999,164306.78410000,682,85736.50000000,80279.82240000,0
1651550400000,0.93500000,0.94800000,0.93500000,0.94200000,125041.40000000,1651564799999,117640.08300000,565,63107.40000000,59375.81660000,0
