open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,3.26030000,3.27940000,3.21670000,3.21910000,3127872.50000000,1759291199999999,10180027.19346000,53323,1485552.50000000,4836646.15241000,0
1759291200000000,3.21910000,3.26390000,3.21560000,3.25600000,3546967.00000000,1759305599999999,11519458.98934000,58424,1693698.70000000,5501106.50630000,0
1759305600000000,3.25590000,3.42020000,3.25340000,3.41940000,15739807.10000000,1759319999999999,53042713.10100000,134504,8291939.20000000,27931676.20422000,0
1759320000000000,3.41940000,3.49090000,3.39170000,3.48950000,10468089.20000000,1759334399999999,35952533.16052000,102538,5641630.20000000,19391155.20566000,0
1759334400000000,3.48960000,3.53250000,3.43770000,3.51630000,8504875.00000000,1759348799999999,29637421.06505000,88822,4119918.80000000,14367943.19932000,0
1759348800000000,3.51620000,3.53600000,3.48800000,3.52170000,7344995.60000000,1759363199999999,25780443.04475000,63517,4082284.90000000,14334283.30900000,0
1759363200000000,3.52180000,3.57940000,3.50910000,3.56800000,6473528.70000000,1759377599999999,22975223.92556000,78867,3416748.40000000,12126104.48496000,0
1759377600000000,3.56800000,3.59350000,3.53870000,3.55500000,5433643.30000000,1759391999999999,19382485.95137000,61620,2340266.10000000,8350352.40349000,0
1759392000000000,3.55510000,3.57810000,3.54400000,3.55730000,3564117.30000000,1759406399999999,12696252.40894000,46445,1797110.00000000,6402041.36113000,0
1759406400000000,3.55730000,3.59240000,3.48150000,3.55250000,8560896.60000000,1759420799999999,30275752.54770000,104007,4251869.90000000,15044834.31255000,0
1759420800000000,3.55260000,3.64350000,3.52450000,3.61420000,10029338.60000000,1759435199999999,35856030.99728000,99834,5586680.90000000,19984133.73340000,0
1759435200000000,3.61420000,3.61690000,3.56160000,3.58690000,3625833.20000000,1759449599999999,12995831.12333000,50522,1450252.60000000,5197466.60516000,0
1759449600000000,3.58690000,3.58770000,3.52240000,3.56340000,4861770.00000000,1759463999999999,17289054.25131000,62870,2351009.30000000,8367113.49131000,0
