open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,0.61580000,0.64040000,0.59750000,0.59800000,3296266.00000000,1759291199999999,2035333.60530000,28944,1681440.00000000,1040431.19430000,0
1759291200000000,0.59820000,0.60580000,0.57180000,0.57850000,2814905.00000000,1759305599999999,1654155.71820000,27177,1382567.00000000,812633.30630000,0
1759305600000000,0.57830000,0.60320000,0.57450000,0.59690000,2450151.00000000,1759319999999999,1451806.16950000,21770,1260202.00000000,746994.89580000,0
1759320000000000,0.59740000,0.62040000,0.59440000,0.60750000,2632029.00000000,1759334399999999,1592580.08740000,23447,1415595.00000000,856843.00100000,0
1759334400000000,0.60770000,0.62110000,0.60430000,0.60920000,1697529.00000000,1759348799999999,1038795.51670000,13839,892308.00000000,546199.65180000,0
1759348800000000,0.60910000,0.61010000,0.59960000,0.60520000,1558345.00000000,1759363199999999,940779.45270000,7970,778305.00000000,469743.53650000,0
1759363200000000,0.60540000,0.61350000,0.59090000,0.61250000,2350648.00000000,1759377599999999,1416784.22360000,12362,1126861.00000000,679096.01360000,0
1759377600000000,0.61240000,0.71820000,0.60330000,0.68350000,17173659.00000000,1759391999999999,11430945.67690000,83257,9157355.00000000,6096145.18800000,0
1759392000000000,0.68380000,0.72000000,0.64940000,0.66230000,10684876.00000000,1759406399999999,7220673.44180000,66959,5336191.00000000,3613467.91040000,0
1759406400000000,0.66220000,0.66310000,0.63410000,0.65270000,7498581.00000000,1759420799999999,4845314.89980000,33729,3774882.00000000,2440174.24170000,0
1759420800000000,0.65250000,0.66290000,0.64020000,0.65130000,2518366.00000000,1759435199999999,1646854.60480000,13384,1286311.00000000,841436.18570000,0
1759435200000000,0.65150000,0.65470000,0.63700000,0.64060000,1912222.00000000,1759449599999999,1231844.58890000,10539,803080.00000000,517132.13310000,0
1759449600000000,0.64040000,0.64060000,0.61340000,0.61560000,1980017.00000000,1759463999999999,1232594.93830000,11229,827563.00000000,514400.05420000,0
1759464000000000,0.61560000,0.62420000,0.61450000,0.62090000,1128711.00000000,1759478399999999,698551.38700000,6516,591130.00000000,365985.35500000,0
1759478400000000,0.62100000,0.62330000,0.61250000,0.61440000,1159609.00000000,1759492799999999,716924.09970000,6150,560229.00000000,346295.99000000,0
1759492800000000,0.61440000,0.62750000,0.61060000,0.62600000,1918497.00000000,1759507199999999,1184023.61860000,9538,1037599.00000000,640249.70880000,0
1759507200000000,0.62630000,0.63590000,0.61950000,0.63220000,1827214.00000000,1759521599999999,1148427.03810000,10495,870697.00000000,547332.64360000,0
1759521600000000,0.63210000,0.63660000,0.62480000,0.62770000,857018.00000000,1759535999999999,540710.64170000,5184,411334.00000000,259472.23400000,0
1759536000000000,0.62760000,0.64640000,0.62060000,0.63930000,1651478.00000000,1759550399999999,1045570.50050000,11644,851667.00000000,539094.41540000,0
1759550400000000,0.63890000,0.64220000,0.63030000,0.63590000,1208916.00000000,1759564799999999,769064.51990000,8510,525402.00000000,334356.32040000,0
1759564800000000,0.63590000,0.64550000,0.62370000,0.63210000,1308593.00000000,1759579199999999,829632.42970000,8564,584249.00000000,370221.07660000,0
1759579200000000,0.63190000,0.66720000,0.61720000,0.61910000,4724847.00000000,1759593599999999,3037812.92810000,20797,2176763.00000000,1401681.06620000,0
