open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1651363200000,2.29700000,2.35900000,2.26400000,2.33500000,2025528.60000000,1651377599999,4694538.96940000,17710,1019049.20000000,2361761.39740000,0
1651377600000,2.33500000,2.37700000,2.30900000,2.33000000,1730106.40000000,1651391999999,4053620.41830000,11949,1007624.20000000,2361337.37550000,0
1651392000000,2.33100000,2.36600000,2.31200000,2.31300000,1298971.90000000,1651406399999,3045161.31780000,8680,699500.20000000,1640017.99100000,0
1651406400000,2.31200000,2.40200000,2.27200000,2.39500000,1530910.70000000,1651420799999,3558944.20080000,12495,805593.20000000,1871974.01840000,0
1651420800000,2.39600000,2.46100000,2.29700000,2.32800000,1446688.30000000,1651435199999,3454927.42420000,12115,774225.60000000,1850146.57510000,0
1651435200000,2.32700000,2.41100000,2.31500000,2.38900000,940260.60000000,1651449599999,2217909.13740000,7282,511518.60000000,1205728.40740000,0
1651449600000,2.38900000,2.43800000,2.36800000,2.39700000,837606.80000000,1651463999999,2015994.75100000,5946,388843.30000000,935485.72490000,0
1651464000000,2.39800000,2.43700000,2.38000000,2.39900000,740792.80000000,1651478399999,1786857.10480000,5782,354278.60000000,854984.27940000,0
1651478400000,2.39800000,2.41200000,2.29300000,2.30100000,992490.60000000,1651492799999,2322427.87990000,8130,497213.20000000,1163784.87110000,0
1651492800000,2.30000000,2.38700000,2.27100000,2.37800000,2032682.40000000,1651507199999,4757178.18800000,17046,997148.80000000,2333102.45420000,0
1651507200000,2.37700000,2.37900000,2.26100000,2.35300000,1152830.40000000,1651521599999,2670029.08000000,9964,583875.20000000,1352916.95340000,0
1651521600000,2.35300000,2.40000000,2.31900000,2.36000000,448694.00000000,1651535999999,1060185.37040000,3904,225438.50000000,532554.48670000,0
1651536000000,2.36100000,2.40100000,2.33200000,2.39800000,405656.10000000,1651550399999,959887.33000000,4006,205098.90000000,485240.69850000,0
1651550400000,2.39700000,2.45900000,2.39600000,2.42700000,1078293.00000000,1651564799999,2620392.48720000,8446,529378.40000000,1286952.91800000,0
1651564800000,2.42700000,2.44600000,2.37200000,2.43700000,973502.30000000,1651579199999,2347207.40990000,7461,461649.60000000,1113527.17080000,0
1651579200000,2.43800000,2.44400000,2.36600000,2.38900000,934037.80000000,1651593599999,2244685.24930000,7705,424772.40000000,1021527.17250000,0
1651593600000,2.38800000,2.40200000,2.31100000,2.32200000,906034.60000000,1651607999999,2132820.23130000,7776,440168.30000000,1036250.66580000,0
1651608000000,2.32000000,2.35700000,2.29700000,2.32800000,548763.80000000,1651622399999,1275764.13910000,4991,287404.60000000,668279.55470000,0
1651622400000,2.32700000,2.38700000,2.31500000,2.37100000,489842.00000000,1651636799999,1154171.25110000,4129,255961.20000000,603102.57690000,0
1651636800000,2.37100000,2.42000000,2.34500000,2.40700000,735675.90000000,1651651199999,1752018.07270000,5348,360323.60000000,857557.28330000,0
1651651200000,2.41000000,2.47000000,2.41000000,2.42700000,1385013.30000000,1651665599999,3384201.64140000,11522,718838.40000000,1756329.18710000,0
1651665600000,2.42700000,2.44500000,2.36100000,2.38200000,1055686.20000000,1651679999999,2538758.55720000,8897,517793.40000000,1245907.84710000,0
1651680000000,2.38100000,2.58900000,2.37200000,2.57500000,2536269.30000000,1651694399999,6288066.00890000,24661,1302909.90000000,3231109.67110000,0
1651694400000,2.57600000,2.65100000,2.55200000,2.61800000,999521.40000000,1651708799999,2598024.23440000,10962,514234.10000000,1335674.35080000,0
1651708800000,2.61800000,2.63600000,2.58000000,2.60000000,809979.20000000,1651723199999,2110055.88930000,6290,434119.30000000,1130984.40930000,0
1651723200000,2.60100000,2.61800000,2.55700000,2.59200000,536060.70000000,1651737599999,1387293.70000000,4491,216725.20000000,560863.95950000,0
1651737600000,2.59200000,2.60800000,2.54900000,2.57300000,1195810.60000000,1651751999999,3083986.06440000,7960,602991.60000000,1554597.52500000,0
1651752000000,2.57200000,2.59700000,2.22400000,2.26300000,3624802.00000000,1651766399999,8743780.59070000,34015,1753036.90000000,4234457.38330000,0
1651766400000,2.26400000,2.30900000,2.19900000,2.24500000,2647571.40000000,1651780799999,5956148.67240000,22026,1338099.60000000,3011977.86200000,0
1651780800000,2.24500000,2.32500000,2.22800000,2.27400000,925750.00000000,1651795199999,2097909.77720000,8514,486748.20000000,1103353.56600000,0
1651795200000,2.27300000,2.30300000,2.24500000,2.29300000,696265.50000000,1651809599999,1585117.58060000,5836,348690.00000000,794083.00760000,0
1651809600000,2.29200000,2.32200000,2.19500000,2.24900000,1227455.70000000,1651823999999,2778733.08510000,10156,648867.70000000,1468007.74290000,0
1651824000000,2.24900000,2.27600000,2.18500000,2.21900000,1076169.70000000,1651838399999,2408373.84070000,9914,565568.30000000,1266183.40430000,0
1651838400000,2.21900000,2.30100000,2.17000000,2.25000000,2136433.00000000,1651852799999,4758759.67420000,18801,1117828.20000000,2491243.57550000,0
1651852800000,2.24800000,2.27500000,2.21000000,2.23900000,959036.90000000,1651867199999,2151912.06430000,8484,494413.40000000,1109648.79140000,0
1651867200000,2.24000000,2.26500000,2.22000000,2.24600000,468408.90000000,1651881599999,1051399.95400000,4320,241655.90000000,542323.61620000,0
1651881600000,2.24600000,2.25900000,2.19800000,2.20100000,564968.50000000,1651895999999,1261201.37220000,5074,278868.70000000,622500.65470000,0
1651896000000,2.20200000,2.23300000,2.17200000,2.22400000,611733.00000000,1651910399999,1345462.89720000,6013,325034.30000000,714698.83070000,0
1651910400000,2.22300000,2.25600000,2.21800000,2.23200000,585316.30000000,1651924799999,1308569.19410000,4970,256300.70000000,573076.19690000,0
1651924800000,2.23100000,2.23800000,2.19300000,2.22100000,614961.10000000,1651939199999,1362067.79330000,4569,303343.60000000,671956.97910000,0
1651939200000,2.22000000,2.22500000,2.19700000,2.20800000,451056.50000000,1651953599999,996927.83220000,3661,225306.40000000,498043.77290000,0
1651953600000,2.20700000,2.20700000,2.07600000,2.14300000,1353262.95000000,1651967999999,2894314.40450000,12915,646124.40000000,1382776.31580000,0
1651968000000,2.14200000,2.16000000,2.06000000,2.11600000,1472584.30000000,1651982399999,3086779.07300000,12465,689792.80000000,1446540.13850000,0
1651982400000,2.11600000,2.14700000,2.09800000,2.12200000,545239.80000000,1651996799999,1157501.52890000,4346,259867.10000000,551448.23000000,0
1651996800000,2.12200000,2.18500000,2.12000000,2.17200000,708051.80000000,1652011199999,1524669.85300000,5193,373939.30000000,805305.55280000,0
1652011200000,2.17000000,2.17700000,2.09600000,2.12300000,1145688.70000000,1652025599999,2437019.72620000,8498,564500.20000000,1200215.22580000,0
1652025600000,2.12400000,2.17100000,2.07900000,2.15300000,1294569.90000000,1652039999999,2747479.83620000,11414,662572.80000000,1406649.16360000,0
1652040000000,2.15300000,2.16200000,2.09700000,2.10900000,596933.70000000,1652054399999,1271084.86980000,4706,306241.90000000,651753.08610000,0
1652054400000,2.11200000,2.15900000,2.03300000,2.07000000,1175053.70000000,1652068799999,2449253.24020000,10982,589333.80000000,1228771.73960000,0
1652068800000,2.07000000,2.08700000,2.01100000,2.03500000,1241821.40000000,1652083199999,2550550.80570000,8840,469396.70000000,961307.90930000,0
1652083200000,2.03400000,2.05700000,1.91900000,1.98900000,2457771.30000000,1652097599999,4848524.21990000,17442,1274399.00000000,2513581.99240000,0
1652097600000,1.98900000,2.02300000,1.93100000,1.94200000,1916592.80000000,1652111999999,3802709.94930000,15747,990284.20000000,1964024.09730000,0
1652112000000,1.94200000,1.95500000,1.74500000,1.80300000,4366868.90000000,1652126399999,7989327.48140000,39792,2190817.30000000,4009513.66040000,0
1652126400000,1.80300000,2.17600000,1.70400000,1.72600000,4954555.00000000,1652140799999,9082922.65750000,39383,2434329.50000000,4473476.11720000,0
1652140800000,1.72600000,1.83300000,1.67800000,1.78000000,7723875.50000000,1652155199999,13663847.44380000,63490,3628349.80000000,6411809.78020000,0
