open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1651363200000,0.41080000,0.42420000,0.40440000,0.42310000,1784659.00000000,1651377599999,739259.66990000,5017,916950.00000000,380699.10020000,0
1651377600000,0.42360000,0.43750000,0.41350000,0.42490000,1599143.00000000,1651391999999,682060.27720000,3221,742426.00000000,316772.99420000,0
1651392000000,0.42490000,0.43100000,0.42320000,0.42430000,1088618.00000000,1651406399999,465332.84190000,1930,522122.00000000,223396.45800000,0
1651406400000,0.42430000,0.43740000,0.41520000,0.43440000,1455346.00000000,1651420799999,615109.80290000,3586,685332.00000000,290215.17530000,0
1651420800000,0.43500000,0.43960000,0.41410000,0.41790000,1738813.00000000,1651435199999,743214.09630000,3772,773242.00000000,329788.94500000,0
1651435200000,0.41800000,0.43490000,0.41610000,0.43240000,1563366.00000000,1651449599999,668065.84720000,3465,804659.00000000,344381.51130000,0
1651449600000,0.43220000,0.43640000,0.42720000,0.43140000,717505.00000000,1651463999999,309950.72430000,2281,320396.00000000,138446.71820000,0
1651464000000,0.43110000,0.44590000,0.42580000,0.43110000,2161928.00000000,1651478399999,943007.11880000,4405,1041866.00000000,455503.01040000,0
1651478400000,0.43180000,0.44190000,0.42080000,0.43150000,2481291.00000000,1651492799999,1066049.87230000,4600,1032624.00000000,443663.35310000,0
1651492800000,0.43150000,0.44140000,0.41250000,0.43220000,3060203.00000000,1651507199999,1311956.12940000,7039,1643444.00000000,706188.74640000,0
1651507200000,0.43100000,0.43210000,0.40590000,0.41900000,2323403.00000000,1651521599999,968485.51850000,4712,1028266.00000000,428242.94230000,0
1651521600000,0.41920000,0.42000000,0.41040000,0.41450000,1056326.00000000,1651535999999,439107.02380000,2157,544970.00000000,226397.59380000,0
1651536000000,0.41440000,0.41800000,0.40890000,0.41380000,917328.00000000,1651550399999,379167.39040000,2226,519054.00000000,214571.62940000,0
1651550400000,0.41410000,0.42320000,0.41120000,0.42050000,1196510.00000000,1651564799999,498534.69880000,2220,711655.00000000,296564.68590000,0
1651564800000,0.42040000,0.43430000,0.41290000,0.42430000,3998449.00000000,1651579199999,1692636.58500000,5206,2021039.00000000,856918.27490000,0
1651579200000,0.42500000,0.43240000,0.41650000,0.42120000,15304133.00000000,1651593599999,6531213.84870000,10100,8661575.00000000,3701476.00330000,0
1651593600000,0.42120000,0.42220000,0.40370000,0.40530000,4549247.00000000,1651607999999,1882404.56390000,4894,2268702.00000000,940216.95820000,0
1651608000000,0.40500000,0.40920000,0.40170000,0.40480000,1115019.00000000,1651622399999,451970.92760000,1674,613106.00000000,248563.72430000,0
1651622400000,0.40520000,0.41070000,0.40360000,0.40650000,607077.00000000,1651636799999,247298.36370000,1557,253148.00000000,103152.99880000,0
1651636800000,0.40680000,0.42150000,0.40360000,0.41940000,1733376.00000000,1651651199999,714757.35980000,2052,1021415.00000000,421661.96820000,0
1651651200000,0.41940000,0.42250000,0.41400000,0.41980000,1605573.00000000,1651665599999,671754.59820000,2192,791741.00000000,331620.71350000,0
1651665600000,0.42000000,0.42570000,0.40820000,0.41800000,4611925.00000000,1651679999999,1923185.54380000,4737,2505419.00000000,1046304.69250000,0
1651680000000,0.41800000,0.43970000,0.41500000,0.42880000,2997180.00000000,1651694399999,1279948.44700000,5098,1395066.00000000,595690.38800000,0
1651694400000,0.42880000,0.43550000,0.42620000,0.43400000,1616739.00000000,1651708799999,696934.78900000,2916,803689.00000000,346885.62520000,0
1651708800000,0.43380000,0.43490000,0.42880000,0.43280000,861025.00000000,1651723199999,372070.88970000,1731,431363.00000000,186368.47090000,0
1651723200000,0.43250000,0.43250000,0.42460000,0.42890000,868297.00000000,1651737599999,372271.98080000,1503,426483.00000000,182983.54200000,0
1651737600000,0.42890000,0.43000000,0.41310000,0.42010000,1744072.00000000,1651751999999,734295.45990000,2835,684895.00000000,288780.20330000,0
1651752000000,0.42060000,0.42440000,0.38000000,0.38890000,4997878.00000000,1651766399999,2026093.76310000,7262,2391413.00000000,968006.34030000,0
1651766400000,0.38890000,0.41710000,0.37300000,0.38130000,5721398.00000000,1651780799999,2245954.21160000,5949,3276397.00000000,1289723.56880000,0
1651780800000,0.38130000,0.39740000,0.37760000,0.37960000,1536711.00000000,1651795199999,592095.16660000,2649,688767.00000000,265872.77060000,0
1651795200000,0.37980000,0.38170000,0.36800000,0.37450000,1390266.00000000,1651809599999,520057.00460000,2976,623359.00000000,233163.33200000,0
1651809600000,0.37450000,0.37610000,0.35910000,0.36210000,1406146.00000000,1651823999999,519078.46760000,2546,587233.00000000,217598.18500000,0
1651824000000,0.36190000,0.36930000,0.35370000,0.35860000,2382220.00000000,1651838399999,867116.70500000,3629,1317475.00000000,480582.48090000,0
1651838400000,0.35860000,0.38030000,0.35000000,0.36560000,2409665.00000000,1651852799999,874780.35550000,4688,1272785.00000000,463181.03000000,0
1651852800000,0.36590000,0.37930000,0.36440000,0.37520000,1243246.00000000,1651867199999,462288.55500000,2211,588562.00000000,218490.42410000,0
1651867200000,0.37500000,0.38950000,0.36970000,0.37180000,1408211.00000000,1651881599999,530707.82180000,2615,714319.00000000,269415.99470000,0
1651881600000,0.37210000,0.37440000,0.36290000,0.36310000,1019182.00000000,1651895999999,374513.09840000,1963,491728.00000000,180906.88970000,0
1651896000000,0.36310000,0.36960000,0.36020000,0.36960000,596271.00000000,1651910399999,216992.63490000,1581,322567.00000000,117532.26450000,0
1651910400000,0.36920000,0.37500000,0.36640000,0.37500000,639714.00000000,1651924799999,236971.38100000,1748,345549.00000000,128084.79430000,0
1651924800000,0.37230000,0.37350000,0.36520000,0.36830000,1687722.00000000,1651939199999,624241.65000000,2502,924164.00000000,342296.08690000,0
1651939200000,0.36850000,0.36960000,0.36520000,0.36600000,387132.00000000,1651953599999,142146.96820000,879,176436.00000000,64801.85610000,0
1651953600000,0.36620000,0.36620000,0.34630000,0.35190000,2191492.00000000,1651967999999,781214.28360000,3434,983577.00000000,350772.03960000,0
1651968000000,0.35150000,0.35310000,0.33020000,0.33650000,1665208.00000000,1651982399999,562099.51530000,3344,860720.00000000,290600.85440000,0
1651982400000,0.33610000,0.34210000,0.33360000,0.33690000,756999.00000000,1651996799999,255936.92260000,1792,410718.00000000,138891.54500000,0
1651996800000,0.33690000,0.34980000,0.33580000,0.34360000,7816083.00000000,1652011199999,2695032.74950000,4881,4586642.00000000,1583973.32130000,0
1652011200000,0.34390000,0.34510000,0.33240000,0.33550000,5742429.00000000,1652025599999,1954648.96440000,3960,3409193.00000000,1161969.10700000,0
1652025600000,0.33530000,0.34050000,0.31930000,0.33700000,4663323.00000000,1652039999999,1527098.13500000,4715,2366009.00000000,775199.35680000,0
1652040000000,0.33680000,0.34000000,0.32850000,0.33050000,5685407.00000000,1652054399999,1909858.16570000,2972,3534134.00000000,1188895.98620000,0
1652054400000,0.33120000,0.33380000,0.31070000,0.31600000,1723142.00000000,1652068799999,553493.81320000,3166,699954.00000000,224496.87790000,0
1652068800000,0.31620000,0.32100000,0.31070000,0.31370000,928334.00000000,1652083199999,291933.21630000,1719,447547.00000000,140745.98060000,0
1652083200000,0.31370000,0.31520000,0.29340000,0.30050000,10315616.00000000,1652097599999,3149068.96830000,7373,5633028.00000000,1722977.76840000,0
1652097600000,0.30050000,0.30390000,0.28550000,0.28900000,7556577.00000000,1652111999999,2243779.08010000,5830,3899863.00000000,1159935.79280000,0
1652112000000,0.28930000,0.29190000,0.25410000,0.27600000,5801693.00000000,1652126399999,1566968.47700000,8936,2634832.00000000,714204.59570000,0
1652126400000,0.27570000,0.29020000,0.24940000,0.25020000,6403647.00000000,1652140799999,1707925.63460000,8865,2583468.00000000,692896.16740000,0
1652140800000,0.25030000,0.27300000,0.24650000,0.25540000,4490939.00000000,1652155199999,1152854.31750000,5134,2180709.00000000,561681.86700000,0
1652155200000,0.25520000,0.30200000,0.25200000,0.28110000,6382884.00000000,1652169599999,1802302.60240000,7270,2985503.00000000,842445.22760000,0
1652169600000,0.28140000,0.29100000,0.27810000,0.28390000,5275441.00000000,1652183999999,1503861.62560000,4791,2789502.00000000,796258.69430000,0
1652184000000,0.28430000,0.29980000,0.26690000,0.27750000,6787717.00000000,1652198399999,1900625.25820000,7494,3759331.00000000,1053209.20650000,0
1652198400000,0.27720000,0.28130000,0.26420000,0.26740000,3724961.00000000,1652212799999,1016475.68570000,3999,1816634.00000000,496705.11060000,0
1652212800000,0.26680000,0.26760000,0.24240000,0.26130000,3331338.00000000,1652227199999,850593.82810000,4743,1452416.00000000,371016.65180000,0
1652227200000,0.26060000,0.27290000,0.25360000,0.25930000,1440529.00000000,1652241599999,379464.18770000,2278,727054.00000000,191831.57050000,0
1652241600000,0.25910000,0.26050000,0.22030000,0.22590000,4693018.00000000,1652255999999,1131800.40490000,4597,2102414.00000000,507288.68730000,0
1652256000000,0.22590000,0.24240000,0.21370000,0.21680000,3146914.00000000,1652270399999,721679.65130000,4498,1666798.00000000,383705.01590000,0
1652270400000,0.21670000,0.22230000,0.18000000,0.19490000,8824706.00000000,1652284799999,1761529.12750000,9441,4036219.00000000,807747.14950000,0
1652284800000,0.19410000,0.20000000,0.16590000,0.17130000,4581214.00000000,1652299199999,836320.54270000,5120,2138543.00000000,391943.18580000,0
1652299200000,0.17110000,0.18000000,0.16050000,0.17880000,2968478.00000000,1652313599999,507540.10300000,3918,1503168.00000000,256768.77020000,0
1652313600000,0.17880000,0.18650000,0.15390000,0.15430000,3102638.00000000,1652327999999,525631.96380000,3370,1401937.00000000,237514.85950000,0
