open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1767225600000000,0.01740000,0.01742000,0.01730000,0.01733000,1262672.00000000,1767239999999999,21931.47028000,543,497224.00000000,8641.80269000,0
1767240000000000,0.01734000,0.01736000,0.01714000,0.01732000,2496005.00000000,1767254399999999,43039.97823000,978,875128.00000000,15106.88697000,0
1767254400000000,0.01731000,0.01755000,0.01725000,0.01752000,1902315.00000000,1767268799999999,33114.47936000,917,1166147.00000000,20299.81366000,0
1767268800000000,0.01752000,0.01771000,0.01746000,0.01766000,1808775.00000000,1767283199999999,31795.91960000,1013,830057.00000000,14600.52412000,0
1767283200000000,0.01768000,0.01773000,0.01763000,0.01771000,1913031.00000000,1767297599999999,33833.49271000,862,830318.00000000,14693.33667000,0
1767297600000000,0.01771000,0.01810000,0.01769000,0.01788000,3662546.00000000,1767311999999999,65397.60387000,1022,1735547.00000000,31018.54046000,0
1767312000000000,0.01792000,0.01794000,0.01768000,0.01785000,1571505.00000000,1767326399999999,28010.00358000,785,822454.00000000,14657.90524000,0
1767326400000000,0.01785000,0.01789000,0.01769000,0.01775000,1282684.00000000,1767340799999999,22846.12174000,620,592628.00000000,10559.88365000,0
1767340800000000,0.01775000,0.01799000,0.01765000,0.01772000,3211170.00000000,1767355199999999,57182.35262000,976,1473761.00000000,26279.85465000,0
1767355200000000,0.01772000,0.01813000,0.01768000,0.01786000,5613272.00000000,1767369599999999,100531.97936000,1508,2881217.00000000,51708.48489000,0
1767369600000000,0.01786000,0.01812000,0.01776000,0.01800000,5321343.00000000,1767383999999999,95565.26584000,1134,2004887.00000000,36069.46576000,0
1767384000000000,0.01800000,0.01855000,0.01796000,0.01842000,7218990.00000000,1767398399999999,132021.99642000,1844,3251236.00000000,59412.09321000,0
1767398400000000,0.01842000,0.01896000,0.01837000,0.01856000,4396462.00000000,1767412799999999,81774.24199000,2259,2288756.00000000,42625.92040000,0
1767412800000000,0.01855000,0.01865000,0.01807000,0.01821000,2844218.00000000,1767427199999999,52207.51796000,1908,1308710.00000000,24047.51807000,0
1767427200000000,0.01821000,0.01821000,0.01803000,0.01817000,1760446.00000000,1767441599999999,31903.16444000,1385,1000889.00000000,18147.30874000,0
1767441600000000,0.01817000,0.01839000,0.01811000,0.01823000,1937593.00000000,1767455999999999,35375.55325000,1164,1031189.00000000,18834.50086000,0
1767456000000000,0.01824000,0.01836000,0.01814000,0.01823000,1692425.00000000,1767470399999999,30871.79605000,1103,569254.00000000,10403.05380000,0
1767470400000000,0.01823000,0.01848000,0.01813000,0.01841000,1877688.00000000,1767484799999999,34421.23560000,915,921202.00000000,16914.61471000,0
1767484800000000,0.01838000,0.01864000,0.01834000,0.01853000,1739519.00000000,1767499199999999,32218.84462000,1166,816030.00000000,15122.86671000,0
1767499200000000,0.01853000,0.01864000,0.01843000,0.01858000,1660733.00000000,1767513599999999,30774.53752000,858,715948.00000000,13269.80023000,0
1767513600000000,0.01858000,0.01885000,0.01840000,0.01865000,2632837.00000000,1767527999999999,48914.39363000,1229,1169921.00000000,21748.71466000,0
1767528000000000,0.01866000,0.01882000,0.01862000,0.01876000,1672438.00000000,1767542399999999,31320.44476000,1013,624553.00000000,11696.74416000,0
1767542400000000,0.01876000,0.01884000,0.01868000,0.01876000,1868439.00000000,1767556799999999,35085.29143000,977,1049213.00000000,19709.78142000,0
1767556800000000,0.01874000,0.01878000,0.01837000,0.01865000,4049618.00000000,1767571199999999,75315.81830000,976,1804593.00000000,33582.69283000,0
1767571200000000,0.01865000,0.01931000,0.01860000,0.01876000,5430448.00000000,1767585599999999,102519.88183000,1522,2773067.00000000,52327.15058000,0
1767585600000000,0.01875000,0.01876000,0.01844000,0.01865000,4832719.00000000,1767599999999999,89819.51278000,1173,2014231.00000000,37447.68747000,0
1767600000000000,0.01864000,0.01865000,0.01840000,0.01857000,3142238.00000000,1767614399999999,58236.28317000,872,888965.00000000,16484.77412000,0
1767614400000000,0.01857000,0.01896000,0.01850000,0.01891000,2445530.00000000,1767628799999999,45814.80529000,860,1324500.00000000,24785.39621000,0
1767628800000000,0.01890000,0.01913000,0.01876000,0.01907000,3600202.00000000,1767643199999999,68210.30613000,1160,1351595.00000000,25649.85577000,0
1767643200000000,0.01909000,0.01947000,0.01895000,0.01937000,3667979.00000000,1767657599999999,70358.11813000,1220,1542858.00000000,29621.20787000,0
1767657600000000,0.01938000,0.01939000,0.01894000,0.01917000,5404337.00000000,1767671999999999,103495.05343000,1472,2827596.00000000,54146.55356000,0
1767672000000000,0.01914000,0.01932000,0.01886000,0.01889000,2434653.00000000,1767686399999999,46512.93778000,944,1135964.00000000,21711.44156000,0
1767686400000000,0.01892000,0.01942000,0.01892000,0.01939000,3208796.00000000,1767700799999999,61419.27089000,2659,1855370.00000000,35532.91571000,0
1767700800000000,0.01940000,0.01949000,0.01926000,0.01932000,3284574.00000000,1767715199999999,63668.75710000,1816,1564484.00000000,30334.87600000,0
1767715200000000,0.01932000,0.01934000,0.01881000,0.01897000,2437631.00000000,1767729599999999,46455.45531000,1140,889158.00000000,16956.76618000,0
1767729600000000,0.01897000,0.01967000,0.01895000,0.01944000,2106181.00000000,1767743999999999,40714.21817000,951,1039696.00000000,20119.87913000,0
1767744000000000,0.01945000,0.02000000,0.01922000,0.01985000,7322611.00000000,1767758399999999,143846.02354000,2423,3448771.00000000,67711.39884000,0
1767758400000000,0.01985000,0.02007000,0.01972000,0.02002000,3816303.00000000,1767772799999999,75927.37159000,1517,1853631.00000000,36890.65423000,0
1767772800000000,0.01999000,0.02037000,0.01934000,0.01958000,8772628.00000000,1767787199999999,174435.88497000,3075,3508591.00000000,69893.66484000,0
1767787200000000,0.01958000,0.01972000,0.01919000,0.01959000,7564203.00000000,1767801599999999,147355.12873000,1881,3628314.00000000,70688.27667000,0
1767801600000000,0.01959000,0.01976000,0.01931000,0.01942000,4326628.00000000,1767815999999999,84401.59624000,1735,1550346.00000000,30278.72687000,0
1767816000000000,0.01943000,0.01974000,0.01928000,0.01963000,2532501.00000000,1767830399999999,49246.46605000,1084,1156477.00000000,22503.04721000,0
1767830400000000,0.01963000,0.02045000,0.01918000,0.01970000,8595454.00000000,1767844799999999,170020.29564000,3120,4158666.00000000,82356.91272000,0
1767844800000000,0.01966000,0.02091000,0.01963000,0.02009000,11738300.00000000,1767859199999999,238555.94701000,4440,5655791.00000000,114881.59742000,0
1767859200000000,0.02008000,0.02150000,0.01962000,0.01990000,20853237.00000000,1767873599999999,427495.32976000,5535,10167104.00000000,208045.67884000,0
1767873600000000,0.01987000,0.01992000,0.01951000,0.01982000,6524946.00000000,1767887999999999,128659.24301000,2484,2858250.00000000,56399.83776000,0
1767888000000000,0.01978000,0.02007000,0.01968000,0.01998000,3337631.00000000,1767902399999999,66245.79844000,1102,1557839.00000000,30952.42657000,0
1767902400000000,0.01998000,0.02039000,0.01993000,0.02014000,2255648.00000000,1767916799999999,45406.35588000,904,1132530.00000000,22829.39387000,0
1767916800000000,0.02014000,0.02141000,0.01985000,0.02027000,14328004.00000000,1767931199999999,293910.76586000,4414,6538281.00000000,134220.27544000,0
1767931200000000,0.02029000,0.02036000,0.02003000,0.02028000,4363053.00000000,1767945599999999,88151.01891000,1620,2192182.00000000,44270.97980000,0
1767945600000000,0.02029000,0.02051000,0.02003000,0.02016000,2717904.00000000,1767959999999999,54970.39108000,978,1243683.00000000,25140.27404000,0
1767960000000000,0.02019000,0.02031000,0.01994000,0.02012000,1609348.00000000,1767974399999999,32386.70015000,721,728326.00000000,14645.10270000,0
1767974400000000,0.02016000,0.02026000,0.01995000,0.02005000,1846429.00000000,1767988799999999,37089.42282000,905,909636.00000000,18274.15087000,0
1767988800000000,0.02005000,0.02027000,0.02000000,0.02027000,1634550.00000000,1768003199999999,32907.35575000,737,778893.00000000,15699.49132000,0
1768003200000000,0.02025000,0.02121000,0.01987000,0.01995000,11382821.00000000,1768017599999999,232905.61627000,3333,5125223.00000000,104741.78593000,0
1768017600000000,0.01995000,0.02035000,0.01969000,0.02011000,4013962.00000000,1768031999999999,80081.00635000,1246,2100232.00000000,41961.44906000,0
1768032000000000,0.02011000,0.02026000,0.01994000,0.02013000,2162407.00000000,1768046399999999,43401.24715000,888,1140677.00000000,22897.41613000,0
1768046400000000,0.02016000,0.02018000,0.01992000,0.02009000,2296359.00000000,1768060799999999,46027.17940000,809,1195559.00000000,23990.22946000,0
1768060800000000,0.02009000,0.02035000,0.01996000,0.02019000,2915065.00000000,1768075199999999,58732.92732000,868,1402986.00000000,28283.52633000,0
1768075200000000,0.02019000,0.02021000,0.02002000,0.02015000,909355.00000000,1768089599999999,18303.27324000,648,385930.00000000,7775.07430000,0
1768089600000000,0.02015000,0.02016000,0.01975000,0.01987000,3467204.00000000,1768103999999999,69026.86527000,1892,1513113.00000000,30123.35729000,0
