open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1722470400000,5.26900000,5.46300000,5.26200000,5.39400000,542109.00000000,1722484799999,2916270.75496000,21509,275045.39000000,1480062.80586000,0
1722484800000,5.39000000,5.45500000,5.24600000,5.40000000,575413.17000000,1722499199999,3090312.62165000,22606,294799.42000000,1585523.21136000,0
1722499200000,5.39900000,5.40500000,5.29500000,5.36300000,368062.33000000,1722513599999,1964732.91819000,18901,162212.67000000,866137.86618000,0
1722513600000,5.36300000,5.42200000,5.15400000,5.25000000,696994.32000000,1722527999999,3680990.76126000,37366,291004.85000000,1536690.09330000,0
1722528000000,5.25000000,5.33600000,5.03300000,5.32600000,1117907.42000000,1722542399999,5804226.67853000,48712,557678.02000000,2897550.14467000,0
1722542400000,5.32500000,5.67500000,5.29900000,5.58500000,1312642.84000000,1722556799999,7261671.84826000,38790,739841.19000000,4092330.26618000,0
1722556800000,5.58500000,5.63900000,5.34500000,5.45200000,700737.73000000,1722571199999,3840938.59722000,25003,263808.76000000,1445461.50879000,0
1722571200000,5.45300000,5.48400000,5.22500000,5.32600000,574760.84000000,1722585599999,3075613.81065000,22554,257602.61000000,1379697.60149000,0
1722585600000,5.32500000,5.37300000,5.23800000,5.30900000,502717.73000000,1722599999999,2660870.21521000,16438,275936.86000000,1461595.66337000,0
1722600000000,5.30900000,5.49600000,5.04700000,5.12500000,1337757.99000000,1722614399999,7002618.57715000,43038,613723.12000000,3212640.86306000,0
1722614400000,5.12400000,5.44100000,5.02000000,5.41600000,1894737.92000000,1722628799999,9817080.26869000,79998,1116420.71000000,5778894.07656000,0
1722628800000,5.41600000,5.60500000,5.28900000,5.32600000,1558494.35000000,1722643199999,8454820.55438000,77139,806791.06000000,4381036.94067000,0
1722643200000,5.32700000,5.36100000,5.05100000,5.32700000,833441.39000000,1722657599999,4352601.97943000,36056,372789.22000000,1949377.86269000,0
1722657600000,5.32600000,5.42500000,5.28500000,5.28600000,355654.66000000,1722671999999,1907012.11675000,16477,154084.26000000,826627.68436000,0
1722672000000,5.28600000,5.41100000,5.25700000,5.34900000,503594.24000000,1722686399999,2690183.02140000,20664,261656.81000000,1397583.33949000,0
1722686400000,5.35100000,5.55200000,5.33000000,5.39700000,931091.55000000,1722700799999,5089995.95200000,33787,473992.28000000,2591008.39563000,0
1722700800000,5.39700000,5.43700000,4.95000000,4.95900000,1786578.56000000,1722715199999,9282744.72853000,55908,781769.27000000,4065508.13797000,0
1722715200000,4.95800000,5.05700000,4.89900000,4.96500000,724208.15000000,1722729599999,3605808.13095000,27017,336190.99000000,1674635.73748000,0
1722729600000,4.96600000,5.04300000,4.92500000,5.01100000,336639.59000000,1722743999999,1680485.58302000,15834,179304.55000000,895436.94321000,0
1722744000000,5.01200000,5.29800000,5.01200000,5.19700000,629640.12000000,1722758399999,3268423.69835000,24368,310404.06000000,1610709.75971000,0
1722758400000,5.19700000,5.21100000,5.07700000,5.13900000,451590.79000000,1722772799999,2325413.01705000,20699,208505.69000000,1073467.89103000,0
1722772800000,5.14000000,5.16700000,4.79700000,4.80900000,1044448.75000000,1722787199999,5178059.38073000,38376,434685.46000000,2155219.10552000,0
1722787200000,4.81100000,4.92800000,4.57700000,4.86700000,1634430.23000000,1722801599999,7732577.20938000,64113,761175.11000000,3602854.14174000,0
1722801600000,4.86500000,4.93700000,4.70500000,4.72000000,582440.43000000,1722815999999,2811092.12713000,17857,297231.88000000,1435295.09106000,0
