open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,0.00403000,0.00406000,0.00398000,0.00398000,18543150.00000000,1759291199999999,74414.15986000,842,8729277.00000000,35070.24232000,0
1759291200000000,0.00399000,0.00407000,0.00398000,0.00404000,29830590.00000000,1759305599999999,120206.80501000,1318,15575729.00000000,62783.64158000,0
1759305600000000,0.00404000,0.00426000,0.00404000,0.00420000,69990612.00000000,1759319999999999,294481.49998000,3060,35623368.00000000,149938.42287000,0
1759320000000000,0.00420000,0.00424000,0.00418000,0.00421000,38488154.00000000,1759334399999999,161827.76054000,1715,19599048.00000000,82460.30926000,0
1759334400000000,0.00422000,0.00431000,0.00419000,0.00428000,30983308.00000000,1759348799999999,131576.48395000,996,17117991.00000000,72716.50667000,0
1759348800000000,0.00429000,0.00430000,0.00426000,0.00428000,17229011.00000000,1759363199999999,73678.28648000,661,7246801.00000000,30990.19106000,0
1759363200000000,0.00429000,0.00438000,0.00429000,0.00436000,11944467.00000000,1759377599999999,51750.76417000,557,6707975.00000000,29085.78178000,0
1759377600000000,0.00436000,0.00444000,0.00435000,0.00440000,36764898.00000000,1759391999999999,162308.96649000,1263,18630381.00000000,82353.38639000,0
1759392000000000,0.00440000,0.00454000,0.00440000,0.00448000,31642763.00000000,1759406399999999,141439.87223000,1389,15907570.00000000,71157.82154000,0
1759406400000000,0.00450000,0.00453000,0.00437000,0.00444000,51114505.00000000,1759420799999999,227883.52239000,2751,23854794.00000000,106276.28078000,0
1759420800000000,0.00445000,0.00458000,0.00443000,0.00456000,23259817.00000000,1759435199999999,104939.53491000,1420,12005574.00000000,54231.08296000,0
1759435200000000,0.00456000,0.00457000,0.00448000,0.00451000,21455527.00000000,1759449599999999,96834.55611000,1186,8886505.00000000,40104.40275000,0
1759449600000000,0.00451000,0.00451000,0.00441000,0.00447000,17455081.00000000,1759463999999999,77828.58738000,888,7754283.00000000,34555.07064000,0
1759464000000000,0.00447000,0.00452000,0.00443000,0.00445000,17932413.00000000,1759478399999999,80258.06415000,1094,7898755.00000000,35369.45988000,0
1759478400000000,0.00445000,0.00448000,0.00442000,0.00445000,14074185.00000000,1759492799999999,62693.68440000,700,7157825.00000000,31897.03652000,0
