open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1680307200000,0.61500000,0.63000000,0.61170000,0.62220000,574791.00000000,1680321599999,357367.40989000,2764,315776.60000000,196106.36827000,0
1680321600000,0.62190000,0.62410000,0.60370000,0.60940000,391602.40000000,1680335999999,239263.84178000,2006,135735.00000000,82837.11602000,0
1680336000000,0.60900000,0.62010000,0.60850000,0.61220000,299000.40000000,1680350399999,183484.82671000,1649,134306.60000000,82456.51217000,0
1680350400000,0.61210000,0.61250000,0.60060000,0.60500000,283032.80000000,1680364799999,171541.87002000,1607,145015.60000000,87947.62252000,0
1680364800000,0.60610000,0.60640000,0.59700000,0.60540000,179581.80000000,1680379199999,108149.38656000,894,71865.10000000,43309.48343000,0
1680379200000,0.60500000,0.60870000,0.59880000,0.60200000,199100.50000000,1680393599999,120071.64403000,799,101791.40000000,61383.66327000,0
1680393600000,0.60200000,0.60950000,0.59740000,0.60920000,197565.50000000,1680407999999,119205.40994000,896,114634.30000000,69163.72418000,0
1680408000000,0.60930000,0.61200000,0.60380000,0.60630000,197609.70000000,1680422399999,120161.23003000,863,72271.70000000,43931.75223000,0
1680422400000,0.60630000,0.60810000,0.60030000,0.60320000,200718.90000000,1680436799999,121499.90139000,726,81964.20000000,49606.71215000,0
1680436800000,0.60340000,0.61710000,0.59730000,0.60870000,795215.40000000,1680451199999,484298.59125000,3233,362020.20000000,220570.74397000,0
1680451200000,0.60870000,0.62320000,0.60000000,0.60000000,777481.20000000,1680465599999,474229.25845000,2685,331189.30000000,202263.21041000,0
1680465600000,0.60010000,0.61260000,0.58760000,0.60650000,936620.00000000,1680479999999,563392.74058000,3558,458021.80000000,275919.18733000,0
1680480000000,0.60680000,0.61500000,0.58380000,0.59280000,934146.60000000,1680494399999,560631.89141000,3319,398815.00000000,239784.28305000,0
1680494400000,0.59370000,0.60640000,0.59350000,0.60240000,283861.40000000,1680508799999,170203.14187000,975,136014.40000000,81659.61504000,0
1680508800000,0.60190000,0.62500000,0.59970000,0.61160000,888400.90000000,1680523199999,542949.34177000,3980,521712.50000000,318990.81145000,0
