open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1769904000000000,0.00700000,0.00720000,0.00700000,0.00700000,5632542.00000000,1769918399999999,39716.92220000,522,2535357.00000000,17905.19780000,0
1769918400000000,0.00700000,0.00720000,0.00700000,0.00710000,5812811.00000000,1769932799999999,41237.94190000,434,3768399.00000000,26773.65150000,0
1769932800000000,0.00710000,0.00730000,0.00700000,0.00710000,5632566.00000000,1769947199999999,40006.16440000,452,1862066.00000000,13249.70850000,0
1769947200000000,0.00710000,0.00720000,0.00690000,0.00700000,8639453.00000000,1769961599999999,61059.52620000,528,4266584.00000000,30122.18650000,0
1769961600000000,0.00700000,0.00700000,0.00680000,0.00680000,8524523.00000000,1769975999999999,59254.98670000,472,3568025.00000000,24814.12990000,0
1769976000000000,0.00680000,0.00700000,0.00660000,0.00670000,17807622.00000000,1769990399999999,121654.92900000,938,9108309.00000000,62143.86310000,0
1769990400000000,0.00680000,0.00710000,0.00670000,0.00690000,20805026.00000000,1770004799999999,144129.84810000,950,10590828.00000000,73310.95660000,0
1770004800000000,0.00690000,0.00710000,0.00670000,0.00700000,22631403.00000000,1770019199999999,155474.96540000,956,11330863.00000000,77831.59700000,0
1770019200000000,0.00700000,0.00710000,0.00690000,0.00710000,5589393.00000000,1770033599999999,39149.32380000,384,3400591.00000000,23846.05820000,0
1770033600000000,0.00710000,0.00730000,0.00700000,0.00730000,9210501.00000000,1770047999999999,65399.33410000,562,4177384.00000000,29805.13620000,0
1770048000000000,0.00720000,0.00730000,0.00710000,0.00710000,5975953.00000000,1770062399999999,43068.69290000,316,2069063.00000000,14951.77870000,0
1770062400000000,0.00710000,0.00730000,0.00710000,0.00720000,5068536.00000000,1770076799999999,36446.41770000,371,3451347.00000000,24855.46350000,0
1770076800000000,0.00720000,0.00720000,0.00700000,0.00710000,4471474.00000000,1770091199999999,31747.50310000,268,440866.00000000,3143.44960000,0
1770091200000000,0.00720000,0.00730000,0.00700000,0.00710000,4765788.00000000,1770105599999999,33933.74750000,287,2774909.00000000,19764.22300000,0
1770105600000000,0.00720000,0.00720000,0.00700000,0.00720000,4979247.00000000,1770119999999999,35514.65360000,383,3706061.00000000,26490.83310000,0
1770120000000000,0.00720000,0.00730000,0.00710000,0.00730000,12172756.00000000,1770134399999999,87793.99010000,1018,5901079.00000000,42599.23630000,0
1770134400000000,0.00730000,0.00730000,0.00670000,0.00710000,20690855.00000000,1770148799999999,143251.49580000,1261,9373261.00000000,64882.95100000,0
1770148800000000,0.00710000,0.00740000,0.00700000,0.00710000,9138257.00000000,1770163199999999,65542.49500000,716,3802029.00000000,27350.40190000,0
1770163200000000,0.00700000,0.00730000,0.00700000,0.00730000,6662133.00000000,1770177599999999,47946.36270000,411,4093492.00000000,29465.07160000,0
1770177600000000,0.00730000,0.00740000,0.00720000,0.00720000,3785755.00000000,1770191999999999,27634.07510000,271,1705797.00000000,12458.71290000,0
1770192000000000,0.00720000,0.00730000,0.00700000,0.00720000,8379213.00000000,1770206399999999,59792.84590000,482,3163336.00000000,22492.10230000,0
1770206400000000,0.00710000,0.00720000,0.00690000,0.00700000,18445866.00000000,1770220799999999,130160.54510000,885,8958876.00000000,63186.64630000,0
1770220800000000,0.00700000,0.00710000,0.00670000,0.00710000,13578434.00000000,1770235199999999,93814.06780000,853,7124159.00000000,49536.51870000,0
1770235200000000,0.00710000,0.00710000,0.00680000,0.00710000,6537843.00000000,1770249599999999,45488.65940000,446,2850785.00000000,19886.28220000,0
1770249600000000,0.00710000,0.00710000,0.00690000,0.00700000,6454651.00000000,1770263999999999,45202.27850000,491,3415502.00000000,23932.52820000,0
1770264000000000,0.00690000,0.00700000,0.00680000,0.00680000,6263900.00000000,1770278399999999,43224.66140000,367,2828375.00000000,19536.01450000,0
1770278400000000,0.00680000,0.00710000,0.00660000,0.00670000,14319582.00000000,1770292799999999,97885.14320000,933,7891021.00000000,53875.28990000,0
1770292800000000,0.00670000,0.00680000,0.00630000,0.00640000,27951845.00000000,1770307199999999,182282.52550000,1437,13449021.00000000,87812.51980000,0
1770307200000000,0.00640000,0.00660000,0.00620000,0.00620000,29106613.00000000,1770321599999999,185963.02920000,1453,16356781.00000000,104759.30280000,0
1770321600000000,0.00620000,0.00630000,0.00590000,0.00600000,26887503.00000000,1770335999999999,163641.06720000,1416,14065190.00000000,85815.33100000,0
1770336000000000,0.00600000,0.00620000,0.00540000,0.00610000,59251762.00000000,1770350399999999,345876.84880000,1586,27789089.00000000,162881.96660000,0
1770350400000000,0.00610000,0.00640000,0.00600000,0.00620000,5979406.00000000,1770364799999999,36974.40240000,413,3024180.00000000,18734.21970000,0
1770364800000000,0.00620000,0.00640000,0.00600000,0.00640000,19365310.00000000,1770379199999999,120328.28300000,1106,10933717.00000000,67662.48440000,0
1770379200000000,0.00640000,0.00670000,0.00630000,0.00660000,9695343.00000000,1770393599999999,63284.65050000,467,6006812.00000000,39118.31790000,0
1770393600000000,0.00660000,0.00690000,0.00660000,0.00680000,7584424.00000000,1770407999999999,50951.43300000,440,1592946.00000000,10660.72690000,0
1770408000000000,0.00670000,0.00690000,0.00670000,0.00680000,4943906.00000000,1770422399999999,33520.80950000,213,1403676.00000000,9549.99030000,0
1770422400000000,0.00670000,0.00680000,0.00670000,0.00670000,973569.00000000,1770436799999999,6538.28830000,212,178975.00000000,1214.50850000,0
1770436800000000,0.00680000,0.00680000,0.00640000,0.00660000,3416094.00000000,1770451199999999,22409.83610000,346,1910113.00000000,12523.20820000,0
1770451200000000,0.00650000,0.00660000,0.00650000,0.00650000,933000.00000000,1770465599999999,6093.69320000,120,425329.00000000,2793.83170000,0
1770465600000000,0.00660000,0.00680000,0.00650000,0.00660000,7467232.00000000,1770479999999999,49698.92340000,496,4304486.00000000,28736.03280000,0
1770480000000000,0.00670000,0.00680000,0.00660000,0.00670000,10597653.00000000,1770494399999999,71178.50780000,568,5253264.00000000,35379.64680000,0
1770494400000000,0.00670000,0.00680000,0.00670000,0.00680000,1351804.00000000,1770508799999999,9077.31800000,240,202312.00000000,1375.72160000,0
1770508800000000,0.00670000,0.00680000,0.00670000,0.00670000,617273.00000000,1770523199999999,4158.40190000,133,226728.00000000,1541.75040000,0
1770523200000000,0.00670000,0.00680000,0.00660000,0.00670000,1785707.00000000,1770537599999999,11972.54610000,122,407739.00000000,2743.24110000,0
1770537600000000,0.00660000,0.00680000,0.00650000,0.00660000,5094113.00000000,1770551999999999,33799.06450000,273,1732717.00000000,11570.44330000,0
1770552000000000,0.00670000,0.00670000,0.00660000,0.00660000,1785907.00000000,1770566399999999,11820.41440000,180,918022.00000000,6092.37340000,0
1770566400000000,0.00650000,0.00660000,0.00640000,0.00660000,2732794.00000000,1770580799999999,17759.72560000,301,1871758.00000000,12173.98420000,0
1770580800000000,0.00650000,0.00660000,0.00640000,0.00650000,3580430.00000000,1770595199999999,23252.31700000,425,1333071.00000000,8687.94520000,0
1770595200000000,0.00650000,0.00660000,0.00640000,0.00660000,15804916.00000000,1770609599999999,102493.08880000,656,6840357.00000000,44429.78770000,0
1770609600000000,0.00650000,0.00660000,0.00650000,0.00660000,1712975.00000000,1770623999999999,11151.65660000,351,289834.00000000,1901.24010000,0
1770624000000000,0.00650000,0.00650000,0.00630000,0.00630000,3728148.00000000,1770638399999999,24003.49740000,337,1988865.00000000,12807.57620000,0
