open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1696118400000,1.57000000,1.58600000,1.56500000,1.58300000,270998.98000000,1696132799999,427829.47573000,2148,132399.97000000,209015.32673000,0
1696132800000,1.58300000,1.58800000,1.57400000,1.58000000,254219.79000000,1696147199999,401952.54721000,1691,109920.66000000,173860.69710000,0
1696147200000,1.57900000,1.60000000,1.57600000,1.58300000,345227.60000000,1696161599999,547990.48365000,2604,165070.84000000,262038.94009000,0
1696161600000,1.58400000,1.60900000,1.57900000,1.59400000,622579.25000000,1696175999999,993244.84568000,4173,301114.78000000,480566.84432000,0
1696176000000,1.59400000,1.60000000,1.57900000,1.58900000,205371.83000000,1696190399999,326584.71645000,1882,91381.07000000,145437.04915000,0
1696190400000,1.58900000,1.65000000,1.58300000,1.62100000,601155.40000000,1696204799999,972842.01186000,6217,309650.59000000,501145.74671000,0
1696204800000,1.62100000,1.62800000,1.60900000,1.62100000,306721.83000000,1696219199999,496301.42572000,2593,148284.92000000,239964.96556000,0
1696219200000,1.62200000,1.62200000,1.59600000,1.61300000,303604.52000000,1696233599999,487863.94965000,2450,131184.11000000,210837.12891000,0
1696233600000,1.61200000,1.61700000,1.60000000,1.60100000,382254.25000000,1696247999999,614599.34810000,2601,187118.96000000,301110.80072000,0
1696248000000,1.60200000,1.60500000,1.56800000,1.57700000,371966.37000000,1696262399999,590475.48908000,3140,160843.21000000,255337.10463000,0
1696262400000,1.57600000,1.58800000,1.53300000,1.56700000,617996.70000000,1696276799999,963427.89866000,5654,269209.53000000,419814.05885000,0
1696276800000,1.56700000,1.56800000,1.53400000,1.55400000,259966.54000000,1696291199999,403384.42173000,1973,119353.56000000,185337.73386000,0
1696291200000,1.55500000,1.57100000,1.55000000,1.56500000,220900.03000000,1696305599999,345094.07488000,1445,103041.39000000,160972.88600000,0
1696305600000,1.56400000,1.56900000,1.55600000,1.56100000,109248.38000000,1696319999999,170833.77503000,1141,47512.79000000,74329.95815000,0
1696320000000,1.56100000,1.57400000,1.55400000,1.55600000,303923.31000000,1696334399999,475180.41343000,2497,174089.04000000,272226.93242000,0
1696334400000,1.55500000,1.56000000,1.53600000,1.54000000,317517.88000000,1696348799999,491371.42368000,2465,113302.94000000,175412.81571000,0
1696348800000,1.54000000,1.54900000,1.52900000,1.53400000,185052.63000000,1696363199999,284772.85986000,1577,89835.60000000,138290.83031000,0
1696363200000,1.53400000,1.54200000,1.52600000,1.53200000,223840.97000000,1696377599999,343639.79975000,1955,106118.68000000,162876.78219000,0
1696377600000,1.53300000,1.53300000,1.46700000,1.50300000,1013205.28000000,1696391999999,1513883.98665000,9497,502074.65000000,749901.73315000,0
1696392000000,1.50300000,1.51800000,1.50000000,1.51500000,169993.70000000,1696406399999,256425.60728000,1663,83850.11000000,126421.15968000,0
1696406400000,1.51300000,1.52400000,1.50800000,1.51200000,202735.58000000,1696420799999,307590.29054000,1613,92076.27000000,139691.81464000,0
1696420800000,1.51300000,1.51800000,1.49600000,1.50300000,251425.58000000,1696435199999,378132.70579000,2403,118343.61000000,178026.50940000,0
1696435200000,1.50200000,1.51900000,1.49900000,1.50800000,173027.96000000,1696449599999,260992.13793000,1498,93554.64000000,141216.78232000,0
1696449600000,1.50900000,1.53000000,1.50600000,1.52300000,96297.78000000,1696463999999,146244.24139000,805,55352.79000000,84035.57066000,0
1696464000000,1.52200000,1.53300000,1.51800000,1.52400000,73577.91000000,1696478399999,112210.43788000,798,42738.55000000,65167.53433000,0
1696478400000,1.52400000,1.53300000,1.51700000,1.52100000,97612.22000000,1696492799999,148727.63726000,965,50827.78000000,77477.51948000,0
