open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1685577600000,0.22210000,0.22280000,0.21570000,0.21880000,1800455.80000000,1685591999999,394784.16715000,3756,838419.00000000,183580.29459000,0
1685592000000,0.21880000,0.21980000,0.21800000,0.21910000,878847.80000000,1685606399999,192303.09277000,1368,440365.90000000,96370.21296000,0
1685606400000,0.21910000,0.22160000,0.21830000,0.22060000,1067454.70000000,1685620799999,235426.44627000,1740,510653.50000000,112666.74003000,0
1685620800000,0.22070000,0.22250000,0.21990000,0.22210000,1387949.90000000,1685635199999,306928.96728000,2124,670521.40000000,148346.89119000,0
1685635200000,0.22210000,0.22540000,0.22120000,0.22340000,1562373.50000000,1685649599999,348995.72559000,2940,716845.40000000,160219.25154000,0
1685649600000,0.22320000,0.22490000,0.22270000,0.22450000,948951.00000000,1685663999999,212605.30595000,1283,402682.40000000,90236.39488000,0
1685664000000,0.22440000,0.22900000,0.22240000,0.22780000,4322801.20000000,1685678399999,979878.08745000,5440,2159412.40000000,489609.23778000,0
1685678400000,0.22780000,0.23270000,0.22740000,0.23220000,2620453.40000000,1685692799999,604494.39473000,3550,1326808.50000000,306006.05133000,0
1685692800000,0.23230000,0.23590000,0.23200000,0.23480000,3547327.00000000,1685707199999,832540.15784000,4695,1849992.60000000,434306.55668000,0
1685707200000,0.23500000,0.23560000,0.22860000,0.23200000,4305596.20000000,1685721599999,999952.05434000,5442,1735227.80000000,403512.38095000,0
1685721600000,0.23210000,0.23450000,0.23010000,0.23320000,1669827.50000000,1685735999999,387068.65378000,2512,753864.10000000,174841.35165000,0
1685736000000,0.23330000,0.23560000,0.23180000,0.23510000,2333892.60000000,1685750399999,546763.84029000,3061,1318508.50000000,308909.39477000,0
1685750400000,0.23510000,0.24170000,0.23300000,0.24000000,5219434.20000000,1685764799999,1237051.87630000,6113,2632715.20000000,624234.07577000,0
1685764800000,0.24000000,0.24160000,0.23820000,0.24010000,2078693.30000000,1685779199999,498335.10554000,3403,1036891.90000000,248697.43700000,0
1685779200000,0.24020000,0.24250000,0.23860000,0.23920000,2285706.60000000,1685793599999,549884.34187000,2757,1088232.20000000,261840.21792000,0
1685793600000,0.23930000,0.24380000,0.23910000,0.24380000,2619260.10000000,1685807999999,630874.25044000,3586,1396424.50000000,336275.37323000,0
1685808000000,0.24380000,0.24440000,0.23650000,0.23710000,11982782.50000000,1685822399999,2880007.11979000,9203,6540885.80000000,1573064.71793000,0
1685822400000,0.23710000,0.24110000,0.23690000,0.24020000,1271821.90000000,1685836799999,304278.65462000,2257,640193.90000000,153132.79995000,0
1685836800000,0.24020000,0.24270000,0.23880000,0.24070000,1877453.10000000,1685851199999,452021.90761000,2783,855638.10000000,206120.73155000,0
1685851200000,0.24080000,0.24490000,0.24000000,0.24450000,2562123.30000000,1685865599999,623443.68822000,3650,1453851.50000000,353866.30132000,0
1685865600000,0.24470000,0.24800000,0.24470000,0.24620000,2489745.40000000,1685879999999,612450.99909000,3392,1128043.80000000,277511.91977000,0
1685880000000,0.24630000,0.24900000,0.24290000,0.24300000,2286888.80000000,1685894399999,563162.91602000,3381,929478.50000000,229343.66552000,0
1685894400000,0.24310000,0.24790000,0.24190000,0.24760000,1249968.50000000,1685908799999,306519.65074000,2051,652143.40000000,160025.46103000,0
1685908800000,0.24760000,0.24860000,0.24170000,0.24210000,2175048.90000000,1685923199999,534662.83660000,3323,790690.80000000,194543.45797000,0
1685923200000,0.24220000,0.24240000,0.22710000,0.22830000,5397728.80000000,1685937599999,1258903.80294000,9346,2591550.80000000,602402.72068000,0
1685937600000,0.22830000,0.23290000,0.22820000,0.23130000,2629800.30000000,1685951999999,607985.45027000,3594,1320674.70000000,305128.87741000,0
1685952000000,0.23130000,0.23140000,0.22830000,0.23030000,2242208.10000000,1685966399999,514866.02025000,3672,1112909.10000000,255515.13832000,0
1685966400000,0.23020000,0.23030000,0.21090000,0.21130000,5744797.40000000,1685980799999,1287765.21155000,10304,2310898.30000000,519849.75200000,0
1685980800000,0.21250000,0.21830000,0.20580000,0.21130000,10292573.40000000,1685995199999,2179650.77178000,16784,5420270.60000000,1148254.55412000,0
1685995200000,0.21130000,0.21610000,0.20990000,0.21460000,2782288.60000000,1686009599999,591717.35240000,3922,1507316.60000000,320551.01373000,0
1686009600000,0.21460000,0.21580000,0.21250000,0.21560000,2225538.70000000,1686023999999,476725.49745000,3501,1117039.30000000,239310.51884000,0
