open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1738368000000000,0.25100000,0.25120000,0.24580000,0.24760000,4658131.20000000,1738382399999999,1156581.26058000,4051,1947701.30000000,483884.91207000,0
1738382400000000,0.24790000,0.25630000,0.24730000,0.25420000,6841146.50000000,1738396799999999,1725178.79631000,4388,3769807.20000000,949787.89228000,0
1738396800000000,0.25420000,0.25840000,0.24510000,0.24910000,9608898.40000000,1738411199999999,2411287.75334000,7061,4375691.80000000,1100997.48044000,0
1738411200000000,0.24910000,0.25250000,0.23990000,0.24310000,6848236.50000000,1738425599999999,1683704.09602000,5444,3300550.70000000,811644.12846000,0
1738425600000000,0.24310000,0.24580000,0.23120000,0.23190000,12120101.50000000,1738439999999999,2892920.21801000,9797,5827698.20000000,1391138.79460000,0
1738440000000000,0.23190000,0.23860000,0.23050000,0.23290000,9204940.50000000,1738454399999999,2153468.29920000,7532,4620542.00000000,1081350.10067000,0
1738454400000000,0.23290000,0.24630000,0.23250000,0.23690000,12007224.60000000,1738468799999999,2871862.76951000,10297,6041334.20000000,1446086.20234000,0
1738468800000000,0.23670000,0.25590000,0.23630000,0.24700000,23781686.50000000,1738483199999999,5899866.63187000,21403,12853274.50000000,3191826.25441000,0
1738483200000000,0.24700000,0.24960000,0.23710000,0.23820000,13432810.00000000,1738497599999999,3264520.66905000,9648,6119406.80000000,1486971.91647000,0
1738497600000000,0.23830000,0.24210000,0.23110000,0.23800000,12412913.40000000,1738511999999999,2932886.57346000,10860,5682772.10000000,1343842.70082000,0
1738512000000000,0.23800000,0.23800000,0.20370000,0.21520000,27660111.80000000,1738526399999999,6027595.94102000,24449,12030350.10000000,2614781.37464000,0
1738526400000000,0.21530000,0.22280000,0.19770000,0.20830000,15829025.30000000,1738540799999999,3320477.39544000,12458,7368908.30000000,1549012.92132000,0
1738540800000000,0.20820000,0.20820000,0.14290000,0.16730000,93146996.60000000,1738555199999999,16146492.66444000,97414,47060254.90000000,8090042.48257000,0
1738555200000000,0.16760000,0.18250000,0.16060000,0.18160000,27277303.40000000,1738569599999999,4622049.07242000,19239,13795735.10000000,2344129.04452000,0
1738569600000000,0.18150000,0.18150000,0.17270000,0.17520000,15496614.50000000,1738583999999999,2731285.00174000,11306,7929289.90000000,1396738.17025000,0
1738584000000000,0.17520000,0.18980000,0.16510000,0.18710000,33533730.40000000,1738598399999999,5906720.98389000,20816,15921661.60000000,2811985.97729000,0
1738598400000000,0.18710000,0.19760000,0.18330000,0.19720000,13247852.90000000,1738612799999999,2499476.21181000,10628,6317544.60000000,1192930.83328000,0
1738612800000000,0.19690000,0.20670000,0.19220000,0.20160000,8773461.10000000,1738627199999999,1758362.03431000,6903,3851637.70000000,771574.97821000,0
1738627200000000,0.20160000,0.20440000,0.18640000,0.18980000,10963715.40000000,1738641599999999,2132286.33219000,7571,5061532.00000000,984464.51297000,0
1738641600000000,0.18990000,0.19190000,0.17360000,0.17450000,15353596.10000000,1738655999999999,2776658.34560000,12943,7325492.20000000,1324686.53617000,0
1738656000000000,0.17440000,0.18500000,0.17330000,0.18140000,9721101.00000000,1738670399999999,1734826.26930000,7083,4640424.40000000,828582.28525000,0
1738670400000000,0.18140000,0.18950000,0.18140000,0.18470000,10531418.90000000,1738684799999999,1953731.71533000,7087,5009772.20000000,929665.73868000,0
1738684800000000,0.18480000,0.18910000,0.18080000,0.18080000,7615413.00000000,1738699199999999,1410072.26364000,5089,3522620.90000000,653306.72921000,0
1738699200000000,0.18080000,0.18340000,0.17500000,0.18080000,10261240.30000000,1738713599999999,1835605.40107000,6100,4879611.40000000,873177.56206000,0
1738713600000000,0.18080000,0.18150000,0.17650000,0.17830000,7326775.00000000,1738727999999999,1310416.72903000,4517,3071521.20000000,550341.40443000,0
1738728000000000,0.17830000,0.18100000,0.17580000,0.17860000,3669674.50000000,1738742399999999,652598.56771000,2847,1847727.10000000,328625.73481000,0
1738742400000000,0.17860000,0.18180000,0.17580000,0.18020000,4780717.30000000,1738756799999999,854323.34477000,3913,2042763.10000000,365350.87519000,0
1738756800000000,0.18010000,0.18300000,0.17670000,0.17900000,8482196.80000000,1738771199999999,1528916.75302000,5981,4515955.30000000,815525.08357000,0
1738771200000000,0.17900000,0.17980000,0.16960000,0.17210000,11327790.70000000,1738785599999999,1962449.50164000,8038,5895436.10000000,1021291.48454000,0
