open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1735689600000000,1.28600000,1.29500000,1.28200000,1.29200000,615446.20000000,1735703999999999,792918.13620000,3388,311460.10000000,401454.12130000,0
1735704000000000,1.29200000,1.30000000,1.27900000,1.28800000,626098.00000000,1735718399999999,808124.81280000,2752,298877.80000000,385979.94130000,0
1735718400000000,1.28900000,1.29300000,1.26300000,1.28700000,762251.90000000,1735732799999999,974018.86840000,3726,372446.80000000,476015.12720000,0
1735732800000000,1.28800000,1.33300000,1.28500000,1.33300000,934798.30000000,1735747199999999,1221832.90930000,4691,488389.60000000,638326.35770000,0
1735747200000000,1.33300000,1.36800000,1.31600000,1.36200000,1208092.40000000,1735761599999999,1621725.58080000,6453,606370.20000000,813838.45880000,0
1735761600000000,1.36200000,1.38700000,1.35300000,1.36700000,1728243.80000000,1735775999999999,2364433.26440000,8337,817703.60000000,1119032.42530000,0
1735776000000000,1.36600000,1.46500000,1.36200000,1.37100000,5471245.00000000,1735790399999999,7608595.06530000,22371,2716941.60000000,3775729.18940000,0
1735790400000000,1.37200000,1.38300000,1.35900000,1.37300000,732437.20000000,1735804799999999,1002924.10290000,4048,390244.70000000,534471.05940000,0
1735804800000000,1.37200000,1.38800000,1.36800000,1.38700000,828919.10000000,1735819199999999,1143611.42350000,4296,461346.20000000,636559.03570000,0
1735819200000000,1.38700000,1.40400000,1.37100000,1.38000000,1162410.80000000,1735833599999999,1610704.38240000,5748,551793.50000000,764813.33210000,0
1735833600000000,1.37900000,1.40900000,1.36600000,1.37200000,3020418.00000000,1735847999999999,4194956.81200000,10572,1574641.70000000,2187936.17560000,0
1735848000000000,1.37200000,1.38200000,1.35300000,1.36800000,2806758.80000000,1735862399999999,3846712.36840000,9985,1396123.00000000,1915115.62530000,0
1735862400000000,1.36800000,1.39300000,1.35000000,1.38200000,784885.90000000,1735876799999999,1074819.41760000,3994,390856.60000000,535526.86300000,0
1735876800000000,1.38100000,1.38100000,1.36000000,1.36400000,514612.80000000,1735891199999999,704533.36570000,2620,263615.50000000,360948.13680000,0
1735891200000000,1.36500000,1.42300000,1.36100000,1.41800000,1345587.10000000,1735905599999999,1884043.30590000,5259,661014.20000000,926235.34670000,0
1735905600000000,1.41700000,1.43600000,1.41400000,1.43200000,1397236.90000000,1735919999999999,1992735.41090000,6266,742848.80000000,1059587.02060000,0
1735920000000000,1.43200000,1.44000000,1.42200000,1.42900000,537442.20000000,1735934399999999,770098.78500000,3877,272797.10000000,390889.07570000,0
1735934400000000,1.42900000,1.44400000,1.42000000,1.43700000,467376.10000000,1735948799999999,670525.09360000,3419,225167.50000000,323168.58550000,0
1735948800000000,1.43700000,1.45000000,1.41900000,1.44800000,445203.20000000,1735963199999999,639541.90210000,3664,234899.10000000,337481.29200000,0
1735963200000000,1.44900000,1.46600000,1.42900000,1.45800000,2459774.20000000,1735977599999999,3543082.01190000,9101,1239164.60000000,1786329.00020000,0
1735977600000000,1.45900000,1.46000000,1.41900000,1.43300000,991998.50000000,1735991999999999,1427642.68260000,6403,436684.20000000,628450.00220000,0
1735992000000000,1.43200000,1.45100000,1.40100000,1.40800000,1219107.00000000,1736006399999999,1746480.38990000,5569,586436.80000000,839814.50770000,0
1736006400000000,1.40800000,1.42100000,1.40500000,1.41800000,568209.50000000,1736020799999999,803280.59050000,2809,266409.70000000,376741.10440000,0
1736020800000000,1.41800000,1.42400000,1.40900000,1.41800000,480073.40000000,1736035199999999,680345.53880000,2979,273457.70000000,387582.54610000,0
1736035200000000,1.41800000,1.42000000,1.40000000,1.40400000,445490.60000000,1736049599999999,627119.64790000,2857,221246.30000000,311511.72980000,0
1736049600000000,1.40500000,1.44400000,1.40500000,1.43600000,1751922.10000000,1736063999999999,2489989.24930000,7690,865296.80000000,1230002.47420000,0
1736064000000000,1.43600000,1.44500000,1.41700000,1.43200000,624088.40000000,1736078399999999,893296.40420000,4408,344651.90000000,493529.23620000,0
1736078400000000,1.43200000,1.45300000,1.41700000,1.44300000,1098477.80000000,1736092799999999,1574659.53160000,5128,594587.40000000,852313.53780000,0
1736092800000000,1.44400000,1.44700000,1.42700000,1.44000000,579732.70000000,1736107199999999,833322.81450000,3610,302348.60000000,434828.35740000,0
1736107200000000,1.44100000,1.45200000,1.42800000,1.44800000,483528.50000000,1736121599999999,696957.59630000,3693,255185.90000000,367823.16480000,0
1736121600000000,1.44700000,1.47000000,1.42200000,1.45900000,2407451.70000000,1736135999999999,3490294.03030000,11423,1087016.60000000,1576326.68040000,0
