open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1719792000000,6.22000000,6.31000000,6.18000000,6.25000000,27992.44000000,1719806399999,174863.59680000,2052,11864.72000000,74133.56500000,0
1719806400000,6.26000000,6.31000000,6.22000000,6.24000000,37238.09000000,1719820799999,233413.75920000,2047,19349.68000000,121369.51730000,0
1719820800000,6.24000000,6.27000000,6.14000000,6.19000000,36943.32000000,1719835199999,229333.16510000,2136,13721.94000000,85233.97940000,0
1719835200000,6.19000000,6.24000000,6.13000000,6.20000000,41549.40000000,1719849599999,257267.97950000,2074,25411.72000000,157435.15330000,0
1719849600000,6.20000000,6.27000000,6.19000000,6.23000000,17148.86000000,1719863999999,106858.32160000,1643,9865.12000000,61497.27490000,0
1719864000000,6.24000000,6.28000000,6.18000000,6.20000000,46747.59000000,1719878399999,291838.19530000,3625,30555.43000000,191003.27570000,0
1719878400000,6.20000000,6.21000000,6.07000000,6.10000000,39844.20000000,1719892799999,243550.63280000,1923,15329.12000000,93688.45820000,0
1719892800000,6.09000000,6.15000000,6.06000000,6.09000000,24694.00000000,1719907199999,150882.78160000,1832,15432.33000000,94285.10200000,0
1719907200000,6.09000000,6.22000000,6.09000000,6.13000000,45936.05000000,1719921599999,282352.90080000,2740,25492.94000000,156728.07640000,0
1719921600000,6.14000000,6.26000000,6.11000000,6.17000000,31138.76000000,1719935999999,192426.62400000,2185,12472.29000000,77181.68410000,0
1719936000000,6.17000000,6.23000000,6.12000000,6.21000000,75803.46000000,1719950399999,468998.23150000,4387,50313.35000000,311415.67030000,0
1719950400000,6.21000000,6.23000000,6.13000000,6.22000000,24178.53000000,1719964799999,149199.31440000,1342,10442.16000000,64449.82390000,0
1719964800000,6.23000000,6.35000000,6.09000000,6.14000000,32602.04000000,1719979199999,203239.79850000,2796,11148.01000000,69571.76270000,0
1719979200000,6.14000000,6.18000000,6.06000000,6.16000000,26797.87000000,1719993599999,163967.80510000,1945,9912.77000000,60730.03450000,0
1719993600000,6.15000000,6.21000000,6.05000000,6.10000000,25066.23000000,1720007999999,153817.34050000,2157,11902.84000000,73087.07180000,0
1720008000000,6.10000000,6.24000000,6.01000000,6.07000000,118081.24000000,1720022399999,725840.53940000,7330,63134.28000000,388651.90700000,0
1720022400000,6.07000000,6.08000000,5.86000000,5.91000000,51959.70000000,1720036799999,310393.40780000,3618,23346.33000000,139455.99400000,0
1720036800000,5.92000000,5.99000000,5.89000000,5.97000000,17822.44000000,1720051199999,105793.69320000,1383,10163.53000000,60359.38790000,0
1720051200000,5.97000000,6.01000000,5.67000000,5.79000000,64275.41000000,1720065599999,371996.29640000,4696,31114.33000000,180191.76400000,0
1720065600000,5.78000000,5.80000000,5.65000000,5.69000000,26174.18000000,1720079999999,150056.43650000,1879,9500.40000000,54430.06910000,0
1720080000000,5.69000000,5.72000000,5.57000000,5.58000000,44148.55000000,1720094399999,248833.95650000,2870,20121.20000000,113555.82830000,0
1720094400000,5.58000000,5.60000000,5.35000000,5.49000000,55299.86000000,1720108799999,301157.21150000,3399,28533.16000000,155279.41010000,0
1720108800000,5.48000000,5.49000000,5.39000000,5.40000000,22740.53000000,1720123199999,123590.58490000,1552,12699.23000000,69011.38570000,0
1720123200000,5.40000000,5.48000000,5.20000000,5.24000000,24031.91000000,1720137599999,128655.49660000,1687,14920.49000000,79849.97850000,0
1720137600000,5.25000000,5.26000000,4.54000000,4.68000000,337027.56000000,1720151999999,1635394.44540000,18919,159577.27000000,772563.03850000,0
1720152000000,4.67000000,4.94000000,4.56000000,4.92000000,153429.08000000,1720166399999,733480.87550000,7831,83514.83000000,399246.74530000,0
1720166400000,4.92000000,5.15000000,4.77000000,5.15000000,105470.56000000,1720180799999,523222.14450000,5824,57065.06000000,283064.50180000,0
1720180800000,5.14000000,5.35000000,5.08000000,5.25000000,114948.00000000,1720195199999,597446.99150000,5861,48147.33000000,250755.74680000,0
1720195200000,5.24000000,5.32000000,5.18000000,5.23000000,63801.91000000,1720209599999,334553.91960000,4742,25168.88000000,132050.03460000,0
1720209600000,5.23000000,5.30000000,5.21000000,5.27000000,24631.68000000,1720223999999,129298.34130000,2326,11659.43000000,61252.33080000,0
1720224000000,5.27000000,5.43000000,5.23000000,5.37000000,46266.93000000,1720238399999,245679.72920000,2839,20524.24000000,109186.86140000,0
1720238400000,5.37000000,5.55000000,5.33000000,5.50000000,41137.25000000,1720252799999,224041.80180000,2087,16014.06000000,87143.95040000,0
1720252800000,5.50000000,6.09000000,5.49000000,5.67000000,344935.00000000,1720267199999,1987918.53760000,18564,185837.36000000,1070726.63320000,0
1720267200000,5.67000000,5.75000000,5.50000000,5.70000000,126466.31000000,1720281599999,711880.28910000,6388,50070.08000000,282123.79600000,0
1720281600000,5.71000000,5.93000000,5.68000000,5.84000000,87126.64000000,1720295999999,509101.40340000,5165,30512.93000000,178200.93150000,0
1720296000000,5.83000000,5.96000000,5.74000000,5.89000000,106624.99000000,1720310399999,624290.72820000,5296,57121.37000000,334851.54760000,0
1720310400000,5.89000000,5.89000000,5.71000000,5.75000000,44912.38000000,1720324799999,260354.06450000,2585,22454.00000000,130279.36020000,0
1720324800000,5.76000000,5.77000000,5.57000000,5.59000000,48982.29000000,1720339199999,276595.04680000,2913,21871.03000000,123554.48660000,0
1720339200000,5.60000000,5.73000000,5.59000000,5.72000000,35885.16000000,1720353599999,202860.39870000,2153,20321.24000000,114859.62420000,0
1720353600000,5.72000000,5.79000000,5.59000000,5.62000000,93118.83000000,1720367999999,527263.37550000,6352,54470.18000000,308323.45370000,0
1720368000000,5.62000000,5.70000000,5.57000000,5.59000000,35462.23000000,1720382399999,200081.51630000,2311,16771.59000000,94680.15680000,0
1720382400000,5.58000000,5.60000000,5.42000000,5.47000000,53841.79000000,1720396799999,296562.50470000,2532,31936.90000000,175919.55650000,0
1720396800000,5.48000000,5.50000000,5.26000000,5.42000000,78509.89000000,1720411199999,423287.74780000,5281,36153.87000000,194948.84550000,0
1720411200000,5.42000000,5.53000000,5.41000000,5.47000000,52875.92000000,1720425599999,289067.80620000,3623,28589.09000000,156355.92080000,0
1720425600000,5.46000000,5.77000000,5.45000000,5.62000000,98873.82000000,1720439999999,558760.83810000,4932,49508.50000000,279711.69130000,0
1720440000000,5.63000000,5.63000000,5.34000000,5.54000000,71710.22000000,1720454399999,396580.44980000,6037,40769.70000000,225767.07730000,0
1720454400000,5.54000000,5.65000000,5.50000000,5.57000000,73932.89000000,1720468799999,411507.58650000,4957,37169.89000000,207254.07380000,0
1720468800000,5.57000000,5.63000000,5.54000000,5.60000000,12782.82000000,1720483199999,71319.43430000,939,7016.55000000,39147.63940000,0
1720483200000,5.59000000,5.71000000,5.56000000,5.68000000,29607.97000000,1720497599999,166719.00590000,2210,15659.05000000,88246.45070000,0
1720497600000,5.69000000,5.74000000,5.66000000,5.70000000,12431.17000000,1720511999999,70928.67200000,1019,4805.27000000,27416.70570000,0
1720512000000,5.69000000,5.79000000,5.68000000,5.71000000,23598.52000000,1720526399999,135510.36400000,1512,12803.57000000,73593.45610000,0
1720526400000,5.71000000,5.82000000,5.67000000,5.78000000,24049.21000000,1720540799999,138405.79970000,2155,13957.97000000,80336.44730000,0
1720540800000,5.78000000,5.84000000,5.75000000,5.83000000,15371.21000000,1720555199999,89152.49530000,1391,8404.93000000,48752.81840000,0
1720555200000,5.83000000,5.97000000,5.82000000,5.91000000,15757.60000000,1720569599999,92946.17890000,1252,8002.70000000,47267.44650000,0
1720569600000,5.91000000,5.91000000,5.83000000,5.87000000,11558.40000000,1720583999999,67818.46040000,1332,4084.40000000,23974.18000000,0
1720584000000,5.88000000,6.05000000,5.88000000,6.00000000,22541.98000000,1720598399999,134856.02990000,1948,12650.68000000,75671.31930000,0
1720598400000,6.00000000,6.04000000,5.93000000,5.94000000,20327.41000000,1720612799999,121628.92740000,1605,7626.77000000,45686.49720000,0
