open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1680307200000,0.02915000,0.02979000,0.02909000,0.02936000,46270855.20000000,1680321599999,1362456.56162100,7412,22542006.90000000,663707.81426500,0
1680321600000,0.02935000,0.02960000,0.02886000,0.02895000,41043768.00000000,1680335999999,1198431.43730200,6472,17793348.50000000,520214.11626800,0
1680336000000,0.02894000,0.03087000,0.02872000,0.02986000,160147009.80000000,1680350399999,4800585.82643600,23616,81968201.30000000,2457848.07932700,0
1680350400000,0.02985000,0.03263000,0.02956000,0.03152000,434251479.70000000,1680364799999,13636080.07084500,56280,210422072.20000000,6603779.04714600,0
1680364800000,0.03150000,0.03151000,0.03016000,0.03076000,147711891.40000000,1680379199999,4539096.67075800,20504,63917528.30000000,1963604.21087100,0
1680379200000,0.03077000,0.03145000,0.03062000,0.03069000,96421362.60000000,1680393599999,2988124.12964100,13440,42730579.60000000,1325192.89806200,0
1680393600000,0.03071000,0.03267000,0.03060000,0.03175000,287909283.20000000,1680407999999,9168987.48182400,35956,141123847.70000000,4496022.88470000,0
1680408000000,0.03174000,0.03222000,0.03129000,0.03205000,93069285.10000000,1680422399999,2959250.43638400,11449,43921693.70000000,1398024.02271100,0
1680422400000,0.03206000,0.03235000,0.03137000,0.03141000,144901580.10000000,1680436799999,4618318.99126200,16465,66462698.90000000,2120872.18555200,0
1680436800000,0.03143000,0.03146000,0.02999000,0.02999000,108232801.70000000,1680451199999,3321690.11122100,13287,45712770.00000000,1402679.31278400,0
1680451200000,0.02999000,0.03220000,0.02995000,0.03107000,160360073.10000000,1680465599999,4966826.62199500,19166,81185859.70000000,2514813.84134400,0
1680465600000,0.03107000,0.03128000,0.03043000,0.03091000,68128425.80000000,1680479999999,2099987.61138100,7734,32797328.10000000,1011470.15660900,0
1680480000000,0.03092000,0.03147000,0.02938000,0.03018000,136604373.50000000,1680494399999,4144323.89714200,16274,61199908.40000000,1858007.60372000,0
1680494400000,0.03018000,0.03039000,0.02981000,0.03020000,40048594.00000000,1680508799999,1202969.17358000,4686,18526364.00000000,556537.53426800,0
1680508800000,0.03020000,0.03064000,0.03013000,0.03015000,57999544.60000000,1680523199999,1762180.10492600,8129,27805284.50000000,844875.45701500,0
1680523200000,0.03015000,0.03031000,0.02959000,0.02997000,57624731.10000000,1680537599999,1725096.95229600,7906,29240974.10000000,875675.85645100,0
1680537600000,0.02997000,0.03039000,0.02972000,0.03007000,67289068.80000000,1680551999999,2026123.66802400,9366,29940920.20000000,901463.74572800,0
1680552000000,0.03010000,0.03012000,0.02869000,0.02954000,94320669.30000000,1680566399999,2763170.62403500,11692,43170165.50000000,1264801.14652000,0
1680566400000,0.02953000,0.02960000,0.02902000,0.02929000,38753888.70000000,1680580799999,1134991.08292300,5579,17111033.60000000,500937.62050700,0
1680580800000,0.02929000,0.02969000,0.02918000,0.02951000,43469128.10000000,1680595199999,1281569.54710100,8177,22159023.30000000,653357.19523200,0
1680595200000,0.02952000,0.03000000,0.02935000,0.02981000,43359884.30000000,1680609599999,1288397.39767200,6075,20794010.00000000,618267.72595500,0
1680609600000,0.02981000,0.03051000,0.02967000,0.02981000,68405400.90000000,1680623999999,2052616.70076700,8496,34016808.50000000,1021352.56990800,0
1680624000000,0.02982000,0.02995000,0.02962000,0.02982000,29286989.40000000,1680638399999,872395.76739900,3270,14162918.10000000,422047.41689500,0
1680638400000,0.02981000,0.03002000,0.02957000,0.02974000,19214876.40000000,1680652799999,572490.22809600,2345,8801166.60000000,262083.31458800,0
