open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1675209600000,0.21660000,0.21890000,0.21550000,0.21810000,599295.00000000,1675223999999,130308.57050000,880,300414.00000000,65296.54660000,0
1675224000000,0.21830000,0.22120000,0.21220000,0.21450000,759807.00000000,1675238399999,164979.42690000,1219,342329.00000000,74594.84320000,0
1675238400000,0.21450000,0.21480000,0.21000000,0.21450000,772027.00000000,1675252799999,164186.53490000,1127,364684.00000000,77581.95870000,0
1675252800000,0.21430000,0.21540000,0.20870000,0.21030000,699251.00000000,1675267199999,148935.32920000,1105,332334.00000000,70725.60090000,0
1675267200000,0.21010000,0.22130000,0.20750000,0.21970000,1298415.00000000,1675281599999,275938.29000000,2262,648538.00000000,138134.05570000,0
1675281600000,0.21980000,0.23030000,0.21980000,0.22560000,1646393.00000000,1675295999999,373771.05960000,2941,946515.00000000,214693.84480000,0
1675296000000,0.22610000,0.23400000,0.22610000,0.23370000,1083571.00000000,1675310399999,248827.17480000,1953,624562.00000000,143402.03920000,0
1675310400000,0.23350000,0.23920000,0.23230000,0.23360000,1731310.00000000,1675324799999,407334.20710000,2479,951851.00000000,224260.43590000,0
1675324800000,0.23360000,0.23600000,0.23220000,0.23550000,950371.00000000,1675339199999,222636.28010000,1457,403709.00000000,94565.87010000,0
1675339200000,0.23550000,0.24270000,0.23200000,0.23570000,4019946.00000000,1675353599999,956314.19290000,4718,2238585.00000000,532251.11930000,0
1675353600000,0.23550000,0.23940000,0.23450000,0.23560000,1000537.00000000,1675367999999,237271.63510000,1529,398104.00000000,94463.83080000,0
1675368000000,0.23520000,0.23720000,0.22770000,0.23210000,813473.00000000,1675382399999,189685.52240000,1539,360678.00000000,84040.03730000,0
1675382400000,0.23220000,0.25650000,0.23210000,0.25440000,7702666.00000000,1675396799999,1871430.78560000,13168,4399261.00000000,1067706.06220000,0
1675396800000,0.25400000,0.26530000,0.24670000,0.24910000,7500565.00000000,1675411199999,1919278.50240000,13052,3546615.00000000,907264.80920000,0
1675411200000,0.24910000,0.25120000,0.24620000,0.24840000,1747437.00000000,1675425599999,435113.33260000,3090,875423.00000000,217963.33440000,0
1675425600000,0.24850000,0.25940000,0.24640000,0.25480000,4290123.00000000,1675439999999,1083823.22450000,7512,2407021.00000000,608339.12020000,0
