direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,notional_usd,pnl_pct_net,pnl_usd
long,-0.008963855421686684,3,CHZUSDT,1680567300,1680570000,0.1245,0.12338400000000001,trail_stop,30.0,-0.010163855421686683,-0.3049156626506005
long,0.020081521739130553,142,ZECUSDT,1680590700,1680718500,36.8,37.539,trail_stop,30.0,0.018881521739130554,0.5664456521739166
long,0.031030789825970517,116,AAVEUSDT,1680602400,1680706800,74.7,77.018,trail_stop,30.0,0.029830789825970518,0.8949236947791155
long,0.0,192,ADAUSDT,1680606000,1680778800,0.3932,0.3932,timeout,30.0,-0.0012,-0.036
long,0.0795161290322579,101,CRVUSDT,1680606000,1680696900,0.93,1.00395,trail_stop,30.0,0.07831612903225789,2.349483870967737
long,-0.005693385214007756,108,DOTUSDT,1680606000,1680703200,6.425,6.38842,trail_stop,30.0,-0.006893385214007756,-0.20680155642023268
long,-0.003862275449101947,76,CRVUSDT,1680698700,1680767100,1.002,0.9981299999999999,trail_stop,30.0,-0.005062275449101947,-0.15186826347305843
long,0.010258418167580309,10,CHZUSDT,1680730200,1680739200,0.1277,0.12901,trail_stop,30.0,0.00905841816758031,0.2717525450274093
long,0.03010061782877313,28,FILUSDT,1680876900,1680902100,5.665,5.83552,trail_stop,30.0,0.02890061782877313,0.8670185348631939
long,0.06170637970791704,61,CHZUSDT,1680906600,1680961500,0.1301,0.138128,trail_stop,30.0,0.06050637970791704,1.8151913912375113
long,0.01174683544303794,131,ZECUSDT,1681077600,1681195500,39.5,39.964,trail_stop,30.0,0.01054683544303794,0.3164050632911382
long,0.020830920671685023,138,FETUSDT,1681079400,1681203600,0.3454,0.352595,trail_stop,30.0,0.019630920671685023,0.5889276201505507
long,0.003788098693758965,128,HIGHUSDT,1681087500,1681202700,2.067,2.07483,trail_stop,30.0,0.002588098693758965,0.07764296081276895
long,0.02589830508474577,36,FILUSDT,1681149600,1681182000,5.9,6.0528,trail_stop,30.0,0.02469830508474577,0.740949152542373
